m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 2.0000000E+000,-4.5076723E-001, 1.1055136E+002, 3.7534408E+000, 2.0000000E+000,-4.4952266E-001, 1.0855434E+002, 3.7525211E+000, 2.0000000E+000,-4.5023358E-001, 1.0764807E+002, 3.7530483E+000, 2.0000000E+000,-4.4997381E-001, 1.0944868E+002, 3.7528554E+000, 2.0000000E+000,-4.5137702E-001, 1.1044112E+002, 3.7538893E+000, 2.0000000E+000, 2.7640073E-001, 1.2508362E+002, 3.7354463E+000, 2.0000000E+000, 2.7713491E-001, 1.2181063E+002, 3.7382897E+000, 2.0000000E+000, 2.7775624E-001, 1.2119242E+002, 3.7360568E+000, 2.0000000E+000, 2.7760802E-001, 1.2308440E+002, 3.7359884E+000, 2.0000000E+000, 2.7704393E-001, 1.2476034E+002, 3.7407969E+000
 2.9655172E+000,-4.3619627E-001, 1.1994496E+002, 3.7425751E+000, 2.9655172E+000,-4.3531049E-001, 1.2094306E+002, 3.7419027E+000, 2.9655172E+000,-4.3540344E-001, 1.2009293E+002, 3.7419767E+000, 2.9655172E+000,-4.3600585E-001, 1.1971396E+002, 3.7424320E+000, 2.9655172E+000,-4.3659717E-001, 1.2126352E+002, 3.7428775E+000, 2.9655172E+000, 2.8292820E-001, 1.2940227E+002, 3.7383738E+000, 2.9655172E+000, 2.8386298E-001, 1.2538841E+002, 3.7404468E+000, 2.9655172E+000, 2.8428196E-001, 1.2910465E+002, 3.7586741E+000, 2.9655172E+000, 2.8414780E-001, 1.2806507E+002, 3.7515351E+000, 2.9655172E+000, 2.8324739E-001, 1.2978609E+002, 3.7385115E+000
 3.9310345E+000,-4.2376843E-001, 1.3378296E+002, 3.7331039E+000, 3.9310345E+000,-4.2312243E-001, 1.3294771E+002, 3.7326055E+000, 3.9310345E+000,-4.2275237E-001, 1.3460608E+002, 3.7339895E+000, 3.9310345E+000,-4.2402608E-001, 1.3112172E+002, 3.7333051E+000, 3.9310345E+000,-4.2430696E-001, 1.3242640E+002, 3.7335166E+000, 3.9310345E+000, 2.9029076E-001, 1.3440860E+002, 3.7415499E+000, 3.9310345E+000, 2.9082121E-001, 1.3103301E+002, 3.7580802E+000, 3.9310345E+000, 2.9127374E-001, 1.3535167E+002, 3.7823086E+000, 3.9310345E+000, 2.9148759E-001, 1.3496978E+002, 3.7648705E+000, 3.9310345E+000, 2.9027506E-001, 1.3449264E+002, 3.7509293E+000
 4.8965517E+000,-4.1401505E-001, 1.4509692E+002, 3.7380090E+000, 4.8965517E+000,-4.1298824E-001, 1.4408955E+002, 3.7398676E+000, 4.8965517E+000,-4.1276785E-001, 1.4540334E+002, 3.7319974E+000, 4.8965517E+000,-4.1394415E-001, 1.4184291E+002, 3.7305251E+000, 4.8965517E+000,-4.1406905E-001, 1.4138080E+002, 3.7288941E+000, 4.8965517E+000, 2.9711832E-001, 1.3783422E+002, 3.7554959E+000, 4.8965517E+000, 2.9761052E-001, 1.3876822E+002, 3.8019884E+000, 4.8965517E+000, 2.9773776E-001, 1.4438169E+002, 3.8115597E+000, 4.8965517E+000, 2.9797098E-001, 1.4247164E+002, 3.8132640E+000, 4.8965517E+000, 2.9691404E-001, 1.3964929E+002, 3.7963938E+000
 5.8620690E+000,-4.0652061E-001, 1.5191891E+002, 3.7592209E+000, 5.8620690E+000,-4.0525146E-001, 1.5265877E+002, 3.7774032E+000, 5.8620690E+000,-4.0518473E-001, 1.5317441E+002, 3.7544143E+000, 5.8620690E+000,-4.0605703E-001, 1.4994152E+002, 3.7440880E+000, 5.8620690E+000,-4.0612285E-001, 1.4908412E+002, 3.7374126E+000, 5.8620690E+000, 3.0201781E-001, 1.4420082E+002, 3.7854166E+000, 5.8620690E+000, 3.0281340E-001, 1.4400575E+002, 3.8844478E+000, 5.8620690E+000, 3.0296167E-001, 1.5144562E+002, 3.8660490E+000, 5.8620690E+000, 3.0323495E-001, 1.5017515E+002, 3.8854605E+000, 5.8620690E+000, 3.0232716E-001, 1.4530556E+002, 3.8611183E+000
 6.8275862E+000,-3.9887041E-001, 1.5805840E+002, 3.8203789E+000, 6.8275862E+000,-3.9766206E-001, 1.6090831E+002, 3.9139963E+000, 6.8275862E+000,-3.9743160E-001, 1.6243240E+002, 3.8589043E+000, 6.8275862E+000,-3.9873851E-001, 1.5619391E+002, 3.8543310E+000, 6.8275862E+000,-3.9789388E-001, 1.5744696E+002, 3.8061211E+000, 6.8275862E+000, 3.0754892E-001, 1.4915330E+002, 3.8123956E+000, 6.8275862E+000, 3.0860375E-001, 1.5137892E+002, 3.9445489E+000, 6.8275862E+000, 3.0853715E-001, 1.5790240E+002, 3.9957165E+000, 6.8275862E+000, 3.0873743E-001, 1.5634724E+002, 3.9565033E+000, 6.8275862E+000, 3.0807495E-001, 1.5042995E+002, 3.8844605E+000
 7.7931034E+000,-3.9146769E-001, 1.6427538E+002, 3.9486885E+000, 7.7931034E+000,-3.9067564E-001, 1.6715967E+002, 4.1043540E+000, 7.7931034E+000,-3.9087378E-001, 1.6814945E+002, 4.0487945E+000, 7.7931034E+000,-3.9158630E-001, 1.6193028E+002, 4.0583001E+000, 7.7931034E+000,-3.9099896E-001, 1.6472154E+002, 4.0075920E+000, 7.7931034E+000, 3.1306431E-001, 1.5560642E+002, 3.9682479E+000, 7.7931034E+000, 3.1426716E-001, 1.5518463E+002, 4.0348320E+000, 7.7931034E+000, 3.1356568E-001, 1.6346857E+002, 4.0270977E+000, 7.7931034E+000, 3.1372538E-001, 1.6225072E+002, 4.0478512E+000, 7.7931034E+000, 3.1308033E-001, 1.5335667E+002, 3.8665743E+000
 8.7586207E+000,-3.8502375E-001, 1.7075496E+002, 4.2194372E+000, 8.7586207E+000,-3.8498192E-001, 1.7157272E+002, 4.3579933E+000, 8.7586207E+000,-3.8478969E-001, 1.7165798E+002, 4.3212706E+000, 8.7586207E+000,-3.8537625E-001, 1.6656298E+002, 4.2080794E+000, 8.7586207E+000,-3.8488470E-001, 1.6935462E+002, 4.2437308E+000, 8.7586207E+000, 3.1808510E-001, 1.5991957E+002, 4.0702549E+000, 8.7586207E+000, 3.1904621E-001, 1.6161819E+002, 4.2022471E+000, 8.7586207E+000, 3.1843540E-001, 1.6654208E+002, 4.1022218E+000, 8.7586207E+000, 3.1880108E-001, 1.6957570E+002, 4.2406138E+000, 8.7586207E+000, 3.1804956E-001, 1.5902358E+002, 3.9713295E+000
 9.7241379E+000,-3.7961211E-001, 1.7530165E+002, 4.4630785E+000, 9.7241379E+000,-3.8006141E-001, 1.7435227E+002, 4.6207416E+000, 9.7241379E+000,-3.8012247E-001, 1.7422129E+002, 4.6244435E+000, 9.7241379E+000,-3.8049737E-001, 1.6956197E+002, 4.4023869E+000, 9.7241379E+000,-3.8002033E-001, 1.7358190E+002, 4.5051937E+000, 9.7241379E+000, 3.2260772E-001, 1.6253653E+002, 4.1238571E+000, 9.7241379E+000, 3.2288827E-001, 1.6861360E+002, 4.2965614E+000, 9.7241379E+000, 3.2239500E-001, 1.7048744E+002, 4.1358750E+000, 9.7241379E+000, 3.2301504E-001, 1.7326411E+002, 4.3553174E+000, 9.7241379E+000, 3.2281146E-001, 1.6326597E+002, 4.1298343E+000
