m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 2.0000000E-002,-3.6561657E-003, 8.8600526E-001, 1.0000000E+000, 2.0000000E-002,-3.6561659E-003, 8.8600526E-001, 1.0000000E+000, 2.0000000E-002,-3.6561662E-003, 8.8600526E-001, 1.0000000E+000, 2.0000000E-002,-3.6561665E-003, 8.8600527E-001, 1.0000000E+000, 2.0000000E-002,-3.6561667E-003, 8.8600527E-001, 1.0000000E+000, 2.0000000E-002, 1.2655025E-003, 7.0562267E-001, 1.0000000E+000, 2.0000000E-002, 1.2655022E-003, 7.0562264E-001, 1.0000000E+000, 2.0000000E-002, 1.2655017E-003, 7.0562256E-001, 1.0000000E+000, 2.0000000E-002, 1.2655013E-003, 7.0562248E-001, 1.0000000E+000, 2.0000000E-002, 1.2655009E-003, 7.0562241E-001, 1.0000000E+000
 2.9655172E-002,-3.0178058E-003, 8.7925935E-001, 1.0000000E+000, 2.9655172E-002,-3.0178060E-003, 8.7925935E-001, 1.0000000E+000, 2.9655172E-002,-3.0178064E-003, 8.7925936E-001, 1.0000000E+000, 2.9655172E-002,-3.0178068E-003, 8.7925938E-001, 1.0000000E+000, 2.9655172E-002,-3.0178071E-003, 8.7925939E-001, 1.0000000E+000, 2.9655172E-002, 1.4838789E-003, 7.6814408E-001, 1.0000000E+000, 2.9655172E-002, 1.4838786E-003, 7.6814402E-001, 1.0000000E+000, 2.9655172E-002, 1.4838782E-003, 7.6814391E-001, 1.0000000E+000, 2.9655172E-002, 1.4838777E-003, 7.6814378E-001, 1.0000000E+000, 2.9655172E-002, 1.4838773E-003, 7.6814368E-001, 1.0000000E+000
 3.9310345E-002,-2.5127536E-003, 8.6869408E-001, 1.0000000E+000, 3.9310345E-002,-2.5127538E-003, 8.6869410E-001, 1.0000000E+000, 3.9310345E-002,-2.5127542E-003, 8.6869413E-001, 1.0000000E+000, 3.9310345E-002,-2.5127547E-003, 8.6869416E-001, 1.0000000E+000, 3.9310345E-002,-2.5127551E-003, 8.6869419E-001, 1.0000000E+000, 3.9310345E-002, 1.6500726E-003, 8.1042334E-001, 1.0000000E+000, 3.9310345E-002, 1.6500723E-003, 8.1042325E-001, 1.0000000E+000, 3.9310345E-002, 1.6500719E-003, 8.1042309E-001, 1.0000000E+000, 3.9310345E-002, 1.6500715E-003, 8.1042291E-001, 1.0000000E+000, 3.9310345E-002, 1.6500711E-003, 8.1042275E-001, 1.0000000E+000
 4.8965517E-002,-2.2361477E-003, 8.6287255E-001, 1.0000000E+000, 4.8965517E-002,-2.2361480E-003, 8.6287258E-001, 1.0000000E+000, 4.8965517E-002,-2.2361484E-003, 8.6287263E-001, 1.0000000E+000, 4.8965517E-002,-2.2361489E-003, 8.6287269E-001, 1.0000000E+000, 4.8965517E-002,-2.2361493E-003, 8.6287274E-001, 1.0000000E+000, 4.8965517E-002, 1.7394252E-003, 8.3127314E-001, 1.0000000E+000, 4.8965517E-002, 1.7394249E-003, 8.3127302E-001, 1.0000000E+000, 4.8965517E-002, 1.7394246E-003, 8.3127280E-001, 1.0000000E+000, 4.8965517E-002, 1.7394243E-003, 8.3127256E-001, 1.0000000E+000, 4.8965517E-002, 1.7394240E-003, 8.3127234E-001, 1.0000000E+000
 5.8620690E-002,-2.0803725E-003, 8.5972490E-001, 1.0000000E+000, 5.8620690E-002,-2.0803727E-003, 8.5972495E-001, 1.0000000E+000, 5.8620690E-002,-2.0803731E-003, 8.5972504E-001, 1.0000000E+000, 5.8620690E-002,-2.0803736E-003, 8.5972514E-001, 1.0000000E+000, 5.8620690E-002,-2.0803740E-003, 8.5972522E-001, 1.0000000E+000, 5.8620690E-002, 1.7901073E-003, 8.4257562E-001, 1.0000000E+000, 5.8620690E-002, 1.7901072E-003, 8.4257547E-001, 1.0000000E+000, 5.8620690E-002, 1.7901070E-003, 8.4257519E-001, 1.0000000E+000, 5.8620690E-002, 1.7901068E-003, 8.4257489E-001, 1.0000000E+000, 5.8620690E-002, 1.7901066E-003, 8.4257462E-001, 1.0000000E+000
 6.8275862E-002,-1.9903170E-003, 8.5786853E-001, 1.0000000E+000, 6.8275862E-002,-1.9903173E-003, 8.5786860E-001, 1.0000000E+000, 6.8275862E-002,-1.9903176E-003, 8.5786873E-001, 1.0000000E+000, 6.8275862E-002,-1.9903179E-003, 8.5786888E-001, 1.0000000E+000, 6.8275862E-002,-1.9903183E-003, 8.5786901E-001, 1.0000000E+000, 6.8275862E-002, 1.8196280E-003, 8.4900836E-001, 1.0000000E+000, 6.8275862E-002, 1.8196279E-003, 8.4900816E-001, 1.0000000E+000, 6.8275862E-002, 1.8196278E-003, 8.4900783E-001, 1.0000000E+000, 6.8275862E-002, 1.8196277E-003, 8.4900747E-001, 1.0000000E+000, 6.8275862E-002, 1.8196276E-003, 8.4900715E-001, 1.0000000E+000
 7.7931034E-002,-1.9375471E-003, 8.5675400E-001, 1.0000000E+000, 7.7931034E-002,-1.9375473E-003, 8.5675410E-001, 1.0000000E+000, 7.7931034E-002,-1.9375476E-003, 8.5675429E-001, 1.0000000E+000, 7.7931034E-002,-1.9375478E-003, 8.5675450E-001, 1.0000000E+000, 7.7931034E-002,-1.9375480E-003, 8.5675468E-001, 1.0000000E+000, 7.7931034E-002, 1.8369646E-003, 8.5274007E-001, 1.0000000E+000, 7.7931034E-002, 1.8369645E-003, 8.5273983E-001, 1.0000000E+000, 7.7931034E-002, 1.8369646E-003, 8.5273944E-001, 1.0000000E+000, 7.7931034E-002, 1.8369646E-003, 8.5273904E-001, 1.0000000E+000, 7.7931034E-002, 1.8369646E-003, 8.5273868E-001, 1.0000000E+000
 8.7586207E-002,-1.9064443E-003, 8.5609098E-001, 1.0000000E+000, 8.7586207E-002,-1.9064444E-003, 8.5609112E-001, 1.0000000E+000, 8.7586207E-002,-1.9064445E-003, 8.5609136E-001, 1.0000000E+000, 8.7586207E-002,-1.9064446E-003, 8.5609163E-001, 1.0000000E+000, 8.7586207E-002,-1.9064448E-003, 8.5609186E-001, 1.0000000E+000, 8.7586207E-002, 1.8471835E-003, 8.5492632E-001, 1.0000000E+000, 8.7586207E-002, 1.8471835E-003, 8.5492605E-001, 1.0000000E+000, 8.7586207E-002, 1.8471837E-003, 8.5492561E-001, 1.0000000E+000, 8.7586207E-002, 1.8471838E-003, 8.5492517E-001, 1.0000000E+000, 8.7586207E-002, 1.8471839E-003, 8.5492479E-001, 1.0000000E+000
 9.7241379E-002,-1.8917928E-003, 8.5577774E-001, 1.0000000E+000, 9.7241379E-002,-1.8917929E-003, 8.5577791E-001, 1.0000000E+000, 9.7241379E-002,-1.8917929E-003, 8.5577820E-001, 1.0000000E+000, 9.7241379E-002,-1.8917930E-003, 8.5577851E-001, 1.0000000E+000, 9.7241379E-002,-1.8917930E-003, 8.5577879E-001, 1.0000000E+000, 9.7241379E-002, 1.8519943E-003, 8.5595328E-001, 1.0000000E+000, 9.7241379E-002, 1.8519944E-003, 8.5595297E-001, 1.0000000E+000, 9.7241379E-002, 1.8519946E-003, 8.5595251E-001, 1.0000000E+000, 9.7241379E-002, 1.8519948E-003, 8.5595205E-001, 1.0000000E+000, 9.7241379E-002, 1.8519949E-003, 8.5595167E-001, 1.0000000E+000
