s,kW,kW,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-8.8681828E-004, 0.0000000E+000, 1.0132500E+005, 1.1954478E+000
 1.0023291E+000,-2.2922593E-004, 4.8461234E-005, 1.0142694E+005, 1.1971151E+000
 2.0046582E+000,-7.2566015E-005, 5.1060107E-005, 1.0147271E+005, 1.1982929E+000
 3.0069872E+000,-5.7271063E-005, 4.6278210E-005, 1.0148472E+005, 1.1983449E+000
 4.0093163E+000,-5.2787921E-005, 4.6257786E-005, 1.0149151E+005, 1.1983107E+000
 5.0116454E+000,-5.1040151E-005, 4.7154765E-005, 1.0149555E+005, 1.1982916E+000
 6.0139745E+000,-5.0293815E-005, 4.7995317E-005, 1.0149796E+005, 1.1982902E+000
 7.0021862E+000,-5.0038558E-005, 4.8684829E-005, 1.0149937E+005, 1.1983036E+000
 8.0045153E+000,-5.0090871E-005, 4.9305465E-005, 1.0150020E+005, 1.1983302E+000
 9.0068444E+000,-5.0386456E-005, 4.9947600E-005, 1.0150069E+005, 1.1983700E+000
 1.0009173E+001,-5.0909891E-005, 5.0681237E-005, 1.0150095E+005, 1.1984231E+000
 1.1011503E+001,-5.1670039E-005, 5.1569072E-005, 1.0150109E+005, 1.1984900E+000
 1.2013832E+001,-5.2682646E-005, 5.2659024E-005, 1.0150115E+005, 1.1985711E+000
 1.3002043E+001,-5.3947218E-005, 5.3967673E-005, 1.0150116E+005, 1.1986651E+000
 1.4004372E+001,-5.5458021E-005, 5.5499514E-005, 1.0150115E+005, 1.1987709E+000
 1.5006702E+001,-5.7177417E-005, 5.7227557E-005, 1.0150113E+005, 1.1988854E+000
 1.6009031E+001,-5.9009200E-005, 5.9064122E-005, 1.0150111E+005, 1.1990026E+000
 1.7011360E+001,-6.0838359E-005, 6.0900466E-005, 1.0150108E+005, 1.1991166E+000
 1.8013689E+001,-6.2547273E-005, 6.2621077E-005, 1.0150105E+005, 1.1992204E+000
 1.9001901E+001,-6.4034337E-005, 6.4120969E-005, 1.0150101E+005, 1.1993087E+000
 2.0004230E+001,-6.5261340E-005, 6.5357384E-005, 1.0150096E+005, 1.1993811E+000
 2.1006559E+001,-6.6228262E-005, 6.6327780E-005, 1.0150091E+005, 1.1994380E+000
 2.2008888E+001,-6.6951161E-005, 6.7047638E-005, 1.0150086E+005, 1.1994807E+000
 2.3011217E+001,-6.7473010E-005, 6.7561431E-005, 1.0150081E+005, 1.1995121E+000
 2.4013546E+001,-6.7840255E-005, 6.7918071E-005, 1.0150077E+005, 1.1995349E+000
 2.5001758E+001,-6.8093186E-005, 6.8160039E-005, 1.0150074E+005, 1.1995512E+000
 2.6004087E+001,-6.8267281E-005, 6.8323971E-005, 1.0150071E+005, 1.1995632E+000
 2.7006416E+001,-6.8387729E-005, 6.8435682E-005, 1.0150069E+005, 1.1995722E+000
 2.8008745E+001,-6.8470523E-005, 6.8511433E-005, 1.0150068E+005, 1.1995790E+000
 2.9011074E+001,-6.8527756E-005, 6.8563166E-005, 1.0150068E+005, 1.1995844E+000
 3.0013403E+001,-6.8567604E-005, 6.8598807E-005, 1.0150067E+005, 1.1995888E+000
 3.1001615E+001,-6.8595415E-005, 6.8623476E-005, 1.0150067E+005, 1.1995925E+000
 3.2003944E+001,-6.8615127E-005, 6.8640852E-005, 1.0150067E+005, 1.1995956E+000
 3.3006273E+001,-6.8629301E-005, 6.8653270E-005, 1.0150067E+005, 1.1995983E+000
 3.4008602E+001,-6.8639455E-005, 6.8662091E-005, 1.0150068E+005, 1.1996007E+000
 3.5010931E+001,-6.8646774E-005, 6.8668339E-005, 1.0150068E+005, 1.1996029E+000
 3.6013260E+001,-6.8652058E-005, 6.8672723E-005, 1.0150068E+005, 1.1996049E+000
 3.7001472E+001,-6.8655844E-005, 6.8675748E-005, 1.0150069E+005, 1.1996066E+000
 3.8003801E+001,-6.8658580E-005, 6.8677826E-005, 1.0150069E+005, 1.1996082E+000
 3.9006130E+001,-6.8660552E-005, 6.8679217E-005, 1.0150070E+005, 1.1996096E+000
 4.0008459E+001,-6.8661927E-005, 6.8680070E-005, 1.0150070E+005, 1.1996109E+000
 4.1010788E+001,-6.8662837E-005, 6.8680485E-005, 1.0150070E+005, 1.1996120E+000
 4.2013117E+001,-6.8663361E-005, 6.8680527E-005, 1.0150071E+005, 1.1996131E+000
 4.3001329E+001,-6.8663561E-005, 6.8680253E-005, 1.0150071E+005, 1.1996140E+000
 4.4003658E+001,-6.8663493E-005, 6.8679731E-005, 1.0150072E+005, 1.1996148E+000
 4.5005987E+001,-6.8663205E-005, 6.8679136E-005, 1.0150072E+005, 1.1996155E+000
 4.6008316E+001,-6.8662769E-005, 6.8678462E-005, 1.0150072E+005, 1.1996161E+000
 4.7010646E+001,-6.8662250E-005, 6.8677642E-005, 1.0150073E+005, 1.1996166E+000
 4.8012975E+001,-6.8661679E-005, 6.8676715E-005, 1.0150073E+005, 1.1996173E+000
 4.9001186E+001,-6.8661062E-005, 6.8675771E-005, 1.0150073E+005, 1.1996180E+000
 5.0003516E+001,-6.8660388E-005, 6.8674805E-005, 1.0150074E+005, 1.1996186E+000
 5.1005845E+001,-6.8659656E-005, 6.8673751E-005, 1.0150074E+005, 1.1996192E+000
 5.2008174E+001,-6.8658878E-005, 6.8672668E-005, 1.0150074E+005, 1.1996197E+000
 5.3010503E+001,-6.8658051E-005, 6.8671459E-005, 1.0150075E+005, 1.1996201E+000
 5.4012832E+001,-6.8657163E-005, 6.8670098E-005, 1.0150075E+005, 1.1996204E+000
 5.5001044E+001,-6.8656236E-005, 6.8668631E-005, 1.0150075E+005, 1.1996207E+000
 5.6003373E+001,-6.8655224E-005, 6.8667049E-005, 1.0150076E+005, 1.1996209E+000
 5.7005702E+001,-6.8654100E-005, 6.8665370E-005, 1.0150076E+005, 1.1996210E+000
 5.8008031E+001,-6.8652883E-005, 6.8663655E-005, 1.0150076E+005, 1.1996211E+000
 5.9010360E+001,-6.8651598E-005, 6.8661908E-005, 1.0150076E+005, 1.1996211E+000
 6.0012689E+001,-6.8650250E-005, 6.8660126E-005, 1.0150077E+005, 1.1996210E+000
 6.1000901E+001,-6.8648859E-005, 6.8658315E-005, 1.0150077E+005, 1.1996209E+000
 6.2003230E+001,-6.8647435E-005, 6.8656475E-005, 1.0150077E+005, 1.1996207E+000
 6.3005559E+001,-6.8645971E-005, 6.8654615E-005, 1.0150078E+005, 1.1996205E+000
 6.4007888E+001,-6.8644478E-005, 6.8652794E-005, 1.0150078E+005, 1.1996202E+000
 6.5010217E+001,-6.8642976E-005, 6.8651034E-005, 1.0150078E+005, 1.1996199E+000
 6.6012546E+001,-6.8641506E-005, 6.8649289E-005, 1.0150079E+005, 1.1996195E+000
 6.7000758E+001,-6.8640114E-005, 6.8647545E-005, 1.0150079E+005, 1.1996191E+000
 6.8003087E+001,-6.8638794E-005, 6.8645799E-005, 1.0150079E+005, 1.1996186E+000
 6.9005416E+001,-6.8637549E-005, 6.8644077E-005, 1.0150080E+005, 1.1996181E+000
 7.0007745E+001,-6.8636329E-005, 6.8642442E-005, 1.0150080E+005, 1.1996175E+000
 7.1010074E+001,-6.8635097E-005, 6.8640958E-005, 1.0150080E+005, 1.1996169E+000
 7.2012403E+001,-6.8633835E-005, 6.8639581E-005, 1.0150080E+005, 1.1996162E+000
 7.3000615E+001,-6.8632555E-005, 6.8638172E-005, 1.0150081E+005, 1.1996156E+000
 7.4002944E+001,-6.8631246E-005, 6.8636645E-005, 1.0150081E+005, 1.1996148E+000
 7.5005273E+001,-6.8629908E-005, 6.8635064E-005, 1.0150081E+005, 1.1996141E+000
 7.6007602E+001,-6.8628573E-005, 6.8633431E-005, 1.0150081E+005, 1.1996133E+000
 7.7009931E+001,-6.8627251E-005, 6.8631771E-005, 1.0150081E+005, 1.1996126E+000
 7.8012260E+001,-6.8625958E-005, 6.8630119E-005, 1.0150082E+005, 1.1996118E+000
 7.9000472E+001,-6.8624686E-005, 6.8628497E-005, 1.0150082E+005, 1.1996110E+000
 8.0002801E+001,-6.8623422E-005, 6.8626870E-005, 1.0150082E+005, 1.1996101E+000
 8.1005130E+001,-6.8622169E-005, 6.8625232E-005, 1.0150082E+005, 1.1996093E+000
 8.2007459E+001,-6.8620908E-005, 6.8623613E-005, 1.0150082E+005, 1.1996083E+000
 8.3009789E+001,-6.8619645E-005, 6.8622005E-005, 1.0150083E+005, 1.1996074E+000
 8.4012118E+001,-6.8618394E-005, 6.8620396E-005, 1.0150083E+005, 1.1996065E+000
 8.5000329E+001,-6.8617139E-005, 6.8618785E-005, 1.0150083E+005, 1.1996055E+000
 8.6002659E+001,-6.8615849E-005, 6.8617149E-005, 1.0150083E+005, 1.1996045E+000
 8.7004988E+001,-6.8614509E-005, 6.8615471E-005, 1.0150083E+005, 1.1996034E+000
 8.8007317E+001,-6.8613139E-005, 6.8613795E-005, 1.0150084E+005, 1.1996024E+000
 8.9009646E+001,-6.8611773E-005, 6.8612151E-005, 1.0150084E+005, 1.1996013E+000
 9.0011975E+001,-6.8610429E-005, 6.8610513E-005, 1.0150084E+005, 1.1996002E+000
 9.1000187E+001,-6.8609099E-005, 6.8608878E-005, 1.0150084E+005, 1.1995990E+000
 9.2002516E+001,-6.8607755E-005, 6.8607236E-005, 1.0150084E+005, 1.1995979E+000
 9.3004845E+001,-6.8606390E-005, 6.8605586E-005, 1.0150084E+005, 1.1995967E+000
 9.4007174E+001,-6.8605020E-005, 6.8603926E-005, 1.0150085E+005, 1.1995955E+000
 9.5009503E+001,-6.8603638E-005, 6.8602242E-005, 1.0150085E+005, 1.1995943E+000
 9.6011832E+001,-6.8602235E-005, 6.8600531E-005, 1.0150085E+005, 1.1995930E+000
 9.7000044E+001,-6.8600818E-005, 6.8598787E-005, 1.0150085E+005, 1.1995917E+000
 9.8002373E+001,-6.8599384E-005, 6.8597018E-005, 1.0150085E+005, 1.1995904E+000
 9.9004702E+001,-6.8597949E-005, 6.8595248E-005, 1.0150085E+005, 1.1995891E+000
 1.0000000E+002,-6.8596524E-005, 6.8593492E-005, 1.0150085E+005, 1.1995878E+000
