s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-6.1205760E-001, 6.1205760E-001, 1.0132500E+005, 8.8318715E-001
 1.0041237E+000,-4.0779734E-001, 4.2903850E-001, 1.0131136E+005, 8.8310250E-001
 2.0019412E+000,-2.4760946E-001, 2.7153330E-001, 1.0125189E+005, 8.8273347E-001
 3.0015895E+000,-2.8348676E-001, 2.7401145E-001, 1.0125087E+005, 8.8272715E-001
 4.0020029E+000,-3.5233941E-001, 2.8400048E-001, 1.0133678E+005, 8.7984057E-001
 5.0003498E+000,-3.3678185E-001, 3.2964198E-001, 1.0137575E+005, 8.7716596E-001
 6.0016516E+000,-3.2368578E-001, 5.0180569E-001, 1.0134629E+005, 8.7830219E-001
 7.0029457E+000,-4.3548968E-001, 4.9981607E-001, 1.0128922E+005, 8.8848579E-001
 8.0028741E+000,-4.4206513E-001, 4.2519149E-001, 1.0125980E+005, 8.7684615E-001
 9.0027043E+000,-4.5421882E-001, 4.5996900E-001, 1.0124101E+005, 8.8493533E-001
 1.0000861E+001,-4.9707470E-001, 4.7175095E-001, 1.0121388E+005, 8.8521550E-001
 1.1001061E+001,-4.7709557E-001, 5.0022805E-001, 1.0118455E+005, 8.8228992E-001
 1.2003111E+001,-4.1997930E-001, 4.6353509E-001, 1.0115209E+005, 8.7716688E-001
 1.3002908E+001,-4.4348071E-001, 4.2295078E-001, 1.0113269E+005, 8.8021926E-001
 1.4000650E+001,-4.6720157E-001, 4.5326958E-001, 1.0111589E+005, 8.7827743E-001
 1.5000434E+001,-4.7602613E-001, 5.0258662E-001, 1.0109264E+005, 8.8064858E-001
 1.6002125E+001,-4.7002917E-001, 4.5475988E-001, 1.0107043E+005, 8.7881700E-001
 1.7002833E+001,-4.7319685E-001, 4.9260328E-001, 1.0104440E+005, 8.7832458E-001
 1.8001824E+001,-4.6747669E-001, 4.4866531E-001, 1.0102085E+005, 8.7806724E-001
 1.9002940E+001,-4.5851327E-001, 4.4947330E-001, 1.0099608E+005, 8.8433453E-001
 2.0003005E+001,-4.4589820E-001, 4.3472961E-001, 1.0097499E+005, 8.8627668E-001
 2.1001099E+001,-5.1131382E-001, 4.7723612E-001, 1.0095880E+005, 8.8296049E-001
 2.2001054E+001,-4.4677446E-001, 4.3501546E-001, 1.0093981E+005, 8.7883195E-001
 2.3000278E+001,-4.5902029E-001, 4.3712884E-001, 1.0092437E+005, 8.7739740E-001
 2.4000469E+001,-4.5288629E-001, 4.6697238E-001, 1.0090806E+005, 8.7550227E-001
 2.5000726E+001,-4.8709868E-001, 4.7184963E-001, 1.0089658E+005, 8.7996869E-001
 2.6000551E+001,-4.6580879E-001, 4.8539061E-001, 1.0089017E+005, 8.7980636E-001
 2.7001691E+001,-5.0683639E-001, 4.7810189E-001, 1.0088296E+005, 8.7857446E-001
 2.8001662E+001,-4.5999071E-001, 4.8663185E-001, 1.0087245E+005, 8.8532652E-001
 2.9001248E+001,-4.4380698E-001, 4.7978479E-001, 1.0085863E+005, 8.7858075E-001
 3.0001327E+001,-4.3722982E-001, 4.6006236E-001, 1.0084354E+005, 8.8157681E-001
 3.1002576E+001,-4.1021121E-001, 4.3701815E-001, 1.0083117E+005, 8.8371438E-001
 3.2000394E+001,-4.8747251E-001, 4.7209559E-001, 1.0082480E+005, 8.8377700E-001
 3.3002499E+001,-4.3222401E-001, 5.0751329E-001, 1.0081709E+005, 8.7406431E-001
 3.4000262E+001,-4.9672275E-001, 4.5979627E-001, 1.0081074E+005, 8.8073119E-001
 3.5002315E+001,-4.6704265E-001, 4.8100010E-001, 1.0080561E+005, 8.7910588E-001
 3.6000028E+001,-4.3404646E-001, 4.4043195E-001, 1.0080607E+005, 8.8359881E-001
 3.7001983E+001,-4.5414970E-001, 4.2971536E-001, 1.0080745E+005, 8.7908767E-001
 3.8000043E+001,-4.6846421E-001, 4.8523598E-001, 1.0080328E+005, 8.7755944E-001
 3.9000034E+001,-4.5351119E-001, 4.8488971E-001, 1.0078961E+005, 8.8019520E-001
 4.0003025E+001,-4.5711213E-001, 4.5868786E-001, 1.0077437E+005, 8.7852007E-001
 4.1000183E+001,-4.7302624E-001, 4.8501853E-001, 1.0076403E+005, 8.7856058E-001
 4.2003084E+001,-4.4871048E-001, 4.5797048E-001, 1.0075879E+005, 8.8344979E-001
 4.3000951E+001,-4.9034588E-001, 4.6242823E-001, 1.0075519E+005, 8.8014271E-001
 4.4002223E+001,-5.1724322E-001, 4.6374238E-001, 1.0074473E+005, 8.8004642E-001
 4.5003623E+001,-4.6468656E-001, 4.9218728E-001, 1.0074278E+005, 8.7510868E-001
 4.6001573E+001,-5.0145323E-001, 4.3531709E-001, 1.0074488E+005, 8.7412580E-001
 4.7003025E+001,-4.6067928E-001, 4.5981131E-001, 1.0074884E+005, 8.7414860E-001
 4.8001305E+001,-4.7161339E-001, 4.7086845E-001, 1.0075131E+005, 8.7782938E-001
 4.9002890E+001,-5.0240070E-001, 4.4531203E-001, 1.0074983E+005, 8.7892480E-001
 5.0003147E+001,-4.8736645E-001, 4.9263409E-001, 1.0074799E+005, 8.7778456E-001
 5.1003417E+001,-4.9724210E-001, 4.7371527E-001, 1.0075431E+005, 8.7747985E-001
 5.2000207E+001,-4.6875795E-001, 4.5777364E-001, 1.0076058E+005, 8.8455877E-001
 5.3001234E+001,-4.8035533E-001, 4.4964037E-001, 1.0076888E+005, 8.8368954E-001
