m,kW/m2,W/m2/K,C,C,kg/m/s,m2/s,kg/m3,m,C,m/s
x,q_wall,h_wall,T_wall,T_gas,mu_wall,nu_wall,rho_wall,z,Tz,Uz
 5.0000000E-002,-6.0018455E-002, 1.8058200E+002, 2.1000000E+001, 2.0667639E+001, 1.0000000E-003, 8.3556146E-004, 1.1968000E+000, 0.0000000E+000, 2.1000000E+001, 0.0000000E+000
 1.5000000E-001,-2.3565815E-002, 1.6220055E+002, 2.1000000E+001, 2.0854712E+001, 1.0000000E-003, 8.3609346E-004, 1.1960385E+000, 2.0408163E-002, 2.0916481E+001, 1.1874024E-001
 2.5000000E-001,-1.8234683E-002, 1.6073389E+002, 2.1000000E+001, 2.0886554E+001, 1.0000000E-003, 8.3618402E-004, 1.1959090E+000, 4.0816327E-002, 2.0833074E+001, 2.3759997E-001
 3.5000000E-001,-1.5829918E-002, 1.6046820E+002, 2.1000000E+001, 2.0901352E+001, 1.0000000E-003, 8.3622610E-004, 1.1958488E+000, 6.1224490E-002, 2.0750151E+001, 3.5533470E-001
 4.5000000E-001,-1.3798405E-002, 1.6030152E+002, 2.1000000E+001, 2.0913922E+001, 1.0000000E-003, 8.3626185E-004, 1.1957977E+000, 8.1632653E-002, 2.0668187E+001, 4.7032923E-001
 5.5000000E-001,-1.2663102E-002, 1.6023043E+002, 2.1000000E+001, 2.0920969E+001, 1.0000000E-003, 8.3628189E-004, 1.1957691E+000, 1.0204082E-001, 2.0588150E+001, 5.7948675E-001
 6.5000000E-001,-1.1650593E-002, 1.6017792E+002, 2.1000000E+001, 2.0927265E+001, 1.0000000E-003, 8.3629979E-004, 1.1957435E+000, 1.2244898E-001, 2.0510762E+001, 6.8063301E-001
 7.5000000E-001,-1.0842750E-002, 1.6014256E+002, 2.1000000E+001, 2.0932293E+001, 1.0000000E-003, 8.3631409E-004, 1.1957230E+000, 1.4285714E-001, 2.0436961E+001, 7.7125330E-001
 8.5000000E-001,-1.0103397E-002, 1.6011477E+002, 2.1000000E+001, 2.0936899E+001, 1.0000000E-003, 8.3632719E-004, 1.1957043E+000, 1.6326531E-001, 2.0368185E+001, 8.4804720E-001
 9.5000000E-001,-9.5556305E-003, 1.6009677E+002, 2.1000000E+001, 2.0940313E+001, 1.0000000E-003, 8.3633690E-004, 1.1956904E+000, 1.8367347E-001, 2.0304784E+001, 9.1131591E-001
 1.0500000E+000,-9.1406295E-003, 1.6008448E+002, 2.1000000E+001, 2.0942901E+001, 1.0000000E-003, 8.3634426E-004, 1.1956799E+000, 2.0408163E-001, 2.0247837E+001, 9.6003320E-001
 1.1500000E+000,-8.6762484E-003, 1.6007204E+002, 2.1000000E+001, 2.0945798E+001, 1.0000000E-003, 8.3635250E-004, 1.1956681E+000, 2.2448980E-001, 2.0197915E+001, 9.9515464E-001
