m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 1.0689655E+002,-7.2655936E-002, 1.7524239E+003, 1.2831052E+001, 1.0689655E+002,-7.2933452E-002, 1.7583300E+003, 1.2984747E+001, 1.0689655E+002,-7.2818412E-002, 1.7588436E+003, 1.3006444E+001, 1.0689655E+002,-7.3700091E-002, 1.7878818E+003, 1.3247740E+001, 1.0689655E+002,-7.3596309E-002, 1.7826926E+003, 1.3133810E+001, 1.0689655E+002, 6.3935708E-002, 1.7034793E+003, 1.2331996E+001, 1.0689655E+002, 6.4129086E-002, 1.7026449E+003, 1.2208780E+001, 1.0689655E+002, 6.3561781E-002, 1.6888940E+003, 1.2160379E+001, 1.0689655E+002, 6.3782956E-002, 1.6943839E+003, 1.2243327E+001, 1.0689655E+002, 6.3311216E-002, 1.6801292E+003, 1.2123225E+001
 1.1655172E+002,-7.2865206E-002, 1.7761756E+003, 1.2967553E+001, 1.1655172E+002,-7.3162523E-002, 1.7859653E+003, 1.3195899E+001, 1.1655172E+002,-7.2606946E-002, 1.7748678E+003, 1.3072861E+001, 1.1655172E+002,-7.4294122E-002, 1.8232386E+003, 1.3352977E+001, 1.1655172E+002,-7.4136944E-002, 1.8196770E+003, 1.3308328E+001, 1.1655172E+002, 6.5433918E-002, 1.7370835E+003, 1.2633648E+001, 1.1655172E+002, 6.5758702E-002, 1.7378290E+003, 1.2472711E+001, 1.1655172E+002, 6.5097115E-002, 1.7180669E+003, 1.2408674E+001, 1.1655172E+002, 6.5246920E-002, 1.7228744E+003, 1.2532918E+001, 1.1655172E+002, 6.5145242E-002, 1.7193989E+003, 1.2445299E+001
 1.2620690E+002,-7.3267526E-002, 1.8056145E+003, 1.3112494E+001, 1.2620690E+002,-7.2742739E-002, 1.7947926E+003, 1.3195215E+001, 1.2620690E+002,-7.2222841E-002, 1.7833436E+003, 1.3164524E+001, 1.2620690E+002,-7.4291946E-002, 1.8397848E+003, 1.3448848E+001, 1.2620690E+002,-7.4009653E-002, 1.8297517E+003, 1.3319237E+001, 1.2620690E+002, 6.6372320E-002, 1.7492068E+003, 1.2645114E+001, 1.2620690E+002, 6.7005445E-002, 1.7618014E+003, 1.2706491E+001, 1.2620690E+002, 6.6195358E-002, 1.7352128E+003, 1.2434537E+001, 1.2620690E+002, 6.6876188E-002, 1.7606972E+003, 1.2821233E+001, 1.2620690E+002, 6.6876112E-002, 1.7626181E+003, 1.2747989E+001
 1.3586207E+002,-7.2890437E-002, 1.8151042E+003, 1.3224420E+001, 1.3586207E+002,-7.2538179E-002, 1.8076213E+003, 1.3298171E+001, 1.3586207E+002,-7.1431415E-002, 1.7791324E+003, 1.3020878E+001, 1.3586207E+002,-7.3535239E-002, 1.8400468E+003, 1.3355782E+001, 1.3586207E+002,-7.3181441E-002, 1.8240127E+003, 1.3146546E+001, 1.3586207E+002, 6.7642980E-002, 1.7689793E+003, 1.2823641E+001, 1.3586207E+002, 6.8405262E-002, 1.7925736E+003, 1.2975263E+001, 1.3586207E+002, 6.7927102E-002, 1.7768961E+003, 1.2763266E+001, 1.3586207E+002, 6.8462472E-002, 1.7973478E+003, 1.2963806E+001, 1.3586207E+002, 6.8478703E-002, 1.7990925E+003, 1.3099356E+001
 1.4551724E+002,-7.2328269E-002, 1.8197430E+003, 1.3220000E+001, 1.4551724E+002,-7.2157089E-002, 1.8175770E+003, 1.3252887E+001, 1.4551724E+002,-7.1149846E-002, 1.7901546E+003, 1.3096200E+001, 1.4551724E+002,-7.2802985E-002, 1.8384420E+003, 1.3315982E+001, 1.4551724E+002,-7.2571388E-002, 1.8273163E+003, 1.3176726E+001, 1.4551724E+002, 6.8971323E-002, 1.7901151E+003, 1.3035935E+001, 1.4551724E+002, 6.9767073E-002, 1.8217961E+003, 1.3136191E+001, 1.4551724E+002, 6.9184947E-002, 1.7902688E+003, 1.2884512E+001, 1.4551724E+002, 6.9501921E-002, 1.8094934E+003, 1.3043494E+001, 1.4551724E+002, 7.0256395E-002, 1.8342489E+003, 1.3218175E+001
 1.5517241E+002,-7.1665777E-002, 1.8258722E+003, 1.3321527E+001, 1.5517241E+002,-7.1630787E-002, 1.8256055E+003, 1.3307117E+001, 1.5517241E+002,-7.1277488E-002, 1.8125879E+003, 1.3229745E+001, 1.5517241E+002,-7.1714437E-002, 1.8232491E+003, 1.3216782E+001, 1.5517241E+002,-7.1548720E-002, 1.8176836E+003, 1.3203194E+001, 1.5517241E+002, 7.0271610E-002, 1.8124728E+003, 1.3137104E+001, 1.5517241E+002, 7.0605657E-002, 1.8206830E+003, 1.3105042E+001, 1.5517241E+002, 7.0344670E-002, 1.8123225E+003, 1.3085875E+001, 1.5517241E+002, 7.0636921E-002, 1.8192830E+003, 1.3067031E+001, 1.5517241E+002, 7.1940354E-002, 1.8636050E+003, 1.3417928E+001
 1.6482759E+002,-7.0673391E-002, 1.8121817E+003, 1.3282458E+001, 1.6482759E+002,-7.1192005E-002, 1.8333205E+003, 1.3416139E+001, 1.6482759E+002,-7.0510506E-002, 1.8053829E+003, 1.3114754E+001, 1.6482759E+002,-7.0992762E-002, 1.8227765E+003, 1.3105329E+001, 1.6482759E+002,-7.0833703E-002, 1.8101529E+003, 1.3148395E+001, 1.6482759E+002, 7.1059254E-002, 1.8197580E+003, 1.3189702E+001, 1.6482759E+002, 7.1106983E-002, 1.8197938E+003, 1.3118456E+001, 1.6482759E+002, 7.1564991E-002, 1.8377332E+003, 1.3337253E+001, 1.6482759E+002, 7.1337205E-002, 1.8219143E+003, 1.3047921E+001, 1.6482759E+002, 7.2562641E-002, 1.8652591E+003, 1.3375411E+001
 1.7448276E+002,-6.9118243E-002, 1.7823983E+003, 1.3039575E+001, 1.7448276E+002,-6.9963185E-002, 1.8112498E+003, 1.3167028E+001, 1.7448276E+002,-6.8970109E-002, 1.7777477E+003, 1.2964137E+001, 1.7448276E+002,-7.0141347E-002, 1.8169967E+003, 1.3142848E+001, 1.7448276E+002,-7.0033557E-002, 1.8121068E+003, 1.3166420E+001, 1.7448276E+002, 7.1318088E-002, 1.7974313E+003, 1.3004728E+001, 1.7448276E+002, 7.1713197E-002, 1.8171772E+003, 1.3120513E+001, 1.7448276E+002, 7.2414942E-002, 1.8423699E+003, 1.3392657E+001, 1.7448276E+002, 7.2022941E-002, 1.8253339E+003, 1.3149921E+001, 1.7448276E+002, 7.3044509E-002, 1.8595610E+003, 1.3381056E+001
 1.8413793E+002,-6.7436348E-002, 1.7485043E+003, 1.2828822E+001, 1.8413793E+002,-6.8692055E-002, 1.7968498E+003, 1.3144182E+001, 1.8413793E+002,-6.7940729E-002, 1.7701114E+003, 1.3067169E+001, 1.8413793E+002,-6.9278850E-002, 1.8169947E+003, 1.3281504E+001, 1.8413793E+002,-6.8571112E-002, 1.7891456E+003, 1.3021230E+001, 1.8413793E+002, 7.1890165E-002, 1.8015005E+003, 1.3125279E+001, 1.8413793E+002, 7.2187632E-002, 1.8100404E+003, 1.3077142E+001, 1.8413793E+002, 7.2468993E-002, 1.8196205E+003, 1.3147419E+001, 1.8413793E+002, 7.2655821E-002, 1.8249008E+003, 1.3161104E+001, 1.8413793E+002, 7.3637449E-002, 1.8566886E+003, 1.3446190E+001
 1.9379310E+002,-6.5923212E-002, 1.7227231E+003, 1.2612159E+001, 1.9379310E+002,-6.7324071E-002, 1.7659500E+003, 1.2960947E+001, 1.9379310E+002,-6.6671709E-002, 1.7474094E+003, 1.2892441E+001, 1.9379310E+002,-6.7960186E-002, 1.7930949E+003, 1.3146644E+001, 1.9379310E+002,-6.7035326E-002, 1.7593027E+003, 1.2843664E+001, 1.9379310E+002, 7.1715464E-002, 1.7765244E+003, 1.3017789E+001, 1.9379310E+002, 7.1960498E-002, 1.7799603E+003, 1.2908453E+001, 1.9379310E+002, 7.2361685E-002, 1.7969489E+003, 1.3090528E+001, 1.9379310E+002, 7.2799189E-002, 1.8092495E+003, 1.3149042E+001, 1.9379310E+002, 7.3664149E-002, 1.8335807E+003, 1.3313515E+001
 2.0344828E+002,-6.4377555E-002, 1.6878232E+003, 1.2380202E+001, 2.0344828E+002,-6.5948467E-002, 1.7408868E+003, 1.2749702E+001, 2.0344828E+002,-6.5610516E-002, 1.7282629E+003, 1.2680797E+001, 2.0344828E+002,-6.6315652E-002, 1.7558512E+003, 1.2954155E+001, 2.0344828E+002,-6.5897549E-002, 1.7399832E+003, 1.2700760E+001, 2.0344828E+002, 7.1804960E-002, 1.7598834E+003, 1.2923311E+001, 2.0344828E+002, 7.2341322E-002, 1.7753600E+003, 1.2983233E+001, 2.0344828E+002, 7.2674051E-002, 1.7877893E+003, 1.3076903E+001, 2.0344828E+002, 7.2676161E-002, 1.7904169E+003, 1.3067464E+001, 2.0344828E+002, 7.3592155E-002, 1.8089892E+003, 1.3143519E+001
 2.1310345E+002,-6.3027896E-002, 1.6604476E+003, 1.2315690E+001, 2.1310345E+002,-6.3849033E-002, 1.6881920E+003, 1.2380116E+001, 2.1310345E+002,-6.4068808E-002, 1.6980387E+003, 1.2414401E+001, 2.1310345E+002,-6.4429642E-002, 1.7158451E+003, 1.2755739E+001, 2.1310345E+002,-6.4378723E-002, 1.7077122E+003, 1.2557408E+001, 2.1310345E+002, 7.1430680E-002, 1.7256367E+003, 1.2629975E+001, 2.1310345E+002, 7.2666388E-002, 1.7668749E+003, 1.3031348E+001, 2.1310345E+002, 7.2734377E-002, 1.7670608E+003, 1.2872113E+001, 2.1310345E+002, 7.2267873E-002, 1.7491246E+003, 1.2799938E+001, 2.1310345E+002, 7.3339342E-002, 1.7833281E+003, 1.3008579E+001
 2.2275862E+002,-6.1123844E-002, 1.6253263E+003, 1.2063214E+001, 2.2275862E+002,-6.2161151E-002, 1.6571533E+003, 1.2222600E+001, 2.2275862E+002,-6.2573578E-002, 1.6711575E+003, 1.2412773E+001, 2.2275862E+002,-6.2175302E-002, 1.6574130E+003, 1.2259470E+001, 2.2275862E+002,-6.2646688E-002, 1.6773162E+003, 1.2449304E+001, 2.2275862E+002, 7.1085088E-002, 1.6955198E+003, 1.2472157E+001, 2.2275862E+002, 7.2398875E-002, 1.7370049E+003, 1.2806332E+001, 2.2275862E+002, 7.2328363E-002, 1.7273805E+003, 1.2676391E+001, 2.2275862E+002, 7.1886047E-002, 1.7164724E+003, 1.2556700E+001, 2.2275862E+002, 7.2674141E-002, 1.7388495E+003, 1.2678397E+001
 2.3241379E+002,-5.9431470E-002, 1.5880310E+003, 1.1849479E+001, 2.3241379E+002,-6.0665016E-002, 1.6246399E+003, 1.2030900E+001, 2.3241379E+002,-6.0708015E-002, 1.6257141E+003, 1.2005552E+001, 2.3241379E+002,-6.0365799E-002, 1.6164440E+003, 1.1953048E+001, 2.3241379E+002,-6.0369941E-002, 1.6161382E+003, 1.2027702E+001, 2.3241379E+002, 7.0754305E-002, 1.6629903E+003, 1.2333260E+001, 2.3241379E+002, 7.1984552E-002, 1.7029828E+003, 1.2556672E+001, 2.3241379E+002, 7.1676236E-002, 1.6913990E+003, 1.2401450E+001, 2.3241379E+002, 7.1321337E-002, 1.6797112E+003, 1.2306043E+001, 2.3241379E+002, 7.1856415E-002, 1.6927369E+003, 1.2326115E+001
 2.4206897E+002,-5.7436779E-002, 1.5335185E+003, 1.1381363E+001, 2.4206897E+002,-5.8233523E-002, 1.5519001E+003, 1.1441442E+001, 2.4206897E+002,-5.8543928E-002, 1.5758544E+003, 1.1807466E+001, 2.4206897E+002,-5.8265905E-002, 1.5610424E+003, 1.1647332E+001, 2.4206897E+002,-5.7785871E-002, 1.5390404E+003, 1.1388892E+001, 2.4206897E+002, 6.9853700E-002, 1.6196098E+003, 1.1911381E+001, 2.4206897E+002, 7.1364433E-002, 1.6618829E+003, 1.2254438E+001, 2.4206897E+002, 7.0763489E-002, 1.6413014E+003, 1.2127373E+001, 2.4206897E+002, 7.0316684E-002, 1.6223279E+003, 1.1902315E+001, 2.4206897E+002, 7.0790686E-002, 1.6320400E+003, 1.1949968E+001
 2.5172414E+002,-5.5469519E-002, 1.4842872E+003, 1.1133705E+001, 2.5172414E+002,-5.6121340E-002, 1.4974348E+003, 1.1176202E+001, 2.5172414E+002,-5.6342558E-002, 1.5228286E+003, 1.1408262E+001, 2.5172414E+002,-5.5680290E-002, 1.4824654E+003, 1.0971702E+001, 2.5172414E+002,-5.5203590E-002, 1.4680521E+003, 1.0816141E+001, 2.5172414E+002, 6.8813169E-002, 1.5598876E+003, 1.1498754E+001, 2.5172414E+002, 7.0004402E-002, 1.5971389E+003, 1.1765331E+001, 2.5172414E+002, 6.9665661E-002, 1.5844849E+003, 1.1685688E+001, 2.5172414E+002, 6.8929728E-002, 1.5602783E+003, 1.1381567E+001, 2.5172414E+002, 6.9239101E-002, 1.5684732E+003, 1.1361539E+001
 2.6137931E+002,-5.3091528E-002, 1.4257394E+003, 1.0598458E+001, 2.6137931E+002,-5.3648098E-002, 1.4375862E+003, 1.0675663E+001, 2.6137931E+002,-5.4114037E-002, 1.4583169E+003, 1.0944699E+001, 2.6137931E+002,-5.3348709E-002, 1.4242275E+003, 1.0486294E+001, 2.6137931E+002,-5.3253683E-002, 1.4231305E+003, 1.0523762E+001, 2.6137931E+002, 6.7494995E-002, 1.4860604E+003, 1.0778516E+001, 2.6137931E+002, 6.8368379E-002, 1.5134767E+003, 1.0930975E+001, 2.6137931E+002, 6.8373231E-002, 1.5172898E+003, 1.1087185E+001, 2.6137931E+002, 6.7180238E-002, 1.4775676E+003, 1.0562517E+001, 2.6137931E+002, 6.7399793E-002, 1.4827967E+003, 1.0521182E+001
 2.7103448E+002,-5.0795744E-002, 1.3587171E+003, 1.0070942E+001, 2.7103448E+002,-5.1371064E-002, 1.3786091E+003, 1.0146901E+001, 2.7103448E+002,-5.1689750E-002, 1.3875778E+003, 1.0289801E+001, 2.7103448E+002,-5.1128355E-002, 1.3650463E+003, 1.0048336E+001, 2.7103448E+002,-5.1192634E-002, 1.3646837E+003, 9.9967523E+000, 2.7103448E+002, 6.5831021E-002, 1.4066461E+003, 9.7457524E+000, 2.7103448E+002, 6.6491792E-002, 1.4244097E+003, 9.9418081E+000, 2.7103448E+002, 6.6879373E-002, 1.4500209E+003, 1.0436813E+001, 2.7103448E+002, 6.5513388E-002, 1.3877594E+003, 9.4202264E+000, 2.7103448E+002, 6.5720295E-002, 1.4028589E+003, 9.6744213E+000
 2.8068966E+002,-4.8332569E-002, 1.2793035E+003, 9.2894190E+000, 2.8068966E+002,-4.8922180E-002, 1.3014875E+003, 9.4669208E+000, 2.8068966E+002,-4.9467342E-002, 1.3213520E+003, 9.7432334E+000, 2.8068966E+002,-4.8719745E-002, 1.2962233E+003, 9.3932915E+000, 2.8068966E+002,-4.8509801E-002, 1.2814960E+003, 9.1893908E+000, 2.8068966E+002, 6.3922680E-002, 1.2962594E+003, 8.0242464E+000, 2.8068966E+002, 6.4482933E-002, 1.3114846E+003, 8.3669558E+000, 2.8068966E+002, 6.4357282E-002, 1.3210354E+003, 8.4729950E+000, 2.8068966E+002, 6.3880828E-002, 1.2764474E+003, 7.9604993E+000, 2.8068966E+002, 6.3814728E-002, 1.2910066E+003, 8.0462039E+000
 2.9034483E+002,-4.6028757E-002, 1.1918308E+003, 8.4587099E+000, 2.9034483E+002,-4.6538373E-002, 1.2282531E+003, 8.7430700E+000, 2.9034483E+002,-4.6678787E-002, 1.2381081E+003, 8.8536965E+000, 2.9034483E+002,-4.6336629E-002, 1.2249053E+003, 8.7995513E+000, 2.9034483E+002,-4.6301354E-002, 1.2174778E+003, 8.7696498E+000, 2.9034483E+002, 6.2731402E-002, 1.1517176E+003, 5.9714016E+000, 2.9034483E+002, 6.2945783E-002, 1.1829748E+003, 6.2166375E+000, 2.9034483E+002, 6.2760793E-002, 1.1605185E+003, 6.0030240E+000, 2.9034483E+002, 6.2753635E-002, 1.1606191E+003, 6.0878313E+000, 2.9034483E+002, 6.2646532E-002, 1.1398835E+003, 5.8703287E+000
 3.0000000E+002,-4.3842960E-002, 1.1341296E+003, 7.7324335E+000, 3.0000000E+002,-4.4082814E-002, 1.1431215E+003, 7.8715087E+000, 3.0000000E+002,-4.4213082E-002, 1.1585007E+003, 8.0796532E+000, 3.0000000E+002,-4.4142128E-002, 1.1667637E+003, 8.0905801E+000, 3.0000000E+002,-4.3841153E-002, 1.1330707E+003, 7.7778693E+000, 3.0000000E+002, 6.2844774E-002, 1.0074862E+003, 4.4650119E+000, 3.0000000E+002, 6.2822145E-002, 1.0288869E+003, 4.4823774E+000, 3.0000000E+002, 6.2741183E-002, 9.9625498E+002, 4.3693928E+000, 3.0000000E+002, 6.2665740E-002, 1.0177914E+003, 4.2981426E+000, 3.0000000E+002, 6.2776337E-002, 9.9697560E+002, 4.3670166E+000
