s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1974873E+000, 1.9395961E-001, 6.7885714E-001
 2.1953935E+000, 3.4344370E-001, 1.1527532E+000
 3.1932996E+000, 3.6412819E-001, 1.1316946E+000
 4.1274283E+000, 3.6488441E-001, 1.2285450E+000
 5.0661232E+000, 3.6195590E-001, 1.3464611E+000
 6.0640023E+000, 3.5922324E-001, 1.2416692E+000
 7.0733512E+000, 3.5749797E-001, 1.2635808E+000
 8.0827001E+000, 3.5715232E-001, 1.2863508E+000
 9.0415816E+000, 3.5855985E-001, 1.2759707E+000
 1.0013080E+001, 3.6034719E-001, 1.2893509E+000
 1.1053971E+001, 3.5950612E-001, 1.2645603E+000
 1.2122619E+001, 3.5633571E-001, 1.2941655E+000
 1.3038603E+001, 3.5343867E-001, 1.2930305E+000
 1.4107251E+001, 3.5334191E-001, 1.2479531E+000
 1.5021797E+001, 3.5415259E-001, 1.3168037E+000
 1.6119251E+001, 3.5405987E-001, 1.2595566E+000
 1.7110696E+001, 3.5413176E-001, 1.2760545E+000
 1.8014811E+001, 3.5419139E-001, 1.3157607E+000
 1.9066167E+001, 3.5467351E-001, 1.2303155E+000
 2.0085851E+001, 3.5521372E-001, 1.3026458E+000
 2.1104451E+001, 3.5534547E-001, 1.2725161E+000
 2.2087196E+001, 3.5516886E-001, 1.2656717E+000
 2.3010818E+001, 3.5507162E-001, 1.3174723E+000
 2.4000413E+001, 3.5515788E-001, 1.2435219E+000
 2.5088062E+001, 3.5540510E-001, 1.3005547E+000
 2.6000820E+001, 3.5561600E-001, 1.2743548E+000
 2.7116413E+001, 3.5583689E-001, 1.2535189E+000
 2.8092557E+001, 3.5594806E-001, 1.3208590E+000
 2.9124480E+001, 3.5618929E-001, 1.2341393E+000
 3.0116488E+001, 3.5635483E-001, 1.3057382E+000
 3.1047185E+001, 3.5625990E-001, 1.2737277E+000
 3.2002501E+001, 3.5593173E-001, 1.2536779E+000
 3.3005083E+001, 3.5559856E-001, 1.3075923E+000
 3.4045263E+001, 3.5538074E-001, 1.2538136E+000
 3.5010249E+001, 3.5542573E-001, 1.3122670E+000
 3.6113090E+001, 3.5561364E-001, 1.2639676E+000
 3.7078076E+001, 3.5577516E-001, 1.2773444E+000
 3.8043062E+001, 3.5582164E-001, 1.3137164E+000
 3.9090761E+001, 3.5578240E-001, 1.2307095E+000
 4.0044851E+001, 3.5571156E-001, 1.3117900E+000
 4.1128159E+001, 3.5568654E-001, 1.2691587E+000
 4.2128157E+001, 3.5570603E-001, 1.2670066E+000
 4.3053625E+001, 3.5582183E-001, 1.3150085E+000
 4.4058419E+001, 3.5616313E-001, 1.2377932E+000
 4.5114873E+001, 3.5654607E-001, 1.2983766E+000
 4.6033584E+001, 3.5657922E-001, 1.2810111E+000
 4.7016095E+001, 3.5665545E-001, 1.2421352E+000
 4.8110815E+001, 3.5649043E-001, 1.3064914E+000
 4.9114308E+001, 3.5618405E-001, 1.2513271E+000
 5.0081810E+001, 3.5575037E-001, 1.2883298E+000
 5.1015398E+001, 3.5536430E-001, 1.2932965E+000
 5.2027882E+001, 3.5499786E-001, 1.2489740E+000
 5.3094953E+001, 3.5481634E-001, 1.3118501E+000
 5.4028302E+001, 3.5507493E-001, 1.2589385E+000
 5.5026466E+001, 3.5556705E-001, 1.2792368E+000
 5.6024630E+001, 3.5606044E-001, 1.3107831E+000
 5.7065573E+001, 3.5631058E-001, 1.2308835E+000
 5.8035870E+001, 3.5642058E-001, 1.3148121E+000
 5.9147574E+001, 3.5631070E-001, 1.2704565E+000
 6.0022739E+001, 3.5610310E-001, 1.2516960E+000
 6.1058823E+001, 3.5581771E-001, 1.3151028E+000
 6.2070300E+001, 3.5550821E-001, 1.2360943E+000
 6.3056664E+001, 3.5537086E-001, 1.2979189E+000
 6.4133384E+001, 3.5528433E-001, 1.2839974E+000
 6.5123405E+001, 3.5510429E-001, 1.2484412E+000
 6.6044728E+001, 3.5500184E-001, 1.3233244E+000
 6.7020014E+001, 3.5495936E-001, 1.2468458E+000
 6.8007370E+001, 3.5516326E-001, 1.2816605E+000
 6.9077517E+001, 3.5550763E-001, 1.2923611E+000
 7.0080779E+001, 3.5578252E-001, 1.2543219E+000
 7.1103989E+001, 3.5578906E-001, 1.3057849E+000
 7.2037667E+001, 3.5562861E-001, 1.2608788E+000
 7.3120991E+001, 3.5573973E-001, 1.2918081E+000
 7.4049553E+001, 3.5583055E-001, 1.2995009E+000
 7.5099775E+001, 3.5593507E-001, 1.2353457E+000
 7.6120543E+001, 3.5596682E-001, 1.3116907E+000
 7.7038574E+001, 3.5592821E-001, 1.2621264E+000
 7.8089346E+001, 3.5575714E-001, 1.2698583E+000
 7.9140119E+001, 3.5531414E-001, 1.3132713E+000
 8.0040781E+001, 3.5507466E-001, 1.2275457E+000
 8.1021198E+001, 3.5512774E-001, 1.2949809E+000
 8.2127225E+001, 3.5524273E-001, 1.2773044E+000
 8.3134542E+001, 3.5527093E-001, 1.2672783E+000
 8.4141859E+001, 3.5518213E-001, 1.3113396E+000
 8.5048445E+001, 3.5530374E-001, 1.2356057E+000
 8.6003447E+001, 3.5548930E-001, 1.2886094E+000
 8.7065728E+001, 3.5567509E-001, 1.2920194E+000
 8.8088173E+001, 3.5581614E-001, 1.2426327E+000
 8.9002991E+001, 3.5574622E-001, 1.3222434E+000
 9.0102080E+001, 3.5572180E-001, 1.2508167E+000
 9.1027670E+001, 3.5603030E-001, 1.2860604E+000
 9.2024730E+001, 3.5620981E-001, 1.2852361E+000
 9.3040254E+001, 3.5623997E-001, 1.2598656E+000
 9.4082858E+001, 3.5582174E-001, 1.3160062E+000
 9.5125462E+001, 3.5538089E-001, 1.2427948E+000
 9.6105364E+001, 3.5521428E-001, 1.2935207E+000
 9.7064894E+001, 3.5526704E-001, 1.2926355E+000
 9.8091057E+001, 3.5533100E-001, 1.2384556E+000
 9.9117221E+001, 3.5540327E-001, 1.3218915E+000
 1.0000000E+002, 3.5547005E-001, 1.2451601E+000
