m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 1.0000000E-003, 2.9668728E+000,-2.9593674E-002
 5.1612903E-001, 2.9363546E+000,-2.8985004E-002
 1.0322581E+000, 2.9006793E+000,-2.8348105E-002
 1.5483871E+000, 2.8781938E+000,-2.7874994E-002
 2.0645161E+000, 2.8462770E+000,-2.7337671E-002
 2.5806452E+000, 2.8211945E+000,-2.6878953E-002
 3.0967742E+000, 2.8018307E+000,-2.6494613E-002
 3.6129032E+000, 2.7772689E+000,-2.6044110E-002
 4.1290323E+000, 2.7561771E+000,-2.5676392E-002
 4.6451613E+000, 2.7363579E+000,-2.5309477E-002
 5.1612903E+000, 2.7124289E+000,-2.4906205E-002
 5.6774194E+000, 2.6875242E+000,-2.4522117E-002
 6.1935484E+000, 2.6689078E+000,-2.4205343E-002
 6.7096774E+000, 2.6500740E+000,-2.3874331E-002
 7.2258065E+000, 2.6337597E+000,-2.3583552E-002
 7.7419355E+000, 2.6189378E+000,-2.3308750E-002
 8.2580645E+000, 2.6012344E+000,-2.3016020E-002
 8.7741935E+000, 2.5818803E+000,-2.2716567E-002
 9.2903226E+000, 2.5648188E+000,-2.2443675E-002
 9.8064516E+000, 2.5462573E+000,-2.2142713E-002
 1.0322581E+001, 2.5283862E+000,-2.1873845E-002
 1.0838710E+001, 2.5092955E+000,-2.1596002E-002
 1.1354839E+001, 2.4950087E+000,-2.1369906E-002
 1.1870968E+001, 2.4872385E+000,-2.1220403E-002
 1.2387097E+001, 2.4834718E+000,-2.1119394E-002
 1.2903226E+001, 2.4747495E+000,-2.0963923E-002
 1.3419355E+001, 2.4672805E+000,-2.0834312E-002
 1.3935484E+001, 2.4603251E+000,-2.0707841E-002
 1.4451613E+001, 2.4544226E+000,-2.0602188E-002
 1.4967742E+001, 2.4522136E+000,-2.0530997E-002
 1.5483871E+001, 2.4549123E+000,-2.0512211E-002
 1.5999000E+001, 2.4701538E+000,-2.0568728E-002
