s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 1.1229154E+000,-3.4400410E+001, 0.0000000E+000
 1.0004773E+001, 1.0143035E+005, 1.1230629E+000,-2.5393229E+001, 3.6587404E+000
 2.0021842E+001, 1.0153400E+005, 1.1312599E+000,-1.6978344E+001, 8.3149857E+000
 3.0025007E+001, 1.0159908E+005, 1.1336815E+000,-1.6105044E+001, 8.3523586E+000
 4.0011158E+001, 1.0166008E+005, 1.1362851E+000,-1.5767668E+001, 8.1761129E+000
 5.0010313E+001, 1.0171996E+005, 1.1386340E+000,-1.5849089E+001, 8.4865109E+000
 6.0021683E+001, 1.0177729E+005, 1.1384406E+000,-1.5839863E+001, 8.8464832E+000
 7.0019636E+001, 1.0183159E+005, 1.1373527E+000,-1.5685651E+001, 9.0884306E+000
 8.0005159E+001, 1.0188310E+005, 1.1432025E+000,-1.5486724E+001, 9.1757672E+000
 9.0033901E+001, 1.0193241E+005, 1.1386381E+000,-1.5293525E+001, 9.2438754E+000
 1.0002411E+002, 1.0198005E+005, 1.1447449E+000,-1.5195161E+001, 9.3654246E+000
 1.1002754E+002, 1.0202617E+005, 1.1395122E+000,-1.5087963E+001, 9.4214005E+000
 1.2001554E+002, 1.0207073E+005, 1.1427686E+000,-1.4979301E+001, 9.4885381E+000
 1.3002036E+002, 1.0211368E+005, 1.1425665E+000,-1.4831556E+001, 9.5814142E+000
 1.4000598E+002, 1.0215500E+005, 1.1443023E+000,-1.4775111E+001, 9.7046948E+000
 1.5002733E+002, 1.0219481E+005, 1.1424805E+000,-1.4671215E+001, 9.8479037E+000
 1.6001979E+002, 1.0223263E+005, 1.1410011E+000,-1.4559161E+001, 9.9705376E+000
 1.7002397E+002, 1.0226876E+005, 1.1421494E+000,-1.4425047E+001, 1.0043998E+001
 1.8000539E+002, 1.0230324E+005, 1.1439951E+000,-1.4266097E+001, 1.0063585E+001
 1.9002243E+002, 1.0233642E+005, 1.1449659E+000,-1.4189337E+001, 1.0150568E+001
 2.0002759E+002, 1.0236861E+005, 1.1440990E+000,-1.4159594E+001, 1.0219745E+001
 2.1002469E+002, 1.0239945E+005, 1.1415032E+000,-1.4076448E+001, 1.0367196E+001
 2.2001867E+002, 1.0242905E+005, 1.1431195E+000,-1.4037258E+001, 1.0453775E+001
 2.3000398E+002, 1.0245730E+005, 1.1436917E+000,-1.3926409E+001, 1.0450683E+001
 2.4002875E+002, 1.0248504E+005, 1.1412613E+000,-1.3912526E+001, 1.0585864E+001
 2.5001342E+002, 1.0251108E+005, 1.1413499E+000,-1.3790432E+001, 1.0694371E+001
 2.6001076E+002, 1.0253537E+005, 1.1421039E+000,-1.3674217E+001, 1.0744097E+001
 2.7002107E+002, 1.0255869E+005, 1.1442900E+000,-1.3617386E+001, 1.0812133E+001
 2.8002345E+002, 1.0258134E+005, 1.1431705E+000,-1.3565769E+001, 1.0809385E+001
 2.9001240E+002, 1.0260317E+005, 1.1425919E+000,-1.3554482E+001, 1.0908596E+001
 3.0001034E+002, 1.0262428E+005, 1.1418284E+000,-1.3497961E+001, 1.0936727E+001
 3.1000228E+002, 1.0264470E+005, 1.1437581E+000,-1.3439150E+001, 1.0994621E+001
 3.2001660E+002, 1.0266422E+005, 1.1433084E+000,-1.3368824E+001, 1.1030531E+001
 3.3001309E+002, 1.0268249E+005, 1.1415489E+000,-1.3257135E+001, 1.1086601E+001
 3.4001063E+002, 1.0270034E+005, 1.1436710E+000,-1.3261228E+001, 1.1083189E+001
 3.5002563E+002, 1.0271778E+005, 1.1405351E+000,-1.3218260E+001, 1.1155956E+001
 3.6000189E+002, 1.0273420E+005, 1.1445222E+000,-1.3243766E+001, 1.1267716E+001
 3.7003153E+002, 1.0275012E+005, 1.1420044E+000,-1.3173819E+001, 1.1303762E+001
 3.8001874E+002, 1.0276525E+005, 1.1390177E+000,-1.3149835E+001, 1.1321336E+001
 3.9002767E+002, 1.0277982E+005, 1.1417139E+000,-1.3078489E+001, 1.1346526E+001
 4.0000425E+002, 1.0279403E+005, 1.1398296E+000,-1.3085986E+001, 1.1379419E+001
 4.1003110E+002, 1.0280767E+005, 1.1382680E+000,-1.2974092E+001, 1.1405664E+001
 4.2002512E+002, 1.0282015E+005, 1.1410778E+000,-1.2935475E+001, 1.1481827E+001
 4.3001414E+002, 1.0283182E+005, 1.1432570E+000,-1.2896800E+001, 1.1529166E+001
 4.4003064E+002, 1.0284306E+005, 1.1415841E+000,-1.2818646E+001, 1.1519262E+001
 4.5002803E+002, 1.0285373E+005, 1.1386753E+000,-1.2831693E+001, 1.1610840E+001
 4.6000417E+002, 1.0286302E+005, 1.1500499E+000,-1.2835063E+001, 1.1839332E+001
 4.7002919E+002, 1.0287182E+005, 1.1416979E+000,-1.2801060E+001, 1.1735466E+001
 4.8002962E+002, 1.0288109E+005, 1.1391447E+000,-1.2709905E+001, 1.1680747E+001
 4.9000462E+002, 1.0288906E+005, 1.1414317E+000,-1.2703627E+001, 1.1779070E+001
 5.0002533E+002, 1.0289658E+005, 1.1422858E+000,-1.2625791E+001, 1.1839110E+001
 5.1000231E+002, 1.0290300E+005, 1.1423250E+000,-1.2529866E+001, 1.1794101E+001
