m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-1.5172414E-001,-1.0024271E-002, 6.4812019E+000, 3.2761512E+000,-1.5172414E-001,-8.5962627E-003, 6.1270333E+000, 3.2439041E+000,-1.5172414E-001,-8.2863184E-003, 5.8899483E+000, 3.2361135E+000,-1.5172414E-001,-9.3080898E-003, 6.4262720E+000, 3.2609033E+000,-1.5172414E-001,-9.8593405E-003, 6.2125145E+000, 3.2725570E+000,-1.5172414E-001, 9.5036998E-003, 6.8600942E+000, 3.2710606E+000,-1.5172414E-001, 1.0829700E-002, 6.1477535E+000, 3.2969744E+000,-1.5172414E-001, 1.0700183E-002, 5.6413531E+000, 3.2948316E+000,-1.5172414E-001, 9.8267847E-003, 6.1252358E+000, 3.2775940E+000,-1.5172414E-001, 8.9550339E-003, 5.8884502E+000, 3.2591660E+000
-1.2413793E-001,-9.9489832E-003, 6.4773835E+000, 3.2746604E+000,-1.2413793E-001,-8.6327044E-003, 6.1210869E+000, 3.2446939E+000,-1.2413793E-001,-8.3149472E-003, 6.0368693E+000, 3.2370765E+000,-1.2413793E-001,-9.1675542E-003, 6.5796685E+000, 3.2575048E+000,-1.2413793E-001,-9.9027994E-003, 5.9091436E+000, 3.2735738E+000,-1.2413793E-001, 9.4877816E-003, 6.9659083E+000, 3.2707988E+000,-1.2413793E-001, 1.0837999E-002, 6.2865594E+000, 3.2972973E+000,-1.2413793E-001, 1.0862249E-002, 5.5560039E+000, 3.2978640E+000,-1.2413793E-001, 9.9181927E-003, 6.3069957E+000, 3.2795677E+000,-1.2413793E-001, 8.8866760E-003, 5.6800900E+000, 3.2577873E+000
-9.6551724E-002,-9.9176868E-003, 6.6459548E+000, 3.2740707E+000,-9.6551724E-002,-8.6606237E-003, 6.1222112E+000, 3.2453580E+000,-9.6551724E-002,-8.3600659E-003, 6.0851703E+000, 3.2382458E+000,-9.6551724E-002,-9.2035085E-003, 6.4432336E+000, 3.2582338E+000,-9.6551724E-002,-9.9390319E-003, 5.8430781E+000, 3.2743671E+000,-9.6551724E-002, 9.4852503E-003, 6.9052716E+000, 3.2708084E+000,-9.6551724E-002, 1.0828812E-002, 6.3814689E+000, 3.2972311E+000,-9.6551724E-002, 1.0960436E-002, 5.4768867E+000, 3.2995674E+000,-9.6551724E-002, 9.9678325E-003, 6.2538285E+000, 3.2804817E+000,-9.6551724E-002, 8.8880368E-003, 5.7278744E+000, 3.2578611E+000
-6.8965517E-002,-9.8835624E-003, 6.7699991E+000, 3.2734406E+000,-6.8965517E-002,-8.7229009E-003, 6.0152767E+000, 3.2467163E+000,-6.8965517E-002,-8.3614355E-003, 5.9284937E+000, 3.2382142E+000,-6.8965517E-002,-9.2599212E-003, 6.3523537E+000, 3.2594416E+000,-6.8965517E-002,-9.9098889E-003, 5.9412003E+000, 3.2736995E+000,-6.8965517E-002, 9.4817618E-003, 6.7121028E+000, 3.2707332E+000,-6.8965517E-002, 1.0712610E-002, 6.3916627E+000, 3.2950707E+000,-6.8965517E-002, 1.0970426E-002, 5.4363876E+000, 3.2996560E+000,-6.8965517E-002, 1.0015957E-002, 6.5235673E+000, 3.2814963E+000,-6.8965517E-002, 9.0244722E-003, 5.8836395E+000, 3.2609198E+000
-4.1379310E-002,-9.9050715E-003, 6.8072587E+000, 3.2738439E+000,-4.1379310E-002,-8.7822459E-003, 6.2700141E+000, 3.2481782E+000,-4.1379310E-002,-8.3091135E-003, 5.9216828E+000, 3.2368371E+000,-4.1379310E-002,-9.3370872E-003, 6.4224416E+000, 3.2611501E+000,-4.1379310E-002,-9.9196817E-003, 6.0861617E+000, 3.2739030E+000,-4.1379310E-002, 9.4647233E-003, 6.6891152E+000, 3.2703401E+000,-4.1379310E-002, 1.0631675E-002, 6.3127361E+000, 3.2935411E+000,-4.1379310E-002, 1.1006408E-002, 5.4538831E+000, 3.3002639E+000,-4.1379310E-002, 1.0056301E-002, 6.6697673E+000, 3.2823439E+000,-4.1379310E-002, 9.1593694E-003, 6.0571366E+000, 3.2638883E+000
-1.3793103E-002,-9.9243021E-003, 6.7986020E+000, 3.2741183E+000,-1.3793103E-002,-8.7869813E-003, 6.5475407E+000, 3.2484766E+000,-1.3793103E-002,-8.2112740E-003, 6.0816985E+000, 3.2342661E+000,-1.3793103E-002,-9.3650745E-003, 6.3273877E+000, 3.2618095E+000,-1.3793103E-002,-9.9102895E-003, 6.2744373E+000, 3.2738441E+000,-1.3793103E-002, 9.4388861E-003, 6.7383233E+000, 3.2697656E+000,-1.3793103E-002, 1.0566778E-002, 6.3651816E+000, 3.2923387E+000,-1.3793103E-002, 1.1053652E-002, 5.6596093E+000, 3.3012775E+000,-1.3793103E-002, 1.0141248E-002, 6.7295024E+000, 3.2840552E+000,-1.3793103E-002, 9.2541844E-003, 6.3532141E+000, 3.2658906E+000
 1.3793103E-002,-9.9691009E-003, 6.6946733E+000, 3.2749577E+000, 1.3793103E-002,-8.7656850E-003, 6.5640766E+000, 3.2480685E+000, 1.3793103E-002,-8.1358857E-003, 6.2277966E+000, 3.2324368E+000, 1.3793103E-002,-9.3462229E-003, 6.2998489E+000, 3.2614270E+000, 1.3793103E-002,-9.8739229E-003, 6.4538633E+000, 3.2731378E+000, 1.3793103E-002, 9.3757988E-003, 6.7642646E+000, 3.2683260E+000, 1.3793103E-002, 1.0543624E-002, 6.4839405E+000, 3.2919448E+000, 1.3793103E-002, 1.1118611E-002, 5.6690790E+000, 3.3025938E+000, 1.3793103E-002, 1.0239165E-002, 6.7963184E+000, 3.2859599E+000, 1.3793103E-002, 9.3457401E-003, 6.4267868E+000, 3.2677455E+000
 4.1379310E-002,-9.9947636E-003, 6.6600660E+000, 3.2754842E+000, 4.1379310E-002,-8.7655725E-003, 6.5768260E+000, 3.2480446E+000, 4.1379310E-002,-8.0947522E-003, 6.2070974E+000, 3.2314751E+000, 4.1379310E-002,-9.3127739E-003, 6.2058481E+000, 3.2606080E+000, 4.1379310E-002,-9.7552753E-003, 6.5212042E+000, 3.2706565E+000, 4.1379310E-002, 9.2754498E-003, 6.7285967E+000, 3.2661158E+000, 4.1379310E-002, 1.0614974E-002, 6.5363113E+000, 3.2932958E+000, 4.1379310E-002, 1.1099020E-002, 5.6588666E+000, 3.3023735E+000, 4.1379310E-002, 1.0343274E-002, 6.7212057E+000, 3.2880086E+000, 4.1379310E-002, 9.4745681E-003, 6.4257630E+000, 3.2703725E+000
 6.8965517E-002,-1.0063572E-002, 6.7092807E+000, 3.2769528E+000, 6.8965517E-002,-8.8684841E-003, 6.5569319E+000, 3.2506044E+000, 6.8965517E-002,-8.0913819E-003, 6.0995824E+000, 3.2314321E+000, 6.8965517E-002,-9.2121314E-003, 6.3117689E+000, 3.2583852E+000, 6.8965517E-002,-9.6338306E-003, 6.7039743E+000, 3.2680167E+000, 6.8965517E-002, 9.2472347E-003, 6.6773145E+000, 3.2656367E+000, 6.8965517E-002, 1.0619911E-002, 6.6411085E+000, 3.2934018E+000, 6.8965517E-002, 1.1089736E-002, 5.6051641E+000, 3.3021925E+000, 6.8965517E-002, 1.0394257E-002, 6.6326358E+000, 3.2890520E+000, 6.8965517E-002, 9.6364545E-003, 6.4274224E+000, 3.2737423E+000
 9.6551724E-002,-1.0132508E-002, 6.6846071E+000, 3.2783380E+000, 9.6551724E-002,-8.9590923E-003, 6.5655216E+000, 3.2527375E+000, 9.6551724E-002,-8.0960649E-003, 6.0868322E+000, 3.2315450E+000, 9.6551724E-002,-9.1251105E-003, 6.2973252E+000, 3.2563802E+000, 9.6551724E-002,-9.4973871E-003, 6.6376506E+000, 3.2649331E+000, 9.6551724E-002, 9.1626078E-003, 6.5682220E+000, 3.2637693E+000, 9.6551724E-002, 1.0546045E-002, 6.8147848E+000, 3.2919798E+000, 9.6551724E-002, 1.1058949E-002, 5.4922735E+000, 3.3015787E+000, 9.6551724E-002, 1.0452547E-002, 6.5281977E+000, 3.2901685E+000, 9.6551724E-002, 9.7467898E-003, 6.4816970E+000, 3.2759961E+000
