s,Pa,kg/m3,kW,kW
Time,p0,rho,Q1-0,Q2-0
 0.0000000E+000, 1.0132500E+005, 8.8318715E-001,-1.8479020E-001, 0.0000000E+000
 1.0010787E+000, 1.0732472E+005, 9.3456980E-001,-2.3310640E-002, 1.5385157E-002
 2.0002888E+000, 1.0722709E+005, 9.6952792E-001,-2.0259452E-002, 2.0247487E-002
 3.0002487E+000, 1.0717168E+005, 9.5046629E-001,-2.0502138E-002, 2.0406204E-002
 4.0014917E+000, 1.0722717E+005, 9.6113022E-001,-2.0580618E-002, 2.0465339E-002
 5.0006576E+000, 1.0713349E+005, 9.2843285E-001,-2.0171405E-002, 2.0083621E-002
 6.0006473E+000, 1.0723246E+005, 9.6590396E-001,-2.0245846E-002, 2.0169434E-002
 7.0009647E+000, 1.0706530E+005, 9.6919455E-001,-2.0421068E-002, 2.0444829E-002
 8.0012695E+000, 1.0703351E+005, 9.7548226E-001,-2.0342876E-002, 2.0392683E-002
 9.0000000E+000, 1.0695645E+005, 9.9762371E-001,-2.0165202E-002, 2.0027333E-002
