s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0098100E+000, 4.5646025E-003, 5.3169261E-003
 2.0008594E+000, 8.2262765E-003, 1.1377281E-002
 3.0000482E+000, 8.7149583E-003, 1.2489674E-002
 4.0014909E+000, 8.7860566E-003, 1.2733922E-002
 5.0010713E+000, 8.8139977E-003, 1.2733840E-002
 6.0099494E+000, 8.8681660E-003, 1.2808330E-002
 7.0082781E+000, 8.9077730E-003, 1.2740072E-002
 8.0086397E+000, 8.9278633E-003, 1.2792228E-002
 9.0094205E+000, 8.9510948E-003, 1.2805929E-002
 1.0000000E+001, 8.9729160E-003, 1.2802556E-002
