m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 1.9993750E-002,-3.5975622E-003, 2.2623702E-001, 1.0000000E+000, 1.9993750E-002,-3.5975665E-003, 2.2623704E-001, 1.0000000E+000, 1.9993750E-002,-3.5975624E-003, 2.2623701E-001, 1.0000000E+000, 1.9993750E-002,-3.5975665E-003, 2.2623704E-001, 1.0000000E+000, 1.9993750E-002,-3.5975622E-003, 2.2623702E-001, 1.0000000E+000, 1.9993750E-002, 1.2267655E-003, 1.7535788E-001, 1.0000000E+000, 1.9993750E-002, 1.2267671E-003, 1.7535791E-001, 1.0000000E+000, 1.9993750E-002, 1.2267654E-003, 1.7535789E-001, 1.0000000E+000, 1.9993750E-002, 1.2267672E-003, 1.7535791E-001, 1.0000000E+000, 1.9993750E-002, 1.2267656E-003, 1.7535788E-001, 1.0000000E+000
 2.9655172E-002,-2.8003615E-003, 2.2194744E-001, 1.0000000E+000, 2.9655172E-002,-2.8003651E-003, 2.2194746E-001, 1.0000000E+000, 2.9655172E-002,-2.8003616E-003, 2.2194740E-001, 1.0000000E+000, 2.9655172E-002,-2.8003650E-003, 2.2194746E-001, 1.0000000E+000, 2.9655172E-002,-2.8003614E-003, 2.2194743E-001, 1.0000000E+000, 2.9655172E-002, 1.5070508E-003, 1.9661076E-001, 1.0000000E+000, 2.9655172E-002, 1.5070527E-003, 1.9661079E-001, 1.0000000E+000, 2.9655172E-002, 1.5070507E-003, 1.9661080E-001, 1.0000000E+000, 2.9655172E-002, 1.5070528E-003, 1.9661079E-001, 1.0000000E+000, 2.9655172E-002, 1.5070508E-003, 1.9661077E-001, 1.0000000E+000
 3.9310345E-002,-2.3866932E-003, 2.1914393E-001, 1.0000000E+000, 3.9310345E-002,-2.3866963E-003, 2.1914396E-001, 1.0000000E+000, 3.9310345E-002,-2.3866932E-003, 2.1914388E-001, 1.0000000E+000, 3.9310345E-002,-2.3866962E-003, 2.1914396E-001, 1.0000000E+000, 3.9310345E-002,-2.3866931E-003, 2.1914393E-001, 1.0000000E+000, 3.9310345E-002, 1.6420699E-003, 2.0560757E-001, 1.0000000E+000, 3.9310345E-002, 1.6420721E-003, 2.0560760E-001, 1.0000000E+000, 3.9310345E-002, 1.6420699E-003, 2.0560762E-001, 1.0000000E+000, 3.9310345E-002, 1.6420721E-003, 2.0560760E-001, 1.0000000E+000, 3.9310345E-002, 1.6420700E-003, 2.0560758E-001, 1.0000000E+000
 4.8965517E-002,-2.1420565E-003, 2.1763215E-001, 1.0000000E+000, 4.8965517E-002,-2.1420592E-003, 2.1763218E-001, 1.0000000E+000, 4.8965517E-002,-2.1420565E-003, 2.1763208E-001, 1.0000000E+000, 4.8965517E-002,-2.1420591E-003, 2.1763218E-001, 1.0000000E+000, 4.8965517E-002,-2.1420564E-003, 2.1763215E-001, 1.0000000E+000, 4.8965517E-002, 1.7200546E-003, 2.1046377E-001, 1.0000000E+000, 4.8965517E-002, 1.7200568E-003, 2.1046380E-001, 1.0000000E+000, 4.8965517E-002, 1.7200546E-003, 2.1046385E-001, 1.0000000E+000, 4.8965517E-002, 1.7200568E-003, 2.1046380E-001, 1.0000000E+000, 4.8965517E-002, 1.7200547E-003, 2.1046378E-001, 1.0000000E+000
 5.8620690E-002,-2.0121026E-003, 2.1684519E-001, 1.0000000E+000, 5.8620690E-002,-2.0121051E-003, 2.1684522E-001, 1.0000000E+000, 5.8620690E-002,-2.0121026E-003, 2.1684511E-001, 1.0000000E+000, 5.8620690E-002,-2.0121050E-003, 2.1684522E-001, 1.0000000E+000, 5.8620690E-002,-2.0121025E-003, 2.1684518E-001, 1.0000000E+000, 5.8620690E-002, 1.7617423E-003, 2.1297354E-001, 1.0000000E+000, 5.8620690E-002, 1.7617445E-003, 2.1297357E-001, 1.0000000E+000, 5.8620690E-002, 1.7617423E-003, 2.1297363E-001, 1.0000000E+000, 5.8620690E-002, 1.7617445E-003, 2.1297358E-001, 1.0000000E+000, 5.8620690E-002, 1.7617424E-003, 2.1297356E-001, 1.0000000E+000
 6.8275862E-002,-1.9316646E-003, 2.1633429E-001, 1.0000000E+000, 6.8275862E-002,-1.9316669E-003, 2.1633433E-001, 1.0000000E+000, 6.8275862E-002,-1.9316646E-003, 2.1633419E-001, 1.0000000E+000, 6.8275862E-002,-1.9316669E-003, 2.1633433E-001, 1.0000000E+000, 6.8275862E-002,-1.9316645E-003, 2.1633428E-001, 1.0000000E+000, 6.8275862E-002, 1.7876668E-003, 2.1451484E-001, 1.0000000E+000, 6.8275862E-002, 1.7876688E-003, 2.1451487E-001, 1.0000000E+000, 6.8275862E-002, 1.7876667E-003, 2.1451495E-001, 1.0000000E+000, 6.8275862E-002, 1.7876689E-003, 2.1451487E-001, 1.0000000E+000, 6.8275862E-002, 1.7876668E-003, 2.1451486E-001, 1.0000000E+000
 7.7931034E-002,-1.8876550E-003, 2.1605217E-001, 1.0000000E+000, 7.7931034E-002,-1.8876571E-003, 2.1605221E-001, 1.0000000E+000, 7.7931034E-002,-1.8876550E-003, 2.1605207E-001, 1.0000000E+000, 7.7931034E-002,-1.8876571E-003, 2.1605221E-001, 1.0000000E+000, 7.7931034E-002,-1.8876549E-003, 2.1605216E-001, 1.0000000E+000, 7.7931034E-002, 1.8018421E-003, 2.1534794E-001, 1.0000000E+000, 7.7931034E-002, 1.8018440E-003, 2.1534797E-001, 1.0000000E+000, 7.7931034E-002, 1.8018420E-003, 2.1534806E-001, 1.0000000E+000, 7.7931034E-002, 1.8018441E-003, 2.1534798E-001, 1.0000000E+000, 7.7931034E-002, 1.8018421E-003, 2.1534797E-001, 1.0000000E+000
 8.7586207E-002,-1.8600733E-003, 2.1586941E-001, 1.0000000E+000, 8.7586207E-002,-1.8600752E-003, 2.1586944E-001, 1.0000000E+000, 8.7586207E-002,-1.8600733E-003, 2.1586928E-001, 1.0000000E+000, 8.7586207E-002,-1.8600752E-003, 2.1586944E-001, 1.0000000E+000, 8.7586207E-002,-1.8600732E-003, 2.1586939E-001, 1.0000000E+000, 8.7586207E-002, 1.8107166E-003, 2.1587291E-001, 1.0000000E+000, 8.7586207E-002, 1.8107184E-003, 2.1587293E-001, 1.0000000E+000, 8.7586207E-002, 1.8107165E-003, 2.1587305E-001, 1.0000000E+000, 8.7586207E-002, 1.8107184E-003, 2.1587294E-001, 1.0000000E+000, 8.7586207E-002, 1.8107166E-003, 2.1587294E-001, 1.0000000E+000
 9.7241379E-002,-1.8448950E-003, 2.1577076E-001, 1.0000000E+000, 9.7241379E-002,-1.8448968E-003, 2.1577079E-001, 1.0000000E+000, 9.7241379E-002,-1.8448950E-003, 2.1577062E-001, 1.0000000E+000, 9.7241379E-002,-1.8448968E-003, 2.1577079E-001, 1.0000000E+000, 9.7241379E-002,-1.8448950E-003, 2.1577074E-001, 1.0000000E+000, 9.7241379E-002, 1.8155873E-003, 2.1615905E-001, 1.0000000E+000, 9.7241379E-002, 1.8155890E-003, 2.1615907E-001, 1.0000000E+000, 9.7241379E-002, 1.8155873E-003, 2.1615919E-001, 1.0000000E+000, 9.7241379E-002, 1.8155890E-003, 2.1615908E-001, 1.0000000E+000, 9.7241379E-002, 1.8155873E-003, 2.1615908E-001, 1.0000000E+000
