s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1044797E+000, 7.2298757E-001, 5.1189471E+000
 2.0511765E+000, 1.3868759E+000, 1.0293498E+001
 3.1556562E+000, 1.5074308E+000, 1.1155346E+001
 4.1023531E+000, 1.5227805E+000, 1.1141753E+001
 5.0490499E+000, 1.5225755E+000, 1.1013895E+001
 6.1535296E+000, 1.5203945E+000, 1.0865657E+001
 7.1002265E+000, 1.5179558E+000, 1.0722911E+001
 8.0469233E+000, 1.5156951E+000, 1.0599627E+001
 9.1514030E+000, 1.5132736E+000, 1.0477466E+001
 1.0098100E+001, 1.5108828E+000, 1.0368251E+001
 1.1044797E+001, 1.5087035E+000, 1.0281016E+001
 1.2149276E+001, 1.5063746E+000, 1.0203916E+001
 1.3095973E+001, 1.5040798E+000, 1.0147224E+001
 1.4042670E+001, 1.5019919E+000, 1.0115974E+001
 1.5147150E+001, 1.4997617E+000, 1.0106141E+001
 1.6093847E+001, 1.4975635E+000, 1.0119876E+001
 1.7040544E+001, 1.4955641E+000, 1.0152448E+001
 1.8145023E+001, 1.4934296E+000, 1.0205135E+001
 1.9091720E+001, 1.4913273E+000, 1.0268586E+001
 2.0038417E+001, 1.4894207E+000, 1.0329708E+001
 2.1142897E+001, 1.4873985E+000, 1.0392093E+001
 2.2089593E+001, 1.4854260E+000, 1.0447278E+001
 2.3036290E+001, 1.4836557E+000, 1.0489917E+001
 2.4140770E+001, 1.4817992E+000, 1.0528141E+001
 2.5087467E+001, 1.4800096E+000, 1.0558591E+001
 2.6034164E+001, 1.4784197E+000, 1.0580462E+001
 2.7138643E+001, 1.4767571E+000, 1.0598508E+001
 2.8085340E+001, 1.4751414E+000, 1.0611793E+001
 2.9032037E+001, 1.4736843E+000, 1.0620644E+001
 3.0136517E+001, 1.4721378E+000, 1.0627206E+001
 3.1083214E+001, 1.4706215E+000, 1.0631461E+001
 3.2029911E+001, 1.4692485E+000, 1.0633670E+001
 3.3134390E+001, 1.4677886E+000, 1.0634942E+001
 3.4081087E+001, 1.4663557E+000, 1.0634592E+001
 3.5027784E+001, 1.4650575E+000, 1.0633161E+001
 3.6132264E+001, 1.4636777E+000, 1.0631420E+001
 3.7078961E+001, 1.4623240E+000, 1.0630155E+001
 3.8025657E+001, 1.4610974E+000, 1.0629164E+001
 3.9130137E+001, 1.4597927E+000, 1.0627839E+001
 4.0076834E+001, 1.4585113E+000, 1.0625798E+001
 4.1023531E+001, 1.4573489E+000, 1.0622699E+001
 4.2128010E+001, 1.4561107E+000, 1.0617303E+001
 4.3074707E+001, 1.4548927E+000, 1.0609626E+001
 4.4021404E+001, 1.4537875E+000, 1.0600278E+001
 4.5125884E+001, 1.4526122E+000, 1.0585979E+001
 4.6072581E+001, 1.4514614E+000, 1.0567722E+001
 4.7019278E+001, 1.4504253E+000, 1.0549677E+001
 4.8123757E+001, 1.4493382E+000, 1.0529691E+001
 4.9070454E+001, 1.4482955E+000, 1.0509110E+001
 5.0017151E+001, 1.4473820E+000, 1.0490231E+001
 5.1121631E+001, 1.4464512E+000, 1.0471278E+001
 5.2068328E+001, 1.4455819E+000, 1.0455617E+001
 5.3015024E+001, 1.4448368E+000, 1.0443744E+001
 5.4119504E+001, 1.4440873E+000, 1.0432594E+001
 5.5066201E+001, 1.4433868E+000, 1.0424855E+001
 5.6012898E+001, 1.4427759E+000, 1.0422733E+001
 5.7117377E+001, 1.4421431E+000, 1.0426565E+001
 5.8064074E+001, 1.4415288E+000, 1.0437441E+001
 5.9010771E+001, 1.4409662E+000, 1.0451684E+001
 6.0115251E+001, 1.4403474E+000, 1.0468892E+001
 6.1061948E+001, 1.4397113E+000, 1.0487965E+001
 6.2008645E+001, 1.4391056E+000, 1.0506952E+001
 6.3113124E+001, 1.4384301E+000, 1.0527604E+001
 6.4059821E+001, 1.4377388E+000, 1.0547601E+001
 6.5006518E+001, 1.4370916E+000, 1.0565478E+001
 6.6110998E+001, 1.4363892E+000, 1.0584350E+001
 6.7057695E+001, 1.4356962E+000, 1.0603362E+001
 6.8004391E+001, 1.4350749E+000, 1.0619754E+001
 6.9108871E+001, 1.4344306E+000, 1.0634129E+001
 7.0055568E+001, 1.4338208E+000, 1.0644632E+001
 7.1002265E+001, 1.4332931E+000, 1.0650780E+001
 7.2106744E+001, 1.4327590E+000, 1.0653770E+001
 7.3053441E+001, 1.4322571E+000, 1.0653583E+001
 7.4000138E+001, 1.4318156E+000, 1.0650377E+001
 7.5104618E+001, 1.4313519E+000, 1.0644134E+001
 7.6051315E+001, 1.4308952E+000, 1.0637531E+001
 7.7155794E+001, 1.4304386E+000, 1.0632025E+001
 7.8102491E+001, 1.4299775E+000, 1.0626607E+001
 7.9049188E+001, 1.4295473E+000, 1.0621414E+001
 8.0153668E+001, 1.4290786E+000, 1.0617649E+001
 8.1100365E+001, 1.4286117E+000, 1.0617394E+001
 8.2047062E+001, 1.4281893E+000, 1.0619699E+001
 8.3151541E+001, 1.4277495E+000, 1.0622831E+001
 8.4098238E+001, 1.4273342E+000, 1.0624986E+001
 8.5044935E+001, 1.4269782E+000, 1.0625385E+001
 8.6149415E+001, 1.4266260E+000, 1.0624831E+001
 8.7096112E+001, 1.4263089E+000, 1.0622834E+001
 8.8042808E+001, 1.4260462E+000, 1.0620125E+001
 8.9147288E+001, 1.4257865E+000, 1.0616097E+001
 9.0093985E+001, 1.4255432E+000, 1.0610501E+001
 9.1040682E+001, 1.4253258E+000, 1.0604987E+001
 9.2145161E+001, 1.4250888E+000, 1.0599530E+001
 9.3091858E+001, 1.4248428E+000, 1.0594585E+001
 9.4038555E+001, 1.4246034E+000, 1.0591470E+001
 9.5143035E+001, 1.4243304E+000, 1.0590768E+001
 9.6089732E+001, 1.4240460E+000, 1.0593092E+001
 9.7036429E+001, 1.4237767E+000, 1.0596954E+001
 9.8140908E+001, 1.4234832E+000, 1.0602011E+001
 9.9087605E+001, 1.4231930E+000, 1.0607873E+001
 1.0003430E+002, 1.4229340E+000, 1.0614003E+001
 1.0113878E+002, 1.4226689E+000, 1.0620300E+001
 1.0208548E+002, 1.4224233E+000, 1.0624740E+001
 1.0303218E+002, 1.4222142E+000, 1.0626878E+001
 1.0413666E+002, 1.4220047E+000, 1.0628480E+001
 1.0508335E+002, 1.4218101E+000, 1.0629336E+001
 1.0603005E+002, 1.4216416E+000, 1.0628261E+001
 1.0713453E+002, 1.4214655E+000, 1.0625094E+001
 1.0808123E+002, 1.4212897E+000, 1.0620934E+001
 1.0902792E+002, 1.4211251E+000, 1.0617938E+001
 1.1013240E+002, 1.4209444E+000, 1.0616420E+001
 1.1107910E+002, 1.4207608E+000, 1.0613959E+001
 1.1202580E+002, 1.4205883E+000, 1.0610273E+001
 1.1313028E+002, 1.4203997E+000, 1.0607189E+001
 1.1407697E+002, 1.4202130E+000, 1.0605723E+001
 1.1502367E+002, 1.4200473E+000, 1.0604623E+001
 1.1612815E+002, 1.4198790E+000, 1.0603641E+001
 1.1707485E+002, 1.4197219E+000, 1.0603727E+001
 1.1802154E+002, 1.4195882E+000, 1.0605180E+001
 1.1912602E+002, 1.4194588E+000, 1.0607805E+001
 1.2007272E+002, 1.4193456E+000, 1.0610251E+001
 1.2101942E+002, 1.4192520E+000, 1.0611459E+001
 1.2212390E+002, 1.4191572E+000, 1.0611925E+001
 1.2307059E+002, 1.4190669E+000, 1.0611777E+001
 1.2401729E+002, 1.4189864E+000, 1.0611389E+001
 1.2512177E+002, 1.4188980E+000, 1.0610981E+001
 1.2606847E+002, 1.4188040E+000, 1.0611047E+001
 1.2701516E+002, 1.4187112E+000, 1.0611937E+001
 1.2811964E+002, 1.4186062E+000, 1.0612450E+001
 1.2906634E+002, 1.4184981E+000, 1.0611662E+001
 1.3001304E+002, 1.4183962E+000, 1.0610143E+001
 1.3111752E+002, 1.4182856E+000, 1.0608624E+001
 1.3206421E+002, 1.4181786E+000, 1.0607809E+001
 1.3301091E+002, 1.4180884E+000, 1.0607419E+001
