m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
-4.9305560E-001, 6.7023538E+001, 2.9562840E+000
-4.7916671E-001, 6.8858250E+001, 3.0741024E+000
-4.6527782E-001, 7.0688621E+001, 3.2409248E+000
-4.5138893E-001, 7.2511674E+001, 3.3715477E+000
-4.3750004E-001, 7.4324373E+001, 3.5468217E+000
-4.2361115E-001, 7.6123627E+001, 3.6913528E+000
-4.0972226E-001, 7.7906301E+001, 3.8758263E+000
-3.9583337E-001, 7.9669225E+001, 4.0288323E+000
-3.8194448E-001, 8.1409202E+001, 4.2230893E+000
-3.6805559E-001, 8.3123017E+001, 4.3872172E+000
-3.5416670E-001, 8.4807449E+001, 4.5873386E+000
-3.4027781E-001, 8.6459275E+001, 4.7611410E+000
-3.2638892E-001, 8.8075290E+001, 4.9637720E+000
-3.1250003E-001, 8.9652307E+001, 5.1403237E+000
-2.9861114E-001, 9.1187173E+001, 5.3433171E+000
-2.8472225E-001, 9.2676779E+001, 5.5239709E+000
-2.7083336E-001, 9.4118069E+001, 5.7283215E+000
-2.5694447E-001, 9.5508050E+001, 5.9111631E+000
-2.4305558E-001, 9.6843805E+001, 6.1164603E+000
-2.2916669E-001, 9.8122501E+001, 6.3073383E+000
-2.1527780E-001, 9.9341399E+001, 6.5148537E+000
-2.0138891E-001, 1.0049786E+002, 6.7086386E+000
-1.8750002E-001, 1.0158937E+002, 6.9103154E+000
-1.7361113E-001, 1.0261353E+002, 7.0948888E+000
-1.5972224E-001, 1.0356807E+002, 7.2742136E+000
-1.4583335E-001, 1.0445086E+002, 7.4342001E+000
-1.3194446E-001, 1.0525992E+002, 7.5870286E+000
-1.1805557E-001, 1.0599344E+002, 7.7246847E+000
-1.0416668E-001, 1.0664974E+002, 7.8523854E+000
-9.0277786E-002, 1.0722734E+002, 7.9650023E+000
-7.6388896E-002, 1.0772492E+002, 8.0538343E+000
-6.2500006E-002, 1.0814132E+002, 8.1140706E+000
-4.8611115E-002, 1.0847561E+002, 8.1709182E+000
-3.4722225E-002, 1.0872700E+002, 8.2240253E+000
-2.0833335E-002, 1.0889492E+002, 8.2465707E+000
-6.9444451E-003, 1.0897898E+002, 8.2665130E+000
 6.9444451E-003, 1.0897898E+002, 8.2601609E+000
 2.0833335E-002, 1.0889492E+002, 8.2537379E+000
 3.4722225E-002, 1.0872700E+002, 8.2350203E+000
 4.8611115E-002, 1.0847561E+002, 8.1948131E+000
 6.2500006E-002, 1.0814132E+002, 8.1288940E+000
 7.6388896E-002, 1.0772492E+002, 8.0439053E+000
 9.0277786E-002, 1.0722734E+002, 7.9443089E+000
 1.0416668E-001, 1.0664974E+002, 7.8278156E+000
 1.1805557E-001, 1.0599344E+002, 7.6926387E+000
 1.3194446E-001, 1.0525992E+002, 7.5478286E+000
 1.4583335E-001, 1.0445086E+002, 7.3856434E+000
 1.5972224E-001, 1.0356807E+002, 7.2139613E+000
 1.7361113E-001, 1.0261353E+002, 7.0307899E+000
 1.8750002E-001, 1.0158937E+002, 6.8477053E+000
 2.0138891E-001, 1.0049786E+002, 6.6521992E+000
 2.1527780E-001, 9.9341399E+001, 6.4650011E+000
 2.2916669E-001, 9.8122501E+001, 6.2676016E+000
 2.4305558E-001, 9.6843805E+001, 6.0805530E+000
 2.5694447E-001, 9.5508050E+001, 5.8774181E+000
 2.7083336E-001, 9.4118069E+001, 5.6879186E+000
 2.8472225E-001, 9.2676779E+001, 5.4865411E+000
 2.9861114E-001, 9.1187173E+001, 5.3074986E+000
 3.1250003E-001, 8.9652307E+001, 5.1101909E+000
 3.2638892E-001, 8.8075290E+001, 4.9356480E+000
 3.4027781E-001, 8.6459275E+001, 4.7400724E+000
 3.5416670E-001, 8.4807449E+001, 4.5711600E+000
 3.6805559E-001, 8.3123017E+001, 4.3768068E+000
 3.8194448E-001, 8.1409202E+001, 4.2134622E+000
 3.9583337E-001, 7.9669225E+001, 4.0222213E+000
 4.0972226E-001, 7.7906301E+001, 3.8677177E+000
 4.2361115E-001, 7.6123627E+001, 3.6809965E+000
 4.3750004E-001, 7.4324373E+001, 3.5367745E+000
 4.5138893E-001, 7.2511674E+001, 3.3567281E+000
 4.6527782E-001, 7.0688621E+001, 3.2236302E+000
 4.7916671E-001, 6.8858250E+001, 3.0625735E+000
 4.9305560E-001, 6.7023538E+001, 2.9417831E+000
