m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 2.0000000E-002,-1.5621104E+000, 2.1241886E+000, 1.0000000E+000, 2.0000000E-002,-1.5620523E+000, 2.1241762E+000, 1.0000000E+000, 2.0000000E-002,-1.5620172E+000, 2.1241605E+000, 1.0000000E+000, 2.0000000E-002,-1.5620634E+000, 2.1241774E+000, 1.0000000E+000, 2.0000000E-002,-1.5621145E+000, 2.1241898E+000, 1.0000000E+000, 2.0000000E-002, 1.3389786E-001, 1.2647747E+000, 1.0000000E+000, 2.0000000E-002, 1.3388621E-001, 1.2646993E+000, 1.0000000E+000, 2.0000000E-002, 1.3388592E-001, 1.2647048E+000, 1.0000000E+000, 2.0000000E-002, 1.3388782E-001, 1.2647059E+000, 1.0000000E+000, 2.0000000E-002, 1.3389892E-001, 1.2647893E+000, 1.0000000E+000
 2.9655172E-002,-1.2897075E+000, 2.1021969E+000, 1.0000000E+000, 2.9655172E-002,-1.2896996E+000, 2.1022322E+000, 1.0000000E+000, 2.9655172E-002,-1.2896799E+000, 2.1022529E+000, 1.0000000E+000, 2.9655172E-002,-1.2897021E+000, 2.1022256E+000, 1.0000000E+000, 2.9655172E-002,-1.2897067E+000, 2.1021935E+000, 1.0000000E+000, 2.9655172E-002, 1.8864102E-001, 1.7816639E+000, 1.0000000E+000, 2.9655172E-002, 1.8863839E-001, 1.7815847E+000, 1.0000000E+000, 2.9655172E-002, 1.8863842E-001, 1.7815355E+000, 1.0000000E+000, 2.9655172E-002, 1.8863892E-001, 1.7816008E+000, 1.0000000E+000, 2.9655172E-002, 1.8864033E-001, 1.7816686E+000, 1.0000000E+000
 3.9310345E-002,-1.0837112E+000, 2.0524147E+000, 1.0000000E+000, 3.9310345E-002,-1.0837262E+000, 2.0524445E+000, 1.0000000E+000, 3.9310345E-002,-1.0837303E+000, 2.0524659E+000, 1.0000000E+000, 3.9310345E-002,-1.0837228E+000, 2.0524378E+000, 1.0000000E+000, 3.9310345E-002,-1.0837099E+000, 2.0524127E+000, 1.0000000E+000, 3.9310345E-002, 2.1125361E-001, 1.9195422E+000, 1.0000000E+000, 3.9310345E-002, 2.1126413E-001, 1.9195356E+000, 1.0000000E+000, 3.9310345E-002, 2.1127406E-001, 1.9195426E+000, 1.0000000E+000, 3.9310345E-002, 2.1126156E-001, 1.9195357E+000, 1.0000000E+000, 3.9310345E-002, 2.1125256E-001, 1.9195427E+000, 1.0000000E+000
 4.8965517E-002,-9.8351963E-001, 2.0766111E+000, 1.0000000E+000, 4.8965517E-002,-9.8350566E-001, 2.0766136E+000, 1.0000000E+000, 4.8965517E-002,-9.8352799E-001, 2.0766173E+000, 1.0000000E+000, 4.8965517E-002,-9.8350747E-001, 2.0766128E+000, 1.0000000E+000, 4.8965517E-002,-9.8352042E-001, 2.0766107E+000, 1.0000000E+000, 4.8965517E-002, 2.3012007E-001, 1.9768716E+000, 1.0000000E+000, 4.8965517E-002, 2.3013161E-001, 1.9768667E+000, 1.0000000E+000, 4.8965517E-002, 2.3014218E-001, 1.9768802E+000, 1.0000000E+000, 4.8965517E-002, 2.3012862E-001, 1.9768646E+000, 1.0000000E+000, 4.8965517E-002, 2.3011930E-001, 1.9768734E+000, 1.0000000E+000
 5.8620690E-002,-9.1869769E-001, 2.0978980E+000, 1.0000000E+000, 5.8620690E-002,-9.1867867E-001, 2.0979006E+000, 1.0000000E+000, 5.8620690E-002,-9.1870480E-001, 2.0979002E+000, 1.0000000E+000, 5.8620690E-002,-9.1868167E-001, 2.0979005E+000, 1.0000000E+000, 5.8620690E-002,-9.1869853E-001, 2.0978970E+000, 1.0000000E+000, 5.8620690E-002, 2.4841771E-001, 2.0352891E+000, 1.0000000E+000, 5.8620690E-002, 2.4842773E-001, 2.0352781E+000, 1.0000000E+000, 5.8620690E-002, 2.4843628E-001, 2.0352876E+000, 1.0000000E+000, 5.8620690E-002, 2.4842506E-001, 2.0352768E+000, 1.0000000E+000, 5.8620690E-002, 2.4841710E-001, 2.0352916E+000, 1.0000000E+000
 6.8275862E-002,-8.5415072E-001, 2.1077040E+000, 1.0000000E+000, 6.8275862E-002,-8.5413260E-001, 2.1077158E+000, 1.0000000E+000, 6.8275862E-002,-8.5415807E-001, 2.1077165E+000, 1.0000000E+000, 6.8275862E-002,-8.5413544E-001, 2.1077143E+000, 1.0000000E+000, 6.8275862E-002,-8.5415147E-001, 2.1077020E+000, 1.0000000E+000, 6.8275862E-002, 2.7025702E-001, 2.1036192E+000, 1.0000000E+000, 6.8275862E-002, 2.7026539E-001, 2.1036076E+000, 1.0000000E+000, 6.8275862E-002, 2.7027152E-001, 2.1036160E+000, 1.0000000E+000, 6.8275862E-002, 2.7026315E-001, 2.1036064E+000, 1.0000000E+000, 6.8275862E-002, 2.7025649E-001, 2.1036217E+000, 1.0000000E+000
 7.7931034E-002,-7.9852177E-001, 2.1076214E+000, 1.0000000E+000, 7.7931034E-002,-7.9850468E-001, 2.1076418E+000, 1.0000000E+000, 7.7931034E-002,-7.9852125E-001, 2.1076448E+000, 1.0000000E+000, 7.7931034E-002,-7.9850746E-001, 2.1076387E+000, 1.0000000E+000, 7.7931034E-002,-7.9852241E-001, 2.1076188E+000, 1.0000000E+000, 7.7931034E-002, 2.9256249E-001, 2.1677561E+000, 1.0000000E+000, 7.7931034E-002, 2.9256949E-001, 2.1677465E+000, 1.0000000E+000, 7.7931034E-002, 2.9257344E-001, 2.1677554E+000, 1.0000000E+000, 7.7931034E-002, 2.9256763E-001, 2.1677448E+000, 1.0000000E+000, 7.7931034E-002, 2.9256201E-001, 2.1677585E+000, 1.0000000E+000
 8.7586207E-002,-7.4990016E-001, 2.1009654E+000, 1.0000000E+000, 8.7586207E-002,-7.4988650E-001, 2.1009926E+000, 1.0000000E+000, 8.7586207E-002,-7.4990246E-001, 2.1009987E+000, 1.0000000E+000, 8.7586207E-002,-7.4988854E-001, 2.1009881E+000, 1.0000000E+000, 8.7586207E-002,-7.4990066E-001, 2.1009623E+000, 1.0000000E+000, 8.7586207E-002, 3.1527873E-001, 2.2267925E+000, 1.0000000E+000, 8.7586207E-002, 3.1528451E-001, 2.2267840E+000, 1.0000000E+000, 8.7586207E-002, 3.1528649E-001, 2.2267931E+000, 1.0000000E+000, 8.7586207E-002, 3.1528298E-001, 2.2267821E+000, 1.0000000E+000, 8.7586207E-002, 3.1527830E-001, 2.2267948E+000, 1.0000000E+000
 9.7241379E-002,-7.1102076E-001, 2.0907376E+000, 1.0000000E+000, 9.7241379E-002,-7.1101094E-001, 2.0907694E+000, 1.0000000E+000, 9.7241379E-002,-7.1102751E-001, 2.0907773E+000, 1.0000000E+000, 9.7241379E-002,-7.1101213E-001, 2.0907641E+000, 1.0000000E+000, 9.7241379E-002,-7.1102110E-001, 2.0907342E+000, 1.0000000E+000, 9.7241379E-002, 3.3552705E-001, 2.2743841E+000, 1.0000000E+000, 9.7241379E-002, 3.3553197E-001, 2.2743764E+000, 1.0000000E+000, 9.7241379E-002, 3.3553243E-001, 2.2743854E+000, 1.0000000E+000, 9.7241379E-002, 3.3553068E-001, 2.2743744E+000, 1.0000000E+000, 9.7241379E-002, 3.3552666E-001, 2.2743864E+000, 1.0000000E+000
 1.0689655E-001,-6.6989029E-001, 2.0746553E+000, 1.0000000E+000, 1.0689655E-001,-6.6988483E-001, 2.0746907E+000, 1.0000000E+000, 1.0689655E-001,-6.6990160E-001, 2.0746999E+000, 1.0000000E+000, 1.0689655E-001,-6.6988509E-001, 2.0746847E+000, 1.0000000E+000, 1.0689655E-001,-6.6989044E-001, 2.0746517E+000, 1.0000000E+000, 1.0689655E-001, 3.5914131E-001, 2.3243156E+000, 1.0000000E+000, 1.0689655E-001, 3.5914549E-001, 2.3243086E+000, 1.0000000E+000, 1.0689655E-001, 3.5914443E-001, 2.3243173E+000, 1.0000000E+000, 1.0689655E-001, 3.5914444E-001, 2.3243065E+000, 1.0000000E+000, 1.0689655E-001, 3.5914094E-001, 2.3243178E+000, 1.0000000E+000
 1.1655172E-001,-6.3162525E-001, 2.0543370E+000, 1.0000000E+000, 1.1655172E-001,-6.3162362E-001, 2.0543742E+000, 1.0000000E+000, 1.1655172E-001,-6.3164001E-001, 2.0543838E+000, 1.0000000E+000, 1.1655172E-001,-6.3162309E-001, 2.0543679E+000, 1.0000000E+000, 1.1655172E-001,-6.3162522E-001, 2.0543332E+000, 1.0000000E+000, 1.1655172E-001, 3.8331389E-001, 2.3695745E+000, 1.0000000E+000, 1.1655172E-001, 3.8331752E-001, 2.3695684E+000, 1.0000000E+000, 1.1655172E-001, 3.8331514E-001, 2.3695768E+000, 1.0000000E+000, 1.1655172E-001, 3.8331666E-001, 2.3695662E+000, 1.0000000E+000, 1.1655172E-001, 3.8331352E-001, 2.3695766E+000, 1.0000000E+000
 1.2620690E-001,-6.0011123E-001, 2.0334121E+000, 1.0000000E+000, 1.2620690E-001,-6.0011244E-001, 2.0334501E+000, 1.0000000E+000, 1.2620690E-001,-6.0012814E-001, 2.0334595E+000, 1.0000000E+000, 1.2620690E-001,-6.0011135E-001, 2.0334437E+000, 1.0000000E+000, 1.2620690E-001,-6.0011105E-001, 2.0334084E+000, 1.0000000E+000, 1.2620690E-001, 4.0499052E-001, 2.4053866E+000, 1.0000000E+000, 1.2620690E-001, 4.0499369E-001, 2.4053808E+000, 1.0000000E+000, 1.2620690E-001, 4.0499024E-001, 2.4053886E+000, 1.0000000E+000, 1.2620690E-001, 4.0499298E-001, 2.4053787E+000, 1.0000000E+000, 1.2620690E-001, 4.0499017E-001, 2.4053887E+000, 1.0000000E+000
