s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0976967E+000, 1.6964873E-001, 5.8134764E-001
 2.0956028E+000, 3.2767939E-001, 1.0869164E+000
 3.0935090E+000, 3.4787996E-001, 1.1204813E+000
 4.0661476E+000, 3.4488355E-001, 1.1939388E+000
 5.0151450E+000, 3.4101810E-001, 1.2403197E+000
 6.0014426E+000, 3.3820318E-001, 1.2253233E+000
 7.0061455E+000, 3.3609050E-001, 1.2027837E+000
 8.0411817E+000, 3.3566900E-001, 1.2022952E+000
 9.0325405E+000, 3.3515776E-001, 1.2110471E+000
 1.0045059E+001, 3.3399073E-001, 1.2283547E+000
 1.1001327E+001, 3.3300807E-001, 1.2224392E+000
 1.2013846E+001, 3.3211120E-001, 1.2135378E+000
 1.3054491E+001, 3.3187450E-001, 1.2124884E+000
 1.4044509E+001, 3.3165422E-001, 1.2213295E+000
 1.5016787E+001, 3.3173343E-001, 1.2114905E+000
 1.6058821E+001, 3.3230517E-001, 1.2074647E+000
 1.7016245E+001, 3.3310693E-001, 1.2210578E+000
 1.8012827E+001, 3.3373580E-001, 1.2198274E+000
 1.9035713E+001, 3.3423758E-001, 1.2121586E+000
 2.0062151E+001, 3.3472796E-001, 1.2111356E+000
 2.1003052E+001, 3.3509670E-001, 1.2178152E+000
 2.2014859E+001, 3.3544800E-001, 1.2175685E+000
 2.3055464E+001, 3.3591598E-001, 1.2123434E+000
 2.4047949E+001, 3.3637485E-001, 1.2155698E+000
 2.5024438E+001, 3.3673556E-001, 1.2200882E+000
 2.6015374E+001, 3.3688512E-001, 1.2177142E+000
 2.7035284E+001, 3.3675111E-001, 1.2182707E+000
 2.8055195E+001, 3.3648670E-001, 1.2191361E+000
 2.9011361E+001, 3.3624861E-001, 1.2234903E+000
 3.0031271E+001, 3.3605331E-001, 1.2135930E+000
 3.1000187E+001, 3.3592873E-001, 1.2108614E+000
 3.2015017E+001, 3.3584132E-001, 1.2194623E+000
 3.3011328E+001, 3.3573100E-001, 1.2129544E+000
 3.4032391E+001, 3.3563219E-001, 1.2175099E+000
 3.5059576E+001, 3.3547620E-001, 1.2242465E+000
 3.6050507E+001, 3.3523242E-001, 1.2160875E+000
 3.7047480E+001, 3.3495366E-001, 1.2170708E+000
 3.8039277E+001, 3.3474495E-001, 1.2202246E+000
 3.9063111E+001, 3.3458760E-001, 1.2117839E+000
 4.0022005E+001, 3.3448323E-001, 1.2143636E+000
 4.1060445E+001, 3.3445787E-001, 1.2160801E+000
 4.2013600E+001, 3.3449230E-001, 1.2142857E+000
 4.3030298E+001, 3.3452597E-001, 1.2164799E+000
 4.4046996E+001, 3.3460506E-001, 1.2192700E+000
 4.5000151E+001, 3.3467939E-001, 1.2186960E+000
 4.6016849E+001, 3.3479045E-001, 1.2134822E+000
 4.7033547E+001, 3.3490712E-001, 1.2147609E+000
 4.8050245E+001, 3.3499785E-001, 1.2235062E+000
 4.9003400E+001, 3.3501493E-001, 1.2190709E+000
 5.0020098E+001, 3.3499818E-001, 1.2160881E+000
 5.1036796E+001, 3.3492948E-001, 1.2184544E+000
 5.2053494E+001, 3.3486176E-001, 1.2243972E+000
 5.3006649E+001, 3.3481883E-001, 1.2180989E+000
 5.4029701E+001, 3.3475925E-001, 1.2134319E+000
 5.5055137E+001, 3.3470512E-001, 1.2186987E+000
 5.6050659E+001, 3.3470664E-001, 1.2151324E+000
 5.7049820E+001, 3.3470697E-001, 1.2168296E+000
 5.8035011E+001, 3.3470027E-001, 1.2137276E+000
 5.9038674E+001, 3.3470985E-001, 1.2152711E+000
 6.0054652E+001, 3.3469920E-001, 1.2196792E+000
 6.1000787E+001, 3.3468614E-001, 1.2183643E+000
 6.2061423E+001, 3.3462969E-001, 1.2202510E+000
 6.3055768E+001, 3.3460823E-001, 1.2168361E+000
 6.4050114E+001, 3.3461669E-001, 1.2135005E+000
 6.5044460E+001, 3.3462401E-001, 1.2184619E+000
 6.6038806E+001, 3.3463629E-001, 1.2200332E+000
 6.7033152E+001, 3.3466249E-001, 1.2203710E+000
 6.8027498E+001, 3.3464474E-001, 1.2219858E+000
 6.9052426E+001, 3.3464645E-001, 1.2156045E+000
 7.0009235E+001, 3.3466488E-001, 1.2168100E+000
 7.1029832E+001, 3.3466154E-001, 1.2226296E+000
 7.2050428E+001, 3.3466248E-001, 1.2192668E+000
 7.3015017E+001, 3.3463578E-001, 1.2192475E+000
 7.4016446E+001, 3.3462984E-001, 1.2159067E+000
 7.5036421E+001, 3.3467727E-001, 1.2209435E+000
 7.6056395E+001, 3.3473901E-001, 1.2162422E+000
 7.7008372E+001, 3.3476054E-001, 1.2180292E+000
 7.8014823E+001, 3.3475262E-001, 1.2203582E+000
 7.9012721E+001, 3.3478661E-001, 1.2117598E+000
 8.0046804E+001, 3.3480065E-001, 1.2166820E+000
 8.1055475E+001, 3.3477793E-001, 1.2196306E+000
 8.2001105E+001, 3.3477858E-001, 1.2159044E+000
 8.3003472E+001, 3.3482739E-001, 1.2194447E+000
 8.4025303E+001, 3.3484368E-001, 1.2219923E+000
 8.5027052E+001, 3.3477881E-001, 1.2164123E+000
 8.6008469E+001, 3.3475239E-001, 1.2154397E+000
 8.7052367E+001, 3.3474122E-001, 1.2185476E+000
 8.8031021E+001, 3.3472039E-001, 1.2126400E+000
 8.9009676E+001, 3.3471513E-001, 1.2136879E+000
 9.0053574E+001, 3.3471498E-001, 1.2175347E+000
 9.1032229E+001, 3.3470766E-001, 1.2195270E+000
 9.2018150E+001, 3.3468415E-001, 1.2164066E+000
 9.3051019E+001, 3.3470652E-001, 1.2148446E+000
 9.4019335E+001, 3.3477592E-001, 1.2194976E+000
 9.5052204E+001, 3.3478723E-001, 1.2173430E+000
 9.6026975E+001, 3.3480929E-001, 1.2132011E+000
 9.7053657E+001, 3.3486691E-001, 1.2189254E+000
 9.8035953E+001, 3.3492063E-001, 1.2169596E+000
 9.9048946E+001, 3.3497858E-001, 1.2152171E+000
 1.0000000E+002, 3.3503712E-001, 1.2178243E+000
