s,kW,kW,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-6.9776287E+002, 0.0000000E+000, 1.0132500E+005, 1.1794096E+000
 1.0044643E+002,-6.1757022E+002, 1.2255984E+002, 1.0134738E+005, 1.1886238E+000
 2.0000000E+002,-5.6790929E+002, 1.5271960E+002, 1.0138190E+005, 1.1876166E+000
 3.0000000E+002,-5.4689135E+002, 1.5651691E+002, 1.0141448E+005, 1.1902604E+000
 4.0044643E+002,-5.2652361E+002, 1.5274415E+002, 1.0144442E+005, 1.1859188E+000
 5.0044643E+002,-5.1587584E+002, 1.5146192E+002, 1.0147380E+005, 1.1872259E+000
 6.0044643E+002,-5.0973121E+002, 1.5559695E+002, 1.0150216E+005, 1.1874330E+000
 7.0044643E+002,-5.0637928E+002, 1.6012182E+002, 1.0152974E+005, 1.1873036E+000
 8.0044643E+002,-5.0713272E+002, 1.6639384E+002, 1.0155683E+005, 1.1877838E+000
 9.0044643E+002,-5.0702943E+002, 1.7267934E+002, 1.0158339E+005, 1.1884532E+000
 1.0004464E+003,-5.0847800E+002, 1.7977349E+002, 1.0160943E+005, 1.1876783E+000
 1.1004464E+003,-5.0525451E+002, 1.8438710E+002, 1.0163496E+005, 1.1883703E+000
 1.2000000E+003,-5.0402249E+002, 1.8976983E+002, 1.0165991E+005, 1.1879008E+000
 1.3000000E+003,-5.0399882E+002, 1.9507157E+002, 1.0168437E+005, 1.1872890E+000
 1.4000000E+003,-4.9890134E+002, 1.9936087E+002, 1.0170839E+005, 1.1875467E+000
 1.5000000E+003,-4.9767623E+002, 2.0335937E+002, 1.0173164E+005, 1.1883561E+000
 1.6000000E+003,-4.9845348E+002, 2.0892939E+002, 1.0175462E+005, 1.1870287E+000
 1.7000000E+003,-4.9496758E+002, 2.1526955E+002, 1.0177696E+005, 1.1874986E+000
 1.8000000E+003,-4.9210572E+002, 2.2088707E+002, 1.0179863E+005, 1.1884116E+000
 1.9000000E+003,-4.9311056E+002, 2.2692288E+002, 1.0181964E+005, 1.1882116E+000
 2.0000000E+003,-4.9024744E+002, 2.3250173E+002, 1.0184023E+005, 1.1877474E+000
 2.1000000E+003,-4.8417316E+002, 2.3555224E+002, 1.0186005E+005, 1.1883898E+000
 2.2000000E+003,-4.8234108E+002, 2.3990555E+002, 1.0187931E+005, 1.1879309E+000
 2.3000000E+003,-4.7839701E+002, 2.4416646E+002, 1.0189803E+005, 1.1871787E+000
 2.4000000E+003,-4.7475296E+002, 2.4715037E+002, 1.0191616E+005, 1.1877111E+000
 2.5000000E+003,-4.6966795E+002, 2.5060331E+002, 1.0193362E+005, 1.1869421E+000
 2.6000000E+003,-4.6778739E+002, 2.5479029E+002, 1.0195062E+005, 1.1879413E+000
 2.7000000E+003,-4.6369237E+002, 2.5884361E+002, 1.0196695E+005, 1.1865704E+000
 2.8004464E+003,-4.6114834E+002, 2.6194458E+002, 1.0198275E+005, 1.1868315E+000
 2.9004464E+003,-4.5933016E+002, 2.6582455E+002, 1.0199817E+005, 1.1864742E+000
 3.0004464E+003,-4.5244988E+002, 2.6739140E+002, 1.0201294E+005, 1.1883957E+000
 3.1004464E+003,-4.5226855E+002, 2.7032084E+002, 1.0202724E+005, 1.1881017E+000
 3.2004464E+003,-4.4973832E+002, 2.7408211E+002, 1.0204126E+005, 1.1873399E+000
 3.3004464E+003,-4.4804986E+002, 2.7644358E+002, 1.0205478E+005, 1.1876045E+000
 3.4004464E+003,-4.4729734E+002, 2.7955359E+002, 1.0206804E+005, 1.1871223E+000
 3.5004464E+003,-4.3996457E+002, 2.8144915E+002, 1.0208079E+005, 1.1867104E+000
 3.6004464E+003,-4.4008067E+002, 2.8467787E+002, 1.0209302E+005, 1.1875170E+000
 3.7004464E+003,-4.3429260E+002, 2.8805826E+002, 1.0210480E+005, 1.1881700E+000
 3.8004464E+003,-4.3249684E+002, 2.9007606E+002, 1.0211606E+005, 1.1871267E+000
 3.9004464E+003,-4.3113744E+002, 2.9281493E+002, 1.0212698E+005, 1.1889957E+000
 4.0004464E+003,-4.2794654E+002, 2.9477916E+002, 1.0213756E+005, 1.1869663E+000
 4.1004464E+003,-4.2707266E+002, 2.9654602E+002, 1.0214781E+005, 1.1884401E+000
 4.2004464E+003,-4.2212775E+002, 2.9872047E+002, 1.0215772E+005, 1.1877097E+000
 4.3004464E+003,-4.2417688E+002, 3.0146399E+002, 1.0216725E+005, 1.1877134E+000
 4.4004464E+003,-4.1952333E+002, 3.0487901E+002, 1.0217644E+005, 1.1874377E+000
 4.5004464E+003,-4.1813491E+002, 3.0560077E+002, 1.0218530E+005, 1.1872759E+000
 4.6004464E+003,-4.1448553E+002, 3.0696935E+002, 1.0219389E+005, 1.1874007E+000
 4.7004464E+003,-4.0992878E+002, 3.0739807E+002, 1.0220200E+005, 1.1870135E+000
 4.8004464E+003,-4.1281553E+002, 3.0939061E+002, 1.0220994E+005, 1.1878889E+000
 4.9004464E+003,-4.1103322E+002, 3.1133492E+002, 1.0221778E+005, 1.1871161E+000
