s,kW,kW,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-3.5502521E-003, 0.0000000E+000, 1.0132500E+005, 1.1913975E+000
 1.0023291E+000,-3.9801260E-004, 1.7316804E-004, 1.0147313E+005, 1.1941479E+000
 2.0046582E+000,-1.2499089E-004, 1.1844202E-004, 1.0149618E+005, 1.1949892E+000
 3.0069872E+000,-1.0898961E-004, 1.0260378E-004, 1.0150144E+005, 1.1951922E+000
 4.0022577E+000,-1.1062477E-004, 1.0576520E-004, 1.0150612E+005, 1.1959183E+000
 5.0045867E+000,-1.2439103E-004, 1.2201667E-004, 1.0150947E+005, 1.1967008E+000
 6.0069158E+000,-1.4836805E-004, 1.5129236E-004, 1.0151010E+005, 1.1969214E+000
 7.0021862E+000,-1.7283036E-004, 1.8061823E-004, 1.0150655E+005, 1.1966579E+000
 8.0045153E+000,-1.8573652E-004, 1.9307286E-004, 1.0150145E+005, 1.1966394E+000
 9.0068444E+000,-1.8807662E-004, 1.9269692E-004, 1.0149802E+005, 1.1968429E+000
 1.0002115E+001,-1.8765177E-004, 1.9033487E-004, 1.0149656E+005, 1.1969968E+000
 1.1004444E+001,-1.8767850E-004, 1.8933502E-004, 1.0149628E+005, 1.1970673E+000
 1.2006773E+001,-1.8803194E-004, 1.8908834E-004, 1.0149663E+005, 1.1970756E+000
 1.3002043E+001,-1.8826595E-004, 1.8896626E-004, 1.0149735E+005, 1.1970308E+000
 1.4004372E+001,-1.8829509E-004, 1.8887030E-004, 1.0149826E+005, 1.1969435E+000
 1.5006702E+001,-1.8816355E-004, 1.8880720E-004, 1.0149919E+005, 1.1968269E+000
 1.6001972E+001,-1.8793361E-004, 1.8872433E-004, 1.0150001E+005, 1.1966871E+000
 1.7004301E+001,-1.8767671E-004, 1.8861042E-004, 1.0150071E+005, 1.1965288E+000
 1.8006630E+001,-1.8743505E-004, 1.8849548E-004, 1.0150131E+005, 1.1963665E+000
