m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0000000E+001,-1.3105397E-003, 4.2259788E+002, 2.8950346E+000,-4.0000000E+001,-1.2983630E-003, 5.1317181E+002, 2.8933303E+000,-4.0000000E+001,-1.2677552E-003, 5.9391257E+002, 2.9472508E+000,-4.0000000E+001,-1.2356484E-003, 5.8892765E+002, 2.9407933E+000,-4.0000000E+001,-1.2063113E-003, 5.3158545E+002, 2.9058594E+000,-4.0000000E+001, 1.1606140E-003, 4.9835399E+002, 2.9359913E+000,-4.0000000E+001, 1.1799091E-003, 5.6768036E+002, 2.9173321E+000,-4.0000000E+001, 1.2157782E-003, 5.8124891E+002, 2.9548560E+000,-4.0000000E+001, 1.2509460E-003, 6.1547855E+002, 2.9599075E+000,-4.0000000E+001, 1.2728621E-003, 5.1554216E+002, 2.9385198E+000
-3.7241379E+001,-1.3099459E-003, 4.2604133E+002, 2.8949559E+000,-3.7241379E+001,-1.2980913E-003, 5.2209642E+002, 2.8932911E+000,-3.7241379E+001,-1.2684475E-003, 5.8736199E+002, 2.9401930E+000,-3.7241379E+001,-1.2365715E-003, 5.8330841E+002, 2.9800183E+000,-3.7241379E+001,-1.2072513E-003, 5.3296620E+002, 2.9025466E+000,-3.7241379E+001, 1.1615438E-003, 4.9929758E+002, 2.9064769E+000,-3.7241379E+001, 1.1811056E-003, 5.6723914E+002, 2.9419194E+000,-3.7241379E+001, 1.2151813E-003, 5.9553138E+002, 2.9511465E+000,-3.7241379E+001, 1.2494477E-003, 5.9673385E+002, 2.9539243E+000,-3.7241379E+001, 1.2726355E-003, 5.1875218E+002, 2.9535294E+000
-3.4482759E+001,-1.3098458E-003, 4.2614280E+002, 2.8949470E+000,-3.4482759E+001,-1.2968005E-003, 5.2418985E+002, 2.8931121E+000,-3.4482759E+001,-1.2700163E-003, 5.8580699E+002, 2.9462722E+000,-3.4482759E+001,-1.2374393E-003, 5.8124898E+002, 3.0126801E+000,-3.4482759E+001,-1.2085046E-003, 5.2862112E+002, 2.9059786E+000,-3.4482759E+001, 1.1620425E-003, 5.0288417E+002, 2.8824591E+000,-3.4482759E+001, 1.1829208E-003, 5.6267011E+002, 2.9653020E+000,-3.4482759E+001, 1.2144155E-003, 5.8618612E+002, 2.9265500E+000,-3.4482759E+001, 1.2479703E-003, 6.0166713E+002, 2.9391297E+000,-3.4482759E+001, 1.2720554E-003, 5.2013701E+002, 2.9365546E+000
-3.1724138E+001,-1.3087897E-003, 4.3267951E+002, 2.8948024E+000,-3.1724138E+001,-1.2967041E-003, 5.2399509E+002, 2.9010292E+000,-3.1724138E+001,-1.2710379E-003, 5.9298388E+002, 2.9142338E+000,-3.1724138E+001,-1.2382725E-003, 5.7861966E+002, 2.9644263E+000,-3.1724138E+001,-1.2092736E-003, 5.2022885E+002, 2.9045699E+000,-3.1724138E+001, 1.1623902E-003, 5.0954277E+002, 2.8957846E+000,-3.1724138E+001, 1.1829582E-003, 5.5578450E+002, 2.9111327E+000,-3.1724138E+001, 1.2153596E-003, 5.9938727E+002, 2.9749595E+000,-3.1724138E+001, 1.2470758E-003, 6.0314885E+002, 2.9430539E+000,-3.1724138E+001, 1.2706162E-003, 5.2370840E+002, 2.9247690E+000
-2.8965517E+001,-1.3076861E-003, 4.4289431E+002, 2.8946494E+000,-2.8965517E+001,-1.2981172E-003, 5.2377278E+002, 2.9192483E+000,-2.8965517E+001,-1.2722666E-003, 5.9659677E+002, 2.9360933E+000,-2.8965517E+001,-1.2408682E-003, 5.6316244E+002, 2.9371253E+000,-2.8965517E+001,-1.2092853E-003, 5.1712828E+002, 2.9176712E+000,-2.8965517E+001, 1.1627601E-003, 5.1539343E+002, 2.8868437E+000,-2.8965517E+001, 1.1825060E-003, 5.6650212E+002, 2.9364219E+000,-2.8965517E+001, 1.2137204E-003, 6.0069348E+002, 2.9315734E+000,-2.8965517E+001, 1.2449626E-003, 5.9424051E+002, 2.9529818E+000,-2.8965517E+001, 1.2698434E-003, 5.2649650E+002, 2.9304427E+000
-2.6206897E+001,-1.3059562E-003, 4.3861534E+002, 2.8944025E+000,-2.6206897E+001,-1.3000959E-003, 5.2628666E+002, 2.9010676E+000,-2.6206897E+001,-1.2726208E-003, 5.9059725E+002, 2.9416557E+000,-2.6206897E+001,-1.2410553E-003, 5.6124574E+002, 2.9398580E+000,-2.6206897E+001,-1.2093320E-003, 5.1383356E+002, 2.9304289E+000,-2.6206897E+001, 1.1649902E-003, 5.0878435E+002, 2.8907384E+000,-2.6206897E+001, 1.1840099E-003, 5.8764752E+002, 2.9292854E+000,-2.6206897E+001, 1.2133143E-003, 5.9662529E+002, 2.9179164E+000,-2.6206897E+001, 1.2429396E-003, 6.0106335E+002, 2.9415071E+000,-2.6206897E+001, 1.2687705E-003, 5.1418281E+002, 2.9280912E+000
-2.3448276E+001,-1.3043921E-003, 4.3740397E+002, 2.8975334E+000,-2.3448276E+001,-1.3008806E-003, 5.2033072E+002, 2.8973472E+000,-2.3448276E+001,-1.2719389E-003, 5.7218757E+002, 2.9360968E+000,-2.3448276E+001,-1.2404050E-003, 5.5234351E+002, 2.9735818E+000,-2.3448276E+001,-1.2092954E-003, 5.2120161E+002, 2.9516997E+000,-2.3448276E+001, 1.1677839E-003, 5.2560633E+002, 2.8920852E+000,-2.3448276E+001, 1.1838301E-003, 5.9604365E+002, 2.9246812E+000,-2.3448276E+001, 1.2128239E-003, 6.0155493E+002, 2.9115620E+000,-2.3448276E+001, 1.2432286E-003, 5.8791455E+002, 2.9398632E+000,-2.3448276E+001, 1.2684106E-003, 5.0004468E+002, 2.9206085E+000
-2.0689655E+001,-1.3054809E-003, 4.3324691E+002, 2.9007997E+000,-2.0689655E+001,-1.2992909E-003, 5.2017768E+002, 2.8952765E+000,-2.0689655E+001,-1.2713506E-003, 5.6835613E+002, 2.9692898E+000,-2.0689655E+001,-1.2407368E-003, 5.4594492E+002, 2.9490463E+000,-2.0689655E+001,-1.2105723E-003, 5.2889898E+002, 2.9551792E+000,-2.0689655E+001, 1.1702993E-003, 5.3014292E+002, 2.8847582E+000,-2.0689655E+001, 1.1827211E-003, 5.7603652E+002, 2.9139161E+000,-2.0689655E+001, 1.2138167E-003, 5.9502962E+002, 2.9493716E+000,-2.0689655E+001, 1.2460301E-003, 5.7540732E+002, 2.9633120E+000,-2.0689655E+001, 1.2695365E-003, 5.0681271E+002, 2.9401774E+000
-1.7931034E+001,-1.3059541E-003, 4.3824066E+002, 2.8992842E+000,-1.7931034E+001,-1.2984501E-003, 5.0526473E+002, 2.8991749E+000,-1.7931034E+001,-1.2706868E-003, 5.7540853E+002, 2.9582133E+000,-1.7931034E+001,-1.2402287E-003, 5.5766616E+002, 2.9756914E+000,-1.7931034E+001,-1.2100553E-003, 5.2680610E+002, 2.9072565E+000,-1.7931034E+001, 1.1715986E-003, 5.3102724E+002, 2.8854429E+000,-1.7931034E+001, 1.1821342E-003, 5.6862376E+002, 2.9071289E+000,-1.7931034E+001, 1.2152149E-003, 6.0623442E+002, 2.9701268E+000,-1.7931034E+001, 1.2482603E-003, 5.8637936E+002, 2.9710636E+000,-1.7931034E+001, 1.2711100E-003, 5.0393413E+002, 2.9408209E+000
