m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 1.0000000E-003, 4.7009858E-001,-4.6822816E-003
 5.1612903E-001, 4.6182540E-001,-4.5278065E-003
 1.0322581E+000, 4.5229752E-001,-4.3723694E-003
 1.5483871E+000, 4.4344354E-001,-4.2256654E-003
 2.0645161E+000, 4.3597666E-001,-4.0938193E-003
 2.5806452E+000, 4.2830346E-001,-3.9618794E-003
 3.0967742E+000, 4.2036002E-001,-3.8288716E-003
 3.6129032E+000, 4.1056339E-001,-3.6719269E-003
 4.1290323E+000, 4.0275020E-001,-3.5508937E-003
 4.6451613E+000, 3.9496711E-001,-3.4374087E-003
 5.1612903E+000, 3.8795879E-001,-3.3354217E-003
 5.6774194E+000, 3.8205284E-001,-3.2472521E-003
 6.1935484E+000, 3.7666824E-001,-3.1680905E-003
 6.7096774E+000, 3.7061243E-001,-3.0825351E-003
 7.2258065E+000, 3.6646091E-001,-3.0221413E-003
 7.7419355E+000, 3.6279421E-001,-2.9678331E-003
 8.2580645E+000, 3.6016984E-001,-2.9252204E-003
 8.7741935E+000, 3.5781534E-001,-2.8872897E-003
 9.2903226E+000, 3.5554568E-001,-2.8512911E-003
 9.8064516E+000, 3.5298254E-001,-2.8098302E-003
 1.0322581E+001, 3.5103500E-001,-2.7771639E-003
 1.0838710E+001, 3.4881755E-001,-2.7428184E-003
 1.1354839E+001, 3.4712722E-001,-2.7146783E-003
 1.1870968E+001, 3.4567990E-001,-2.6899757E-003
 1.2387097E+001, 3.4370837E-001,-2.6618301E-003
 1.2903226E+001, 3.4124563E-001,-2.6299885E-003
 1.3419355E+001, 3.3960149E-001,-2.6073107E-003
 1.3935484E+001, 3.3859171E-001,-2.5901262E-003
 1.4451613E+001, 3.3844275E-001,-2.5810637E-003
 1.4967742E+001, 3.3889464E-001,-2.5787619E-003
 1.5483871E+001, 3.3983144E-001,-2.5795414E-003
 1.5999000E+001, 3.4272103E-001,-2.5959129E-003
