s,mol/mol,kW
Time,VF,HRR
 5.2501701E+000, 1.4942934E-001, 7.5933437E-006
 5.3001211E+000, 1.4958153E-001, 6.5757805E-006
 5.3500758E+000, 1.4973429E-001, 7.5514584E-006
 5.4001697E+000, 1.4988678E-001, 6.3903301E-006
 5.4500414E+000, 1.5003943E-001, 7.6497127E-006
 5.5000179E+000, 1.5019195E-001, 6.3984705E-006
 5.5500036E+000, 1.5034431E-001, 7.6042749E-006
 5.6001736E+000, 1.5049763E-001, 6.3846941E-006
 5.6500354E+000, 1.5064986E-001, 7.5617788E-006
 5.7000911E+000, 1.5080309E-001, 6.6085185E-006
 5.7500546E+000, 1.5095526E-001, 7.3822302E-006
 5.8001574E+000, 1.5110882E-001, 6.8372735E-006
 5.8501519E+000, 1.5126108E-001, 6.9335981E-006
 5.9001005E+000, 1.5141451E-001, 7.2199109E-006
 5.9501688E+000, 1.5156672E-001, 6.5616990E-006
 6.0001404E+000, 1.5172027E-001, 7.4656073E-006
 6.0500375E+000, 1.5187241E-001, 6.4567373E-006
 6.1001363E+000, 1.5202572E-001, 7.4919876E-006
 6.1500248E+000, 1.5217839E-001, 6.4363201E-006
 6.2000874E+000, 1.5233142E-001, 7.5143122E-006
 6.2500207E+000, 1.5248437E-001, 6.3462513E-006
 6.3000193E+000, 1.5263721E-001, 7.6086407E-006
 6.3500678E+000, 1.5279052E-001, 6.3028172E-006
 6.4001582E+000, 1.5294352E-001, 7.4734732E-006
 6.4500059E+000, 1.5309692E-001, 6.3874289E-006
 6.5001767E+000, 1.5324955E-001, 7.3453297E-006
 6.5500543E+000, 1.5340332E-001, 6.5723676E-006
 6.6000522E+000, 1.5355563E-001, 7.1245588E-006
 6.6500043E+000, 1.5370939E-001, 6.7263165E-006
 6.7000480E+000, 1.5386193E-001, 6.8730354E-006
 6.7500887E+000, 1.5401589E-001, 7.1233039E-006
 6.8000916E+000, 1.5416859E-001, 6.5422710E-006
 6.8500253E+000, 1.5432233E-001, 7.3610105E-006
 6.9000684E+000, 1.5447503E-001, 6.4036948E-006
 6.9500099E+000, 1.5462878E-001, 7.3356107E-006
 7.0001271E+000, 1.5478178E-001, 6.2956250E-006
 7.0500846E+000, 1.5493554E-001, 7.4344635E-006
 7.1001456E+000, 1.5508874E-001, 6.3490538E-006
 7.1500256E+000, 1.5524210E-001, 7.3967435E-006
 7.2000124E+000, 1.5539537E-001, 6.2805481E-006
 7.2500589E+000, 1.5554867E-001, 7.4148005E-006
 7.3000913E+000, 1.5570264E-001, 6.6380024E-006
 7.3500870E+000, 1.5585571E-001, 7.3813063E-006
 7.4001876E+000, 1.5600989E-001, 6.4518813E-006
 7.4501492E+000, 1.5616292E-001, 7.1936427E-006
 7.5001327E+000, 1.5631695E-001, 6.7222103E-006
 7.5500199E+000, 1.5646971E-001, 6.7781783E-006
 7.6001059E+000, 1.5662391E-001, 7.3380929E-006
 7.6500244E+000, 1.5677702E-001, 6.6842160E-006
 7.7000876E+000, 1.5693106E-001, 7.4353408E-006
 7.7501196E+000, 1.5708458E-001, 6.5111618E-006
 7.8001715E+000, 1.5723851E-001, 7.4144735E-006
 7.8500587E+000, 1.5739216E-001, 6.4255626E-006
 7.9000103E+000, 1.5754545E-001, 7.3818710E-006
 7.9501747E+000, 1.5769975E-001, 6.5146519E-006
 8.0000230E+000, 1.5785306E-001, 7.2697755E-006
 8.0501348E+000, 1.5800741E-001, 6.7695022E-006
 8.1001136E+000, 1.5816072E-001, 6.9834182E-006
 8.1500036E+000, 1.5831497E-001, 6.6326744E-006
 8.2001295E+000, 1.5846832E-001, 6.8314452E-006
 8.2501380E+000, 1.5862303E-001, 7.2819547E-006
 8.3000581E+000, 1.5877634E-001, 6.7417067E-006
 8.3500506E+000, 1.5893052E-001, 7.1247254E-006
 8.4001049E+000, 1.5908428E-001, 6.4607509E-006
 8.4501294E+000, 1.5923852E-001, 7.3018946E-006
 8.5001538E+000, 1.5939259E-001, 6.6427019E-006
 8.5500877E+000, 1.5954638E-001, 7.3881628E-006
 8.6000092E+000, 1.5970058E-001, 6.5604784E-006
 8.6500896E+000, 1.5985425E-001, 7.2977013E-006
 8.7001519E+000, 1.6000910E-001, 6.7387387E-006
 8.7500138E+000, 1.6016244E-001, 7.1282188E-006
 8.8001464E+000, 1.6031721E-001, 6.7658390E-006
 8.8501498E+000, 1.6047107E-001, 7.0329565E-006
 8.9000077E+000, 1.6062553E-001, 7.2084707E-006
 8.9500170E+000, 1.6077911E-001, 6.6595569E-006
 9.0000535E+000, 1.6093369E-001, 7.2587536E-006
 9.0501246E+000, 1.6108808E-001, 6.6268311E-006
 9.1000490E+000, 1.6124228E-001, 7.2836541E-006
 9.1501316E+000, 1.6139686E-001, 6.4938951E-006
 9.2000183E+000, 1.6155074E-001, 7.1747680E-006
 9.2500594E+000, 1.6170546E-001, 6.5722234E-006
 9.3001724E+000, 1.6185957E-001, 6.9815421E-006
 9.3501945E+000, 1.6201471E-001, 6.9662154E-006
 9.4000566E+000, 1.6216843E-001, 6.6598073E-006
 9.4501757E+000, 1.6232330E-001, 7.2298894E-006
 9.5000200E+000, 1.6247735E-001, 6.5225654E-006
 9.5501180E+000, 1.6263198E-001, 7.2148157E-006
 9.6000354E+000, 1.6278643E-001, 6.4363052E-006
 9.6501114E+000, 1.6294089E-001, 7.2017703E-006
 9.7000170E+000, 1.6309566E-001, 6.4798129E-006
 9.7501493E+000, 1.6324994E-001, 7.1383722E-006
 9.8000362E+000, 1.6340504E-001, 6.6279194E-006
 9.8500548E+000, 1.6355898E-001, 6.8747540E-006
 9.9001916E+000, 1.6371442E-001, 7.0107258E-006
 9.9502136E+000, 1.6386886E-001, 6.6759381E-006
 1.0000111E+001, 1.6402382E-001, 7.1579098E-006
 1.0050110E+001, 1.6417813E-001, 6.4499616E-006
 1.0100157E+001, 1.6433303E-001, 7.1757217E-006
 1.0150015E+001, 1.6448772E-001, 6.5297405E-006
 1.0200104E+001, 1.6464213E-001, 7.1995356E-006
 1.0250036E+001, 1.6479740E-001, 6.5543014E-006
 1.0300161E+001, 1.6495187E-001, 7.0881872E-006
 1.0350153E+001, 1.6510746E-001, 6.8751323E-006
 1.0400063E+001, 1.6526165E-001, 6.8046770E-006
 1.0450153E+001, 1.6541705E-001, 7.0934888E-006
 1.0500082E+001, 1.6557167E-001, 6.5858478E-006
 1.0550128E+001, 1.6572677E-001, 7.1406391E-006
 1.0600080E+001, 1.6588174E-001, 6.5308021E-006
 1.0650103E+001, 1.6603650E-001, 7.1942063E-006
 1.0700135E+001, 1.6619198E-001, 6.3208188E-006
 1.0750176E+001, 1.6634670E-001, 7.1610447E-006
 1.0800138E+001, 1.6650235E-001, 6.7555836E-006
 1.0850060E+001, 1.6665669E-001, 6.8911168E-006
 1.0900155E+001, 1.6681237E-001, 6.8610741E-006
 1.0950054E+001, 1.6696704E-001, 6.6699881E-006
 1.1000124E+001, 1.6712242E-001, 7.0887512E-006
 1.1050173E+001, 1.6727766E-001, 6.5247512E-006
 1.1100189E+001, 1.6743289E-001, 7.1299557E-006
 1.1150183E+001, 1.6758844E-001, 6.5423678E-006
 1.1200111E+001, 1.6774316E-001, 7.3091095E-006
 1.1250118E+001, 1.6789887E-001, 6.4209981E-006
 1.1300077E+001, 1.6805351E-001, 6.9084753E-006
 1.1350141E+001, 1.6820950E-001, 6.9836559E-006
 1.1400187E+001, 1.6836448E-001, 6.9093481E-006
 1.1450013E+001, 1.6852004E-001, 6.9142664E-006
 1.1500006E+001, 1.6867486E-001, 6.3465197E-006
 1.1550035E+001, 1.6883044E-001, 7.0667877E-006
 1.1600171E+001, 1.6898622E-001, 6.4439365E-006
 1.1650170E+001, 1.6914163E-001, 7.2182722E-006
 1.1700108E+001, 1.6929749E-001, 6.2761544E-006
 1.1750076E+001, 1.6945231E-001, 7.1361408E-006
 1.1800101E+001, 1.6960847E-001, 6.5234390E-006
 1.1850104E+001, 1.6976348E-001, 6.9673558E-006
 1.1900062E+001, 1.6991953E-001, 6.8054825E-006
 1.1950090E+001, 1.7007470E-001, 6.5333308E-006
 1.2000176E+001, 1.7023076E-001, 6.9158809E-006
 1.2050183E+001, 1.7038649E-001, 6.4288071E-006
 1.2100077E+001, 1.7054187E-001, 7.2148164E-006
 1.2150185E+001, 1.7069788E-001, 6.3319653E-006
 1.2200159E+001, 1.7085323E-001, 7.1176354E-006
 1.2250163E+001, 1.7100954E-001, 6.5963933E-006
 1.2300075E+001, 1.7116466E-001, 6.8991002E-006
 1.2350108E+001, 1.7132085E-001, 6.6608219E-006
 1.2400042E+001, 1.7147620E-001, 6.9648555E-006
 1.2450002E+001, 1.7163212E-001, 6.9608388E-006
 1.2500115E+001, 1.7178797E-001, 6.5614237E-006
 1.2550104E+001, 1.7194396E-001, 6.8983685E-006
 1.2600061E+001, 1.7209998E-001, 6.2677627E-006
 1.2650086E+001, 1.7225552E-001, 7.1253270E-006
 1.2700047E+001, 1.7241192E-001, 6.4313679E-006
 1.2750180E+001, 1.7256750E-001, 6.9122667E-006
 1.2800175E+001, 1.7272427E-001, 6.6849218E-006
 1.2850005E+001, 1.7287957E-001, 6.7166812E-006
 1.2900198E+001, 1.7303605E-001, 6.7241688E-006
 1.2950002E+001, 1.7319190E-001, 6.3950741E-006
 1.3000148E+001, 1.7334799E-001, 7.0097659E-006
 1.3050033E+001, 1.7350425E-001, 6.3832720E-006
 1.3100187E+001, 1.7366016E-001, 7.0195793E-006
 1.3150158E+001, 1.7381695E-001, 6.2561702E-006
 1.3200069E+001, 1.7397252E-001, 6.8275311E-006
 1.3250019E+001, 1.7412900E-001, 6.4087968E-006
 1.3300006E+001, 1.7428468E-001, 6.9870176E-006
 1.3350064E+001, 1.7444139E-001, 6.6861156E-006
 1.3400117E+001, 1.7459749E-001, 6.7442762E-006
 1.3450038E+001, 1.7475395E-001, 6.6234796E-006
 1.3500110E+001, 1.7491015E-001, 6.1442203E-006
 1.3550115E+001, 1.7506659E-001, 6.9414350E-006
 1.3600076E+001, 1.7522311E-001, 6.3609346E-006
 1.3650190E+001, 1.7537931E-001, 6.8901230E-006
 1.3700140E+001, 1.7553623E-001, 6.1780974E-006
 1.3750119E+001, 1.7569213E-001, 6.7593592E-006
 1.3800190E+001, 1.7584917E-001, 6.4815109E-006
 1.3850116E+001, 1.7600513E-001, 6.7510647E-006
 1.3900066E+001, 1.7616186E-001, 6.5956462E-006
 1.3950162E+001, 1.7631825E-001, 6.4128671E-006
 1.4000187E+001, 1.7647511E-001, 6.7773951E-006
 1.4050111E+001, 1.7663170E-001, 6.2436815E-006
 1.4100098E+001, 1.7678791E-001, 7.0692242E-006
 1.4150111E+001, 1.7694494E-001, 6.6355912E-006
 1.4200112E+001, 1.7710117E-001, 7.0482839E-006
 1.4250110E+001, 1.7725832E-001, 6.3474355E-006
 1.4300125E+001, 1.7741457E-001, 6.6133387E-006
 1.4350025E+001, 1.7757154E-001, 6.6769054E-006
 1.4400202E+001, 1.7772821E-001, 6.5649322E-006
 1.4450030E+001, 1.7788510E-001, 6.7070457E-006
 1.4500042E+001, 1.7804171E-001, 6.0895397E-006
 1.4550007E+001, 1.7819830E-001, 6.8627252E-006
 1.4600058E+001, 1.7835548E-001, 6.4774994E-006
 1.4650128E+001, 1.7851211E-001, 7.0588727E-006
 1.4700028E+001, 1.7866938E-001, 6.4883239E-006
 1.4750214E+001, 1.7882607E-001, 6.8945715E-006
 1.4800181E+001, 1.7898347E-001, 6.7248169E-006
 1.4850105E+001, 1.7914022E-001, 6.6658895E-006
 1.4900110E+001, 1.7929697E-001, 6.9105199E-006
 1.4950161E+001, 1.7945431E-001, 5.9800789E-006
 1.5000167E+001, 1.7961113E-001, 6.5990445E-006
 1.5050017E+001, 1.7976837E-001, 6.3661184E-006
 1.5100075E+001, 1.7992484E-001, 7.1272766E-006
 1.5150084E+001, 1.8008240E-001, 6.5924899E-006
 1.5200102E+001, 1.8023930E-001, 6.8472905E-006
 1.5250027E+001, 1.8039646E-001, 6.7131323E-006
 1.5300112E+001, 1.8055378E-001, 6.4663537E-006
 1.5350042E+001, 1.8071076E-001, 7.1025875E-006
 1.5400029E+001, 1.8086822E-001, 6.4438036E-006
 1.5450038E+001, 1.8102500E-001, 7.2409393E-006
 1.5500171E+001, 1.8118294E-001, 6.5240768E-006
 1.5550209E+001, 1.8134017E-001, 7.1022249E-006
 1.5600142E+001, 1.8149771E-001, 6.6445911E-006
 1.5650127E+001, 1.8165484E-001, 6.3980772E-006
 1.5700004E+001, 1.8181198E-001, 6.9098349E-006
 1.5750044E+001, 1.8196938E-001, 6.6200605E-006
 1.5800187E+001, 1.8212678E-001, 6.8449238E-006
 1.5850158E+001, 1.8228479E-001, 6.2895348E-006
 1.5900057E+001, 1.8244161E-001, 7.1427553E-006
 1.5950107E+001, 1.8259942E-001, 6.4054688E-006
 1.6000168E+001, 1.8275683E-001, 6.7361047E-006
 1.6050160E+001, 1.8291461E-001, 6.6920058E-006
 1.6100011E+001, 1.8307181E-001, 6.4868559E-006
 1.6150114E+001, 1.8322923E-001, 7.0162464E-006
 1.6200082E+001, 1.8338714E-001, 6.5957616E-006
 1.6250187E+001, 1.8354458E-001, 6.9470227E-006
 1.6300152E+001, 1.8370268E-001, 6.4767008E-006
 1.6350011E+001, 1.8385978E-001, 6.7664421E-006
 1.6400169E+001, 1.8401781E-001, 6.6302016E-006
 1.6450047E+001, 1.8417532E-001, 6.9843853E-006
 1.6500079E+001, 1.8433303E-001, 6.3831700E-006
 1.6550152E+001, 1.8449100E-001, 6.3162352E-006
 1.6600152E+001, 1.8464876E-001, 6.8800916E-006
 1.6650074E+001, 1.8480673E-001, 6.4892442E-006
 1.6700028E+001, 1.8496407E-001, 6.7866733E-006
 1.6750045E+001, 1.8512223E-001, 6.5278428E-006
 1.6800127E+001, 1.8527998E-001, 6.9095095E-006
 1.6850065E+001, 1.8543810E-001, 6.6346679E-006
 1.6900004E+001, 1.8559586E-001, 6.4455875E-006
 1.6950003E+001, 1.8575357E-001, 6.7220946E-006
 1.7000195E+001, 1.8591212E-001, 6.5694104E-006
 1.7050115E+001, 1.8607005E-001, 7.0120115E-006
 1.7100146E+001, 1.8622822E-001, 6.6850638E-006
 1.7150008E+001, 1.8638587E-001, 6.8673672E-006
 1.7200045E+001, 1.8654390E-001, 6.6432664E-006
 1.7250011E+001, 1.8670204E-001, 6.6099567E-006
 1.7300202E+001, 1.8686021E-001, 6.7920087E-006
 1.7350055E+001, 1.8701867E-001, 6.5126506E-006
 1.7400131E+001, 1.8717657E-001, 6.7802154E-006
 1.7450162E+001, 1.8733512E-001, 6.7532301E-006
 1.7500031E+001, 1.8749307E-001, 6.7035489E-006
 1.7550184E+001, 1.8765129E-001, 6.8719217E-006
 1.7600154E+001, 1.8780993E-001, 6.6323386E-006
 1.7650039E+001, 1.8796779E-001, 6.6148954E-006
 1.7700184E+001, 1.8812636E-001, 6.8374616E-006
 1.7750133E+001, 1.8828474E-001, 6.7574360E-006
 1.7800127E+001, 1.8844305E-001, 6.9236128E-006
 1.7850154E+001, 1.8860153E-001, 6.7954810E-006
 1.7900085E+001, 1.8875971E-001, 6.6648966E-006
 1.7950038E+001, 1.8891815E-001, 6.4503018E-006
 1.8000181E+001, 1.8907663E-001, 6.7688410E-006
 1.8050097E+001, 1.8923525E-001, 6.5802745E-006
 1.8100115E+001, 1.8939377E-001, 6.6212581E-006
 1.8150128E+001, 1.8955208E-001, 7.1383385E-006
 1.8200003E+001, 1.8971068E-001, 6.4390575E-006
 1.8250030E+001, 1.8986900E-001, 6.7292401E-006
 1.8300208E+001, 1.9002799E-001, 6.8549903E-006
 1.8350046E+001, 1.9018667E-001, 6.9491805E-006
 1.8400007E+001, 1.9034495E-001, 7.1699232E-006
 1.8450016E+001, 1.9050362E-001, 6.9139481E-006
 1.8500204E+001, 1.9066262E-001, 6.5924422E-006
 1.8550200E+001, 1.9082149E-001, 6.7882328E-006
 1.8600029E+001, 1.9098012E-001, 6.7619546E-006
 1.8650104E+001, 1.9113872E-001, 6.7761352E-006
 1.8700187E+001, 1.9129784E-001, 6.4044534E-006
 1.8750128E+001, 1.9145646E-001, 6.9847414E-006
 1.8800063E+001, 1.9161528E-001, 6.5199840E-006
 1.8850017E+001, 1.9177403E-001, 6.3248520E-006
 1.8900093E+001, 1.9193300E-001, 6.8556190E-006
 1.8950065E+001, 1.9209202E-001, 7.0076017E-006
 1.9000194E+001, 1.9225100E-001, 7.3033569E-006
 1.9050006E+001, 1.9240996E-001, 6.6452592E-006
 1.9100089E+001, 1.9256878E-001, 6.7738393E-006
 1.9150178E+001, 1.9272808E-001, 6.8965997E-006
 1.9200198E+001, 1.9288726E-001, 6.3978845E-006
