s,mol/mol,kW
Time,"VF","HRR"
 5.2500349E+000, 8.1489838E-002, 7.0884311E-006
 5.3000741E+000, 8.1550760E-002, 7.3166140E-006
 5.3501132E+000, 8.1612403E-002, 7.0134684E-006
 5.4001524E+000, 8.1673482E-002, 7.3010640E-006
 5.4500159E+000, 8.1735031E-002, 7.0608936E-006
 5.5000551E+000, 8.1796093E-002, 7.2543780E-006
 5.5500942E+000, 8.1857743E-002, 7.1955073E-006
 5.6001334E+000, 8.1919010E-002, 7.2850953E-006
 5.6501725E+000, 8.1980640E-002, 7.0636027E-006
 5.7000361E+000, 8.2041941E-002, 7.2109809E-006
 5.7500753E+000, 8.2103399E-002, 7.1698855E-006
 5.8001144E+000, 8.2164956E-002, 7.2084102E-006
 5.8501536E+000, 8.2226470E-002, 7.2771460E-006
 5.9000171E+000, 8.2288057E-002, 7.1084547E-006
 5.9500563E+000, 8.2349406E-002, 7.2641866E-006
 6.0000954E+000, 8.2411258E-002, 7.0530059E-006
 6.0501622E+000, 8.2472692E-002, 7.3152568E-006
 6.1000280E+000, 8.2534547E-002, 7.0306615E-006
 6.1501479E+000, 8.2595916E-002, 7.3997147E-006
 6.2001536E+000, 8.2657984E-002, 7.0375687E-006
 6.2501407E+000, 8.2719382E-002, 7.3827041E-006
 6.3001158E+000, 8.2781378E-002, 7.0819107E-006
 6.3500067E+000, 8.2842776E-002, 7.2621073E-006
 6.4000123E+000, 8.2904756E-002, 7.2177987E-006
 6.4500707E+000, 8.2966357E-002, 7.3296545E-006
 6.5000293E+000, 8.3028387E-002, 7.0443133E-006
 6.5501709E+000, 8.3090145E-002, 7.1796619E-006
 6.6001296E+000, 8.3152168E-002, 7.2817640E-006
 6.6500560E+000, 8.3213911E-002, 7.2426222E-006
 6.7000516E+000, 8.3275829E-002, 7.2153713E-006
 6.7500471E+000, 8.3337832E-002, 7.0259062E-006
 6.8000427E+000, 8.3399660E-002, 7.1442324E-006
 6.8500383E+000, 8.3461777E-002, 7.0548218E-006
 6.9000338E+000, 8.3523607E-002, 7.3463936E-006
 6.9501092E+000, 8.3585860E-002, 7.1820123E-006
 7.0001177E+000, 8.3647711E-002, 7.3136825E-006
 7.0501262E+000, 8.3710213E-002, 6.6944382E-006
 7.1001347E+000, 8.3771865E-002, 7.3003954E-006
 7.1500868E+000, 8.3834353E-002, 6.9181217E-006
 7.2000206E+000, 8.3896061E-002, 6.9761321E-006
 7.2501443E+000, 8.3958542E-002, 7.5475838E-006
 7.3001526E+000, 8.4020573E-002, 7.3300730E-006
 7.3501172E+000, 8.4082981E-002, 6.8437233E-006
 7.4000818E+000, 8.4145036E-002, 7.1299439E-006
 7.4500633E+000, 8.4207373E-002, 7.2926813E-006
 7.5000496E+000, 8.4269592E-002, 7.1851813E-006
 7.5500359E+000, 8.4331927E-002, 7.0337228E-006
 7.6000223E+000, 8.4394404E-002, 6.6335253E-006
 7.6500086E+000, 8.4456468E-002, 7.1792551E-006
 7.7001471E+000, 8.4519187E-002, 7.2114211E-006
 7.7500337E+000, 8.4581323E-002, 7.0352533E-006
 7.8000838E+000, 8.4643989E-002, 7.1799530E-006
 7.8500321E+000, 8.4706181E-002, 7.4403753E-006
 7.9000912E+000, 8.4768988E-002, 6.8179767E-006
 7.9501207E+000, 8.4831255E-002, 7.2740307E-006
 8.0001545E+000, 8.4894077E-002, 7.1224811E-006
 8.0500940E+000, 8.4956291E-002, 7.2130237E-006
 8.1001165E+000, 8.5019203E-002, 6.9881848E-006
 8.1501390E+000, 8.5081572E-002, 6.9278274E-006
 8.2001226E+000, 8.5144339E-002, 6.9988426E-006
 8.2501905E+000, 8.5206863E-002, 7.1788189E-006
 8.3000317E+000, 8.5269510E-002, 7.5365185E-006
 8.3500306E+000, 8.5332103E-002, 7.0220224E-006
 8.4001575E+000, 8.5394830E-002, 7.1674966E-006
 8.4501786E+000, 8.5457779E-002, 7.0352077E-006
 8.5000895E+000, 8.5520346E-002, 7.2193551E-006
 8.5501817E+000, 8.5583348E-002, 6.9702622E-006
 8.6000284E+000, 8.5645851E-002, 7.2175048E-006
 8.6500604E+000, 8.5709042E-002, 6.7472947E-006
 8.7000086E+000, 8.5771433E-002, 7.2669131E-006
 8.7501132E+000, 8.5834760E-002, 6.8393934E-006
 8.8000240E+000, 8.5897269E-002, 7.0244946E-006
 8.8500180E+000, 8.5960421E-002, 7.5207377E-006
