s,mol/mol,kW
Time,"VF","HRR"
 5.2500525E+000, 6.1267288E-001, 2.9248945E-006
 5.3000407E+000, 6.1277222E-001, 2.9249307E-006
 5.3500290E+000, 6.1287157E-001, 2.9253373E-006
 5.4000172E+000, 6.1297091E-001, 2.9254641E-006
 5.4500055E+000, 6.1307025E-001, 2.9261595E-006
 5.5001142E+000, 6.1316971E-001, 2.9264655E-006
 5.5501024E+000, 6.1326918E-001, 2.9265942E-006
 5.6000907E+000, 6.1336853E-001, 2.9269500E-006
 5.6500789E+000, 6.1346787E-001, 2.9279014E-006
 5.7000672E+000, 6.1356720E-001, 2.9315937E-006
 5.7500554E+000, 6.1366654E-001, 2.9298503E-006
 5.8000436E+000, 6.1376588E-001, 2.9285082E-006
 5.8500319E+000, 6.1386522E-001, 2.9265377E-006
 5.9000201E+000, 6.1396455E-001, 2.9244898E-006
 5.9500084E+000, 6.1406389E-001, 2.9231266E-006
 6.0001171E+000, 6.1416335E-001, 2.9210019E-006
 6.0501053E+000, 6.1426280E-001, 2.9195393E-006
 6.1000936E+000, 6.1436214E-001, 2.9176614E-006
 6.1500818E+000, 6.1446147E-001, 2.9196332E-006
 6.2000701E+000, 6.1456080E-001, 2.9297790E-006
 6.2500583E+000, 6.1466013E-001, 2.9327483E-006
 6.3000465E+000, 6.1475946E-001, 2.9340699E-006
 6.3500348E+000, 6.1485879E-001, 2.9339114E-006
 6.4000230E+000, 6.1495812E-001, 2.9344982E-006
 6.4500113E+000, 6.1505744E-001, 2.9381012E-006
 6.5001200E+000, 6.1515689E-001, 2.9364485E-006
 6.5501082E+000, 6.1525633E-001, 2.9379621E-006
 6.6000965E+000, 6.1535566E-001, 2.9381255E-006
 6.6500847E+000, 6.1545498E-001, 2.9383668E-006
 6.7000730E+000, 6.1555431E-001, 2.9387015E-006
 6.7500612E+000, 6.1565363E-001, 2.9387356E-006
 6.8000494E+000, 6.1575295E-001, 2.9394159E-006
 6.8500377E+000, 6.1585228E-001, 2.9395436E-006
 6.9000259E+000, 6.1595161E-001, 2.9397697E-006
 6.9500142E+000, 6.1605093E-001, 2.9401824E-006
 7.0000024E+000, 6.1615025E-001, 2.9404317E-006
 7.0501111E+000, 6.1624969E-001, 2.9406855E-006
 7.1000994E+000, 6.1634913E-001, 2.9409844E-006
