s,mol/mol,kW
Time,"VF","HRR"
 5.2500787E+000, 4.2628283E-001, 3.9718021E-006
 5.3000159E+000, 4.2640510E-001, 4.0391971E-006
 5.3500904E+000, 4.2652739E-001, 4.0515680E-006
 5.4000837E+000, 4.2665002E-001, 3.9524072E-006
 5.4501504E+000, 4.2677220E-001, 4.1083820E-006
 5.5001199E+000, 4.2689486E-001, 3.9460549E-006
 5.5500249E+000, 4.2701685E-001, 4.1704478E-006
 5.6001243E+000, 4.2713945E-001, 3.8985092E-006
 5.6500841E+000, 4.2726171E-001, 4.1163228E-006
 5.7001471E+000, 4.2738422E-001, 3.9661691E-006
 5.7501530E+000, 4.2750672E-001, 4.0201854E-006
 5.8000454E+000, 4.2762893E-001, 4.0515551E-006
 5.8501163E+000, 4.2775149E-001, 3.9357506E-006
 5.9001351E+000, 4.2787382E-001, 4.1022747E-006
 5.9501534E+000, 4.2799653E-001, 3.9265429E-006
 6.0001226E+000, 4.2811870E-001, 4.1523433E-006
 6.0500184E+000, 4.2824122E-001, 3.8843583E-006
 6.1001905E+000, 4.2836363E-001, 4.0832829E-006
 6.1500791E+000, 4.2848629E-001, 3.9461421E-006
 6.2000006E+000, 4.2860857E-001, 3.9896912E-006
 6.2500677E+000, 4.2873093E-001, 4.0403481E-006
 6.3000429E+000, 4.2885370E-001, 3.9212314E-006
 6.3500055E+000, 4.2897597E-001, 4.0963035E-006
 6.4000358E+000, 4.2909874E-001, 3.8931419E-006
 6.4501040E+000, 4.2922119E-001, 4.1318173E-006
 6.5001166E+000, 4.2934404E-001, 3.8769198E-006
 6.5501003E+000, 4.2946645E-001, 4.0692916E-006
 6.6001512E+000, 4.2958912E-001, 3.9477113E-006
 6.6501699E+000, 4.2971184E-001, 3.9754003E-006
 6.7001186E+000, 4.2983430E-001, 4.0342900E-006
 6.7501448E+000, 4.2995705E-001, 3.9154251E-006
 6.8000706E+000, 4.3007938E-001, 4.1004131E-006
 6.8501229E+000, 4.3020219E-001, 3.8799877E-006
 6.9001194E+000, 4.3032465E-001, 4.1137447E-006
 6.9501730E+000, 4.3044755E-001, 3.8723759E-006
 7.0001487E+000, 4.3057011E-001, 4.0486259E-006
 7.0500524E+000, 4.3069266E-001, 3.9378697E-006
 7.1001091E+000, 4.3081533E-001, 3.9518651E-006
 7.1501486E+000, 4.3093803E-001, 4.0238752E-006
 7.2001456E+000, 4.3106097E-001, 3.9085629E-006
 7.2501338E+000, 4.3118344E-001, 4.0797133E-006
 7.3000834E+000, 4.3130631E-001, 3.8643430E-006
 7.3501121E+000, 4.3142881E-001, 4.0624555E-006
 7.4001349E+000, 4.3155177E-001, 3.8711375E-006
 7.4500112E+000, 4.3167426E-001, 4.0179526E-006
 7.5000010E+000, 4.3179686E-001, 3.9127303E-006
 7.5500757E+000, 4.3191977E-001, 3.9542792E-006
 7.6000537E+000, 4.3204249E-001, 3.9612419E-006
 7.6500318E+000, 4.3216540E-001, 3.9288901E-006
 7.7000570E+000, 4.3228801E-001, 4.0570202E-006
 7.7501196E+000, 4.3241116E-001, 3.8723516E-006
 7.8000038E+000, 4.3253369E-001, 4.0541255E-006
 7.8501434E+000, 4.3265669E-001, 3.8600273E-006
 7.9000965E+000, 4.3277951E-001, 4.0080148E-006
 7.9501342E+000, 4.3290239E-001, 3.9108012E-006
 8.0001566E+000, 4.3302537E-001, 3.9500199E-006
 8.0501238E+000, 4.3314811E-001, 3.9661806E-006
 8.1001415E+000, 4.3327114E-001, 3.9318088E-006
 8.1500987E+000, 4.3339378E-001, 4.0493138E-006
 8.2001208E+000, 4.3351687E-001, 3.8598543E-006
 8.2500838E+000, 4.3363957E-001, 4.0528820E-006
 8.3001161E+000, 4.3376262E-001, 3.8586850E-006
 8.3500165E+000, 4.3388532E-001, 4.0051662E-006
 8.4001152E+000, 4.3400828E-001, 3.9149980E-006
 8.4501487E+000, 4.3413145E-001, 3.9519133E-006
 8.5001628E+000, 4.3425437E-001, 3.9639852E-006
 8.5501450E+000, 4.3437753E-001, 3.9139312E-006
 8.6001530E+000, 4.3450029E-001, 4.0586808E-006
 8.6501768E+000, 4.3462349E-001, 3.8477364E-006
 8.7001440E+000, 4.3474628E-001, 4.0603410E-006
 8.7501838E+000, 4.3486942E-001, 3.8576596E-006
 8.8000948E+000, 4.3499231E-001, 3.9945677E-006
 8.8500540E+000, 4.3511521E-001, 3.9317064E-006
 8.9001566E+000, 4.3523837E-001, 3.9260496E-006
 8.9500192E+000, 4.3536123E-001, 3.9941608E-006
 9.0000388E+000, 4.3548433E-001, 3.8904627E-006
 9.0501191E+000, 4.3560730E-001, 4.0968044E-006
 9.1001027E+000, 4.3573063E-001, 3.8205858E-006
 9.1500679E+000, 4.3585354E-001, 4.0439423E-006
 9.2001561E+000, 4.3597677E-001, 3.8782216E-006
 9.2500459E+000, 4.3609981E-001, 3.9464547E-006
 9.3000980E+000, 4.3622277E-001, 3.9853017E-006
 9.3500188E+000, 4.3634602E-001, 3.8609336E-006
 9.4000839E+000, 4.3646896E-001, 4.1160952E-006
 9.4501571E+000, 4.3659249E-001, 3.8096243E-006
 9.5001344E+000, 4.3671555E-001, 4.0864878E-006
 9.5501204E+000, 4.3683872E-001, 3.8690315E-006
 9.6000853E+000, 4.3696191E-001, 3.9240092E-006
 9.6500466E+000, 4.3708479E-001, 4.0412832E-006
 9.7000684E+000, 4.3720819E-001, 3.7662898E-006
 9.7500796E+000, 4.3733138E-001, 4.2720970E-006
 9.8001155E+000, 4.3745451E-001, 3.9340817E-006
 9.8501316E+000, 4.3757799E-001, 3.8548620E-006
 9.9002072E+000, 4.3770114E-001, 4.2936757E-006
 9.9501042E+000, 4.3782448E-001, 3.7925367E-006
 1.0000001E+001, 4.3794752E-001, 4.0846274E-006
 1.0050049E+001, 4.3807054E-001, 3.9990731E-006
 1.0100153E+001, 4.3819426E-001, 3.7623034E-006
 1.0150129E+001, 4.3831764E-001, 4.1963223E-006
 1.0200173E+001, 4.3844077E-001, 4.0468401E-006
 1.0250098E+001, 4.3856414E-001, 3.8367949E-006
 1.0300128E+001, 4.3868723E-001, 4.2468474E-006
 1.0350146E+001, 4.3881071E-001, 3.7548180E-006
 1.0400020E+001, 4.3893397E-001, 3.9675564E-006
 1.0450090E+001, 4.3905710E-001, 4.0038179E-006
 1.0500007E+001, 4.3918068E-001, 3.7743036E-006
 1.0550142E+001, 4.3930409E-001, 4.0895064E-006
 1.0600121E+001, 4.3942745E-001, 4.1044651E-006
 1.0650042E+001, 4.3955078E-001, 3.8397883E-006
 1.0700135E+001, 4.3967417E-001, 4.0011394E-006
 1.0750078E+001, 4.3979755E-001, 3.9968169E-006
 1.0800112E+001, 4.3992110E-001, 3.8171204E-006
 1.0850136E+001, 4.4004439E-001, 4.1097282E-006
 1.0900056E+001, 4.4016790E-001, 3.6995908E-006
 1.0950170E+001, 4.4029139E-001, 4.0205794E-006
 1.1000185E+001, 4.4041496E-001, 3.8980049E-006
 1.1050097E+001, 4.4053844E-001, 3.8605690E-006
 1.1100178E+001, 4.4066184E-001, 4.0553794E-006
 1.1150157E+001, 4.4078528E-001, 3.7463381E-006
 1.1200176E+001, 4.4090887E-001, 3.8609685E-006
 1.1250137E+001, 4.4103219E-001, 4.0357717E-006
 1.1300097E+001, 4.4115575E-001, 3.7475690E-006
 1.1350079E+001, 4.4127901E-001, 4.2735230E-006
 1.1400121E+001, 4.4140272E-001, 3.6946434E-006
 1.1450051E+001, 4.4152612E-001, 4.0680337E-006
 1.1500063E+001, 4.4164964E-001, 3.7865572E-006
 1.1550068E+001, 4.4177320E-001, 3.9275007E-006
 1.1600166E+001, 4.4189685E-001, 3.9407297E-006
 1.1650004E+001, 4.4202046E-001, 3.7930120E-006
 1.1700154E+001, 4.4214387E-001, 4.0464874E-006
 1.1750163E+001, 4.4226781E-001, 3.6948489E-006
 1.1800071E+001, 4.4239120E-001, 4.2180884E-006
 1.1850013E+001, 4.4251476E-001, 3.8062187E-006
 1.1900076E+001, 4.4263828E-001, 4.1345916E-006
 1.1950107E+001, 4.4276212E-001, 3.7429112E-006
 1.2000125E+001, 4.4288583E-001, 3.9895951E-006
 1.2050118E+001, 4.4300951E-001, 3.9111401E-006
 1.2100107E+001, 4.4313321E-001, 3.8577422E-006
 1.2150147E+001, 4.4325680E-001, 4.0817442E-006
 1.2200068E+001, 4.4338061E-001, 3.7124667E-006
 1.2250103E+001, 4.4350418E-001, 4.0408582E-006
 1.2300142E+001, 4.4362804E-001, 3.9414721E-006
 1.2350157E+001, 4.4375170E-001, 4.2031731E-006
 1.2400178E+001, 4.4387559E-001, 3.7226186E-006
 1.2450183E+001, 4.4399924E-001, 4.1154532E-006
 1.2500204E+001, 4.4412308E-001, 3.6571415E-006
 1.2550084E+001, 4.4424682E-001, 3.9269028E-006
 1.2600121E+001, 4.4437049E-001, 4.0540785E-006
 1.2650159E+001, 4.4449428E-001, 3.9978342E-006
 1.2700148E+001, 4.4461815E-001, 4.0085003E-006
 1.2750077E+001, 4.4474181E-001, 4.0650004E-006
 1.2800003E+001, 4.4486538E-001, 3.7844822E-006
 1.2850191E+001, 4.4498945E-001, 3.8115756E-006
 1.2900124E+001, 4.4511344E-001, 3.9954266E-006
 1.2950057E+001, 4.4523710E-001, 4.0324674E-006
 1.3000067E+001, 4.4536087E-001, 4.1413923E-006
 1.3050151E+001, 4.4548492E-001, 3.8246534E-006
 1.3100118E+001, 4.4560873E-001, 4.0319982E-006
 1.3150077E+001, 4.4573265E-001, 3.6035558E-006
 1.3200112E+001, 4.4585655E-001, 4.0619852E-006
 1.3250131E+001, 4.4598051E-001, 3.9488042E-006
 1.3300110E+001, 4.4610441E-001, 4.0095881E-006
 1.3350054E+001, 4.4622819E-001, 3.8489885E-006
 1.3400119E+001, 4.4635207E-001, 4.0221786E-006
 1.3450180E+001, 4.4647624E-001, 3.7432633E-006
 1.3500183E+001, 4.4660018E-001, 3.9914450E-006
 1.3550153E+001, 4.4672428E-001, 3.5953609E-006
 1.3600095E+001, 4.4684815E-001, 4.1204012E-006
 1.3650157E+001, 4.4697212E-001, 3.9468577E-006
 1.3700129E+001, 4.4709614E-001, 4.0233598E-006
 1.3750124E+001, 4.4722009E-001, 3.8403786E-006
 1.3800044E+001, 4.4734392E-001, 4.0912038E-006
 1.3850043E+001, 4.4746795E-001, 3.6782956E-006
 1.3900112E+001, 4.4759197E-001, 4.0439635E-006
 1.3950200E+001, 4.4771633E-001, 3.6679445E-006
 1.4000126E+001, 4.4784032E-001, 4.1594156E-006
 1.4050077E+001, 4.4796432E-001, 3.7276247E-006
 1.4100028E+001, 4.4808822E-001, 4.0263439E-006
 1.4150033E+001, 4.4821227E-001, 3.8013032E-006
 1.4200132E+001, 4.4833652E-001, 3.8715275E-006
 1.4250087E+001, 4.4846069E-001, 3.9918991E-006
 1.4300005E+001, 4.4858464E-001, 3.8497005E-006
 1.4350099E+001, 4.4870877E-001, 4.0827305E-006
 1.4400094E+001, 4.4883301E-001, 3.8479692E-006
 1.4450079E+001, 4.4895715E-001, 3.9939209E-006
 1.4500120E+001, 4.4908135E-001, 3.8372658E-006
 1.4550176E+001, 4.4920558E-001, 3.9667208E-006
 1.4600030E+001, 4.4932971E-001, 3.7313504E-006
 1.4650082E+001, 4.4945373E-001, 4.0018131E-006
 1.4700134E+001, 4.4957812E-001, 3.7279289E-006
 1.4750186E+001, 4.4970243E-001, 4.0794818E-006
 1.4800032E+001, 4.4982655E-001, 3.8072826E-006
 1.4850085E+001, 4.4995064E-001, 4.0554871E-006
 1.4900186E+001, 4.5007505E-001, 3.8182667E-006
 1.4950010E+001, 4.5019924E-001, 4.0455235E-006
 1.5000189E+001, 4.5032346E-001, 3.8828958E-006
 1.5050104E+001, 4.5044790E-001, 3.9198889E-006
 1.5100020E+001, 4.5057193E-001, 4.0029491E-006
 1.5150138E+001, 4.5069627E-001, 3.8128638E-006
 1.5200053E+001, 4.5082057E-001, 4.0783551E-006
 1.5250171E+001, 4.5094494E-001, 3.7540817E-006
 1.5300086E+001, 4.5106931E-001, 4.0718376E-006
 1.5350002E+001, 4.5119342E-001, 3.8007293E-006
 1.5400120E+001, 4.5131782E-001, 4.0635628E-006
 1.5450035E+001, 4.5144218E-001, 3.8214201E-006
 1.5500153E+001, 4.5156662E-001, 4.0155419E-006
 1.5550068E+001, 4.5169099E-001, 3.9855909E-006
 1.5600187E+001, 4.5181543E-001, 3.8815797E-006
 1.5650102E+001, 4.5193987E-001, 3.9887479E-006
 1.5700017E+001, 4.5206406E-001, 3.8578393E-006
 1.5750135E+001, 4.5218854E-001, 3.9963470E-006
 1.5800051E+001, 4.5231300E-001, 3.9800471E-006
 1.5850169E+001, 4.5243747E-001, 4.0728555E-006
 1.5900084E+001, 4.5256193E-001, 3.8397074E-006
 1.5950202E+001, 4.5268646E-001, 3.9617808E-006
 1.6000117E+001, 4.5281093E-001, 4.0589102E-006
 1.6050033E+001, 4.5293519E-001, 3.9556229E-006
 1.6100151E+001, 4.5305969E-001, 3.8260057E-006
 1.6150066E+001, 4.5318426E-001, 4.0348900E-006
 1.6200184E+001, 4.5330877E-001, 4.0548412E-006
 1.6250099E+001, 4.5343333E-001, 3.9485694E-006
