s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_PRODUCTS 3,MLR_PRODUCTS 4,MLR_PRODUCTS 5,MLR_PROPANE,MLR_PRODUCTS 6,MLR_WATER VAPOR,MLR_Gas1,MLR_Gas2,MLR_Gas3,MLR_Gas4,MLR_Gas5
 0.000E+00, 0.000E+00, 0.000E+00,-1.755E-03,-1.448E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.755E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 5.507E+00, 0.000E+00,-1.594E+00,-7.654E-01,-4.136E-01, 1.675E-02, 0.000E+00, 0.000E+00, 2.749E+00, 2.751E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.219E-04, 0.000E+00, 8.943E-06, 9.297E-11, 5.798E-17, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 1.662E+01, 0.000E+00,-4.799E+00,-8.841E+00,-1.364E+00, 1.521E-01, 0.000E+00, 0.000E+00, 1.783E+00, 1.764E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.656E-04, 0.000E+00, 1.227E-04, 9.817E-07, 1.493E-08, 1.563E-12, 2.000E-16, 1.089E-20
 3.000E+01, 3.014E+01, 0.000E+00,-8.729E+00,-1.761E+01,-2.327E+00, 4.454E-01, 0.000E+00, 0.000E+00, 1.962E+00, 1.918E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.389E-04, 0.000E+00, 3.116E-04, 3.763E-05, 3.795E-05, 2.065E-05, 2.603E-08, 6.879E-12
 4.000E+01, 5.051E+01, 0.000E+00,-1.498E+01,-3.058E+01,-3.331E+00, 9.190E-01, 0.000E+00, 0.000E+00, 2.604E+00, 2.538E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.418E-04, 0.000E+00, 5.826E-04, 9.612E-05, 2.825E-04, 2.063E-04, 8.743E-07, 6.549E-10
 5.000E+01, 6.845E+01, 0.000E+00,-2.063E+01,-4.457E+01,-3.954E+00, 1.334E+00, 0.000E+00, 0.000E+00, 7.319E-01, 6.345E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.143E-03, 0.000E+00, 8.964E-04, 1.554E-04, 5.910E-04, 4.447E-04, 3.899E-06, 5.402E-09
 6.000E+01, 8.070E+01, 0.000E+00,-2.464E+01,-5.168E+01,-4.323E+00, 1.654E+00, 0.000E+00, 0.000E+00, 1.853E+00, 1.718E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.241E-03, 0.000E+00, 1.128E-03, 2.136E-04, 8.664E-04, 6.507E-04, 9.090E-06, 1.938E-08
 7.000E+01, 9.255E+01, 0.000E+00,-2.845E+01,-6.172E+01,-4.692E+00, 1.993E+00, 0.000E+00, 0.000E+00,-1.508E-01,-3.231E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.314E-03, 0.000E+00, 1.341E-03, 2.798E-04, 1.182E-03, 8.931E-04, 1.645E-05, 4.751E-08
 8.000E+01, 1.054E+02, 0.000E+00,-3.275E+01,-6.888E+01,-5.138E+00, 2.373E+00, 0.000E+00, 0.000E+00, 1.247E+00, 1.029E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.360E-03, 0.000E+00, 1.528E-03, 3.516E-04, 1.554E-03, 1.179E-03, 2.662E-05, 9.621E-08
