s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_MMA
 0.000E+00, 0.000E+00, 0.000E+00,-1.051E-03, 4.206E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.051E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.011E+00, 1.156E+00, 0.000E+00,-3.471E-01, 1.564E-02,-3.554E-02, 2.675E-04, 0.000E+00, 0.000E+00, 7.835E-01, 7.888E-01, 0.000E+00, 2.468E-05, 0.000E+00, 0.000E+00, 1.328E-13
 4.003E+00, 3.289E+00, 0.000E+00,-9.549E-01, 3.976E-02,-1.666E-01, 2.960E-03, 0.000E+00, 0.000E+00, 2.202E+00, 2.210E+00, 0.000E+00, 7.340E-05, 0.000E+00, 0.000E+00, 1.351E-13
 6.001E+00, 5.501E+00, 0.000E+00,-1.600E+00,-1.446E-01,-4.051E-01, 1.035E-02, 0.000E+00, 0.000E+00, 3.356E+00, 3.362E+00, 0.000E+00, 1.220E-04, 0.000E+00, 0.000E+00, 1.465E-13
 8.004E+00, 7.720E+00, 0.000E+00,-2.250E+00,-4.448E-01,-6.521E-01, 2.313E-02, 0.000E+00, 0.000E+00, 4.387E+00, 4.396E+00, 0.000E+00, 1.707E-04, 0.000E+00, 0.000E+00, 5.458E-13
 1.000E+01, 9.950E+00, 0.000E+00,-2.907E+00,-3.413E+00,-8.534E-01, 4.118E-02, 0.000E+00, 0.000E+00, 2.819E+00, 2.819E+00, 0.000E+00, 2.194E-04, 0.000E+00, 0.000E+00, 2.293E-11
 1.200E+01, 1.216E+01, 0.000E+00,-3.520E+00,-5.667E+00,-1.079E+00, 6.376E-02, 0.000E+00, 0.000E+00, 1.963E+00, 1.957E+00, 0.000E+00, 2.681E-04, 0.000E+00, 0.000E+00, 8.324E-10
 1.400E+01, 1.438E+01, 0.000E+00,-4.208E+00,-7.393E+00,-1.284E+00, 9.070E-02, 0.000E+00, 0.000E+00, 1.597E+00, 1.585E+00, 0.000E+00, 3.169E-04, 0.000E+00, 0.000E+00, 2.049E-08
 1.600E+01, 1.660E+01, 0.000E+00,-4.826E+00,-8.571E+00,-1.536E+00, 1.184E-01, 0.000E+00, 0.000E+00, 1.790E+00, 1.782E+00, 0.000E+00, 3.656E-04, 0.000E+00, 0.000E+00, 5.319E-07
 1.800E+01, 1.894E+01, 0.000E+00,-5.499E+00,-1.040E+01,-1.738E+00, 1.514E-01, 0.000E+00, 0.000E+00, 1.451E+00, 1.450E+00, 0.000E+00, 4.143E-04, 0.000E+00, 0.000E+00, 5.656E-06
 2.000E+01, 2.157E+01, 0.000E+00,-6.273E+00,-1.072E+01,-2.114E+00, 1.859E-01, 0.000E+00, 0.000E+00, 2.686E+00, 2.649E+00, 0.000E+00, 4.630E-04, 0.000E+00, 0.000E+00, 2.277E-05
