s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_PRODUCTS 3,MLR_PRODUCTS 4,MLR_PRODUCTS 5,MLR_PROPANE,MLR_PRODUCTS 6,MLR_WATER VAPOR,MLR_Gas1,MLR_Gas2,MLR_Gas3,MLR_Gas4,MLR_Gas5
 1.400E+02, 3.960E+02, 0.000E+00,-1.279E+02,-2.595E+02,-2.188E+01, 1.169E+01, 0.000E+00, 0.000E+00, 4.489E-01,-1.567E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.908E-03, 2.037E-03, 1.184E-02, 9.252E-03, 4.440E-04, 3.423E-06
 1.500E+02, 4.229E+02, 0.000E+00,-1.355E+02,-2.801E+02,-2.187E+01, 1.263E+01, 0.000E+00, 0.000E+00,-7.812E-03,-1.974E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.735E-03, 2.139E-03, 1.284E-02, 1.000E-02, 5.297E-04, 4.553E-06
 1.600E+02, 4.170E+02, 0.000E+00,-1.330E+02,-2.782E+02,-2.090E+01, 1.280E+01, 0.000E+00, 0.000E+00,-4.178E-01,-2.335E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.543E-03, 2.012E-03, 1.262E-02, 9.795E-03, 6.146E-04, 5.890E-06
 1.700E+02, 4.120E+02, 0.000E+00,-1.310E+02,-2.751E+02,-2.050E+01, 1.285E+01, 0.000E+00, 0.000E+00, 1.195E-01,-1.741E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.349E-03, 1.915E-03, 1.237E-02, 9.657E-03, 6.963E-04, 7.421E-06
 1.800E+02, 4.236E+02, 0.000E+00,-1.338E+02,-2.835E+02,-2.070E+01, 1.321E+01, 0.000E+00, 0.000E+00, 6.259E-01,-1.235E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.195E-03, 1.903E-03, 1.271E-02, 1.004E-02, 7.765E-04, 9.124E-06
 1.900E+02, 4.254E+02, 0.000E+00,-1.340E+02,-2.843E+02,-2.083E+01, 1.339E+01, 0.000E+00, 0.000E+00, 1.486E+00,-3.745E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.084E-03, 1.882E-03, 1.274E-02, 1.004E-02, 8.571E-04, 1.102E-05
 2.000E+02, 4.058E+02, 0.000E+00,-1.271E+02,-2.769E+02,-1.940E+01, 1.303E+01, 0.000E+00, 0.000E+00,-2.882E+00,-4.587E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.990E-03, 1.813E-03, 1.207E-02, 9.329E-03, 9.212E-04, 1.306E-05
 2.100E+02, 3.663E+02, 0.000E+00,-1.142E+02,-2.488E+02,-1.767E+01, 1.200E+01, 0.000E+00, 0.000E+00,-6.414E-01,-2.411E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.892E-03, 1.660E-03, 1.067E-02, 7.981E-03, 9.631E-04, 1.519E-05
 2.200E+02, 3.322E+02, 0.000E+00,-1.034E+02,-2.268E+02,-1.651E+01, 1.101E+01, 0.000E+00, 0.000E+00,-1.908E+00,-3.493E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.779E-03, 1.490E-03, 9.435E-03, 6.964E-03, 9.913E-04, 1.740E-05
 2.300E+02, 3.140E+02, 0.000E+00,-9.747E+01,-2.122E+02,-1.572E+01, 1.049E+01, 0.000E+00, 0.000E+00, 6.490E-01,-8.889E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 2.659E-03, 1.373E-03, 8.726E-03, 6.454E-03, 1.013E-03, 1.963E-05
