s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00,-1.357E-03, 2.505E-10, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.357E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.004E+00, 1.073E+00,-3.362E-01, 1.178E-02,-1.093E-01, 1.019E-03, 0.000E+00, 0.000E+00, 6.361E-01, 6.398E-01, 0.000E+00, 2.450E-05, 0.000E+00
 4.002E+00, 3.309E+00,-1.130E+00, 4.110E-02,-4.507E-01, 1.265E-02, 0.000E+00, 0.000E+00, 1.779E+00, 1.782E+00, 0.000E+00, 7.323E-05, 0.000E+00
 6.001E+00, 5.509E+00,-1.880E+00,-1.327E-01,-8.713E-01, 3.900E-02, 0.000E+00, 0.000E+00, 2.661E+00, 2.664E+00, 0.000E+00, 1.219E-04, 0.000E+00
 8.001E+00, 7.704E+00,-2.632E+00,-6.304E-01,-1.223E+00, 7.165E-02, 0.000E+00, 0.000E+00, 3.289E+00, 3.291E+00, 0.000E+00, 1.707E-04, 0.000E+00
 1.000E+01, 9.908E+00,-3.390E+00,-2.584E+00,-1.465E+00, 1.079E-01, 0.000E+00, 0.000E+00, 2.579E+00, 2.578E+00, 0.000E+00, 2.194E-04, 0.000E+00
 1.200E+01, 1.210E+01,-4.138E+00,-4.655E+00,-1.643E+00, 1.451E-01, 0.000E+00, 0.000E+00, 1.804E+00, 1.805E+00, 0.000E+00, 2.681E-04, 0.000E+00
 1.400E+01, 1.432E+01,-4.895E+00,-5.675E+00,-1.890E+00, 1.817E-01, 0.000E+00, 0.000E+00, 2.047E+00, 2.038E+00, 0.000E+00, 3.169E-04, 0.000E+00
 1.600E+01, 1.652E+01,-5.648E+00,-7.456E+00,-1.820E+00, 2.172E-01, 0.000E+00, 0.000E+00, 1.832E+00, 1.814E+00, 0.000E+00, 3.656E-04, 0.000E+00
 1.800E+01, 1.873E+01,-6.403E+00,-8.392E+00,-1.914E+00, 2.532E-01, 0.000E+00, 0.000E+00, 2.312E+00, 2.272E+00, 0.000E+00, 4.143E-04, 0.000E+00
 2.000E+01, 2.090E+01,-7.151E+00,-1.072E+01,-2.013E+00, 2.847E-01, 0.000E+00, 0.000E+00, 1.334E+00, 1.301E+00, 0.000E+00, 4.631E-04, 0.000E+00
 2.200E+01, 2.335E+01,-7.998E+00,-1.220E+01,-2.193E+00, 3.165E-01, 0.000E+00, 0.000E+00, 1.312E+00, 1.278E+00, 0.000E+00, 5.177E-04, 0.000E+00
 2.400E+01, 2.612E+01,-8.933E+00,-1.328E+01,-2.465E+00, 3.503E-01, 0.000E+00, 0.000E+00, 1.842E+00, 1.791E+00, 0.000E+00, 5.783E-04, 0.000E+00
 2.600E+01, 2.880E+01,-9.876E+00,-1.548E+01,-2.488E+00, 3.764E-01, 0.000E+00, 0.000E+00, 1.394E+00, 1.331E+00, 0.000E+00, 6.389E-04, 0.000E+00
 2.800E+01, 3.159E+01,-1.081E+01,-1.733E+01,-2.439E+00, 3.985E-01, 0.000E+00, 0.000E+00, 1.475E+00, 1.408E+00, 0.000E+00, 6.995E-04, 0.000E+00
 3.000E+01, 3.439E+01,-1.182E+01,-1.987E+01,-2.798E+00, 4.295E-01, 0.000E+00, 0.000E+00, 4.086E-01, 3.264E-01, 0.000E+00, 7.601E-04, 0.000E+00
 3.200E+01, 3.695E+01,-1.266E+01,-1.891E+01,-2.903E+00, 4.530E-01, 0.000E+00, 0.000E+00, 3.013E+00, 2.929E+00, 0.000E+00, 8.207E-04, 0.000E+00
 3.400E+01, 4.004E+01,-1.370E+01,-2.230E+01,-3.316E+00, 4.741E-01, 0.000E+00, 0.000E+00, 1.302E+00, 1.201E+00, 0.000E+00, 8.813E-04, 0.000E+00
 3.600E+01, 4.213E+01,-1.444E+01,-2.484E+01,-3.447E+00, 4.831E-01, 0.000E+00, 0.000E+00, 2.883E-02,-1.108E-01, 0.000E+00, 9.419E-04, 0.000E+00
 3.800E+01, 4.556E+01,-1.562E+01,-2.595E+01,-3.174E+00, 4.955E-01, 0.000E+00, 0.000E+00, 1.445E+00, 1.311E+00, 0.000E+00, 1.002E-03, 0.000E+00
 4.000E+01, 4.819E+01,-1.656E+01,-2.688E+01,-3.807E+00, 5.313E-01, 0.000E+00, 0.000E+00, 1.614E+00, 1.472E+00, 0.000E+00, 1.063E-03, 0.000E+00
 4.200E+01, 5.028E+01,-1.714E+01,-2.736E+01,-3.792E+00, 5.473E-01, 0.000E+00, 0.000E+00, 2.623E+00, 2.529E+00, 0.000E+00, 1.103E-03, 0.000E+00
 4.400E+01, 5.092E+01,-1.739E+01,-3.172E+01,-3.619E+00, 5.526E-01, 0.000E+00, 0.000E+00,-1.186E+00,-1.251E+00, 0.000E+00, 1.123E-03, 0.000E+00
 4.600E+01, 5.140E+01,-1.758E+01,-3.072E+01,-3.404E+00, 5.406E-01, 0.000E+00, 0.000E+00, 4.193E-01, 2.327E-01, 0.000E+00, 1.143E-03, 0.000E+00
 4.800E+01, 5.310E+01,-1.816E+01,-3.118E+01,-3.342E+00, 5.369E-01, 0.000E+00, 0.000E+00, 1.129E+00, 9.519E-01, 0.000E+00, 1.163E-03, 0.000E+00
 5.000E+01, 5.411E+01,-1.848E+01,-3.116E+01,-3.544E+00, 5.677E-01, 0.000E+00, 0.000E+00, 1.629E+00, 1.501E+00, 0.000E+00, 1.182E-03, 0.000E+00
 5.200E+01, 5.473E+01,-1.863E+01,-3.420E+01,-4.033E+00, 5.804E-01, 0.000E+00, 0.000E+00,-1.424E+00,-1.546E+00, 0.000E+00, 1.202E-03, 0.000E+00
 5.400E+01, 5.534E+01,-1.879E+01,-3.382E+01,-3.775E+00, 5.958E-01, 0.000E+00, 0.000E+00,-3.002E-01,-4.506E-01, 0.000E+00, 1.222E-03, 0.000E+00
 5.600E+01, 5.569E+01,-1.904E+01,-3.187E+01,-3.081E+00, 5.699E-01, 0.000E+00, 0.000E+00, 2.439E+00, 2.269E+00, 0.000E+00, 1.242E-03, 0.000E+00
 5.800E+01, 5.769E+01,-1.975E+01,-3.682E+01,-3.160E+00, 5.644E-01, 0.000E+00, 0.000E+00,-1.282E+00,-1.466E+00, 0.000E+00, 1.261E-03, 0.000E+00
 6.000E+01, 5.881E+01,-2.005E+01,-3.468E+01,-3.625E+00, 5.940E-01, 0.000E+00, 0.000E+00, 1.213E+00, 1.041E+00, 0.000E+00, 1.281E-03, 0.000E+00
