s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PRODUCTS 2,MLR_PRODUCTS 3,MLR_PRODUCTS 4,MLR_PRODUCTS 5,MLR_PROPANE,MLR_PRODUCTS 6,MLR_WATER VAPOR,MLR_Gas1,MLR_Gas2,MLR_Gas3,MLR_Gas4,MLR_Gas5
 0.000E+00, 0.000E+00, 0.000E+00,-9.913E-04, 2.542E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-9.913E-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.001E+01, 5.500E+00, 0.000E+00,-1.598E+00,-8.407E-01,-3.276E-01, 1.180E-02, 0.000E+00, 0.000E+00, 2.735E+00, 2.745E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.221E-04, 0.000E+00, 8.043E-06, 3.903E-11, 9.735E-19, 0.000E+00, 0.000E+00, 0.000E+00
 2.001E+01, 1.658E+01, 0.000E+00,-4.796E+00,-9.151E+00,-1.057E+00, 1.005E-01, 0.000E+00, 0.000E+00, 1.721E+00, 1.680E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.658E-04, 0.000E+00, 7.838E-05, 9.523E-08, 1.618E-10, 1.538E-16, 1.035E-20, 0.000E+00
 3.001E+01, 2.945E+01, 0.000E+00,-8.526E+00,-1.783E+01,-1.808E+00, 2.839E-01, 0.000E+00, 0.000E+00, 1.739E+00, 1.563E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 6.391E-04, 0.000E+00, 2.644E-04, 2.055E-05, 1.290E-05, 4.892E-06, 3.516E-09, 5.634E-13
 4.000E+01, 4.818E+01, 0.000E+00,-1.412E+01,-3.066E+01,-2.724E+00, 5.469E-01, 0.000E+00, 0.000E+00, 1.823E+00, 1.222E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 9.419E-04, 0.000E+00, 4.992E-04, 7.581E-05, 1.938E-04, 1.405E-04, 4.836E-07, 2.980E-10
 5.000E+01, 6.498E+01, 0.000E+00,-1.934E+01,-4.252E+01,-3.141E+00, 7.540E-01, 0.000E+00, 0.000E+00, 1.912E+00, 7.411E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.143E-03, 0.000E+00, 7.590E-04, 1.243E-04, 4.589E-04, 3.394E-04, 2.778E-06, 3.489E-09
 6.000E+01, 7.465E+01, 0.000E+00,-2.250E+01,-5.062E+01,-3.452E+00, 8.667E-01, 0.000E+00, 0.000E+00, 5.325E-01,-1.051E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.241E-03, 0.000E+00, 9.502E-04, 1.623E-04, 6.565E-04, 4.982E-04, 6.704E-06, 1.365E-08
 7.000E+01, 8.470E+01, 0.000E+00,-2.574E+01,-5.765E+01,-3.550E+00, 9.749E-01, 0.000E+00, 0.000E+00, 7.294E-01,-1.276E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.314E-03, 0.000E+00, 1.118E-03, 2.100E-04, 8.871E-04, 6.655E-04, 1.242E-05, 3.494E-08
 8.000E+01, 9.151E+01, 0.000E+00,-2.794E+01,-6.341E+01,-3.481E+00, 1.033E+00, 0.000E+00, 0.000E+00, 3.677E-02,-2.283E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.360E-03, 0.000E+00, 1.248E-03, 2.482E-04, 1.072E-03, 7.944E-04, 1.952E-05, 7.110E-08
 9.000E+01, 9.838E+01, 0.000E+00,-3.016E+01,-6.777E+01,-3.685E+00, 1.092E+00, 0.000E+00, 0.000E+00, 5.777E-01,-2.137E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.323E-03, 2.830E-04, 1.257E-03, 9.584E-04, 2.772E-05, 1.248E-07
 1.000E+02, 1.031E+02, 0.000E+00,-3.191E+01,-7.123E+01,-3.846E+00, 1.102E+00, 0.000E+00, 0.000E+00, 1.959E-01,-2.800E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.415E-03, 3.247E-04, 1.431E-03, 1.058E-03, 3.698E-05, 1.990E-07
 1.100E+02, 1.090E+02, 0.000E+00,-3.385E+01,-7.484E+01,-3.862E+00, 1.150E+00, 0.000E+00, 0.000E+00, 1.039E+00,-2.374E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.468E-03, 3.570E-04, 1.645E-03, 1.235E-03, 4.781E-05, 2.974E-07
 1.200E+02, 1.157E+02, 0.000E+00,-3.607E+01,-8.087E+01,-3.941E+00, 1.182E+00, 0.000E+00, 0.000E+00,-2.067E-01,-4.036E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.533E-03, 4.021E-04, 1.878E-03, 1.405E-03, 5.995E-05, 4.228E-07
 1.300E+02, 1.215E+02, 0.000E+00,-3.813E+01,-8.472E+01,-4.118E+00, 1.213E+00, 0.000E+00, 0.000E+00,-1.241E-02,-4.233E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.592E-03, 4.395E-04, 2.093E-03, 1.571E-03, 7.324E-05, 5.782E-07
 1.400E+02, 1.294E+02, 0.000E+00,-4.091E+01,-8.963E+01,-4.295E+00, 1.246E+00, 0.000E+00, 0.000E+00, 6.076E-01,-4.181E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.383E-03, 0.000E+00, 1.657E-03, 4.867E-04, 2.362E-03, 1.788E-03, 8.812E-05, 7.671E-07
