s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PBT,MLR_PRODUCTS,MLR_PROPANE,MLR_PRODUCTS 2
 2.300E+02, 2.531E+02, 0.000E+00,-8.455E+01,-1.591E+02,-8.550E+00, 1.046E-01, 0.000E+00, 0.000E+00, 1.515E+00, 1.001E+00, 0.000E+00, 7.686E-03, 0.000E+00, 1.383E-03, 0.000E+00
 2.400E+02, 2.859E+02, 0.000E+00,-9.592E+01,-1.808E+02,-8.970E+00,-6.709E-02, 0.000E+00, 0.000E+00, 7.694E-01, 1.469E-01, 0.000E+00, 9.001E-03, 0.000E+00, 1.383E-03, 0.000E+00
 2.500E+02, 3.185E+02, 0.000E+00,-1.070E+02,-2.013E+02,-9.258E+00,-2.759E-01, 0.000E+00, 0.000E+00, 1.114E+00, 6.600E-01, 0.000E+00, 1.034E-02, 0.000E+00, 1.383E-03, 0.000E+00
 2.600E+02, 3.721E+02, 0.000E+00,-1.254E+02,-2.334E+02,-1.044E+01,-5.670E-01, 0.000E+00, 0.000E+00, 2.986E+00, 2.241E+00, 0.000E+00, 1.242E-02, 0.000E+00, 1.383E-03, 0.000E+00
 2.700E+02, 4.271E+02, 0.000E+00,-1.442E+02,-2.711E+02,-1.158E+01,-1.003E+00, 0.000E+00, 0.000E+00,-2.717E-02,-8.263E-01, 0.000E+00, 1.468E-02, 0.000E+00, 1.383E-03, 0.000E+00
 2.800E+02, 4.734E+02, 0.000E+00,-1.592E+02,-2.999E+02,-1.221E+01,-1.429E+00, 0.000E+00, 0.000E+00, 1.369E+00, 5.703E-01, 0.000E+00, 1.645E-02, 0.000E+00, 1.383E-03, 0.000E+00
 2.900E+02, 5.463E+02, 0.000E+00,-1.841E+02,-3.450E+02,-1.338E+01,-2.057E+00, 0.000E+00, 0.000E+00, 2.633E+00, 1.823E+00, 0.000E+00, 1.949E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.000E+02, 6.543E+02, 0.000E+00,-2.198E+02,-4.157E+02,-1.526E+01,-2.995E+00, 0.000E+00, 0.000E+00, 1.547E+00, 5.455E-01, 0.000E+00, 2.382E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.100E+02, 8.206E+02, 0.000E+00,-2.752E+02,-5.192E+02,-1.714E+01,-4.323E+00, 0.000E+00, 0.000E+00, 5.469E+00, 4.721E+00, 0.000E+00, 3.064E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.200E+02, 1.054E+03, 0.000E+00,-3.523E+02,-6.746E+02,-1.901E+01,-6.247E+00, 0.000E+00, 0.000E+00, 2.436E+00, 2.335E+00, 0.000E+00, 4.054E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.300E+02, 1.288E+03, 0.000E+00,-4.303E+02,-8.255E+02,-2.107E+01,-7.953E+00, 0.000E+00, 0.000E+00, 2.624E+00, 2.809E+00, 0.000E+00, 5.026E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.400E+02, 1.507E+03, 0.000E+00,-5.030E+02,-9.705E+02,-2.272E+01,-9.439E+00, 0.000E+00, 0.000E+00, 3.895E-01, 1.371E+00, 0.000E+00, 6.009E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.500E+02, 1.721E+03, 0.000E+00,-5.749E+02,-1.104E+03,-2.445E+01,-1.075E+01, 0.000E+00, 0.000E+00, 4.598E+00, 7.063E+00, 0.000E+00, 7.001E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.600E+02, 1.895E+03, 0.000E+00,-6.347E+02,-1.214E+03,-2.662E+01,-1.193E+01, 0.000E+00, 0.000E+00, 3.734E+00, 7.011E+00, 0.000E+00, 7.960E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.700E+02, 2.087E+03, 0.000E+00,-6.996E+02,-1.342E+03,-2.688E+01,-1.284E+01, 0.000E+00, 0.000E+00, 2.055E+00, 5.350E+00, 0.000E+00, 8.906E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.800E+02, 2.276E+03, 0.000E+00,-7.638E+02,-1.460E+03,-2.868E+01,-1.362E+01, 0.000E+00, 0.000E+00, 5.650E+00, 1.043E+01, 0.000E+00, 9.970E-02, 0.000E+00, 1.383E-03, 0.000E+00
 3.900E+02, 2.422E+03, 0.000E+00,-8.147E+02,-1.558E+03,-2.973E+01,-1.431E+01, 0.000E+00, 0.000E+00,-9.558E-01, 4.850E+00, 0.000E+00, 1.097E-01, 0.000E+00, 1.383E-03, 0.000E+00
 4.000E+02, 2.606E+03, 0.000E+00,-8.773E+02,-1.674E+03,-3.060E+01,-1.500E+01, 0.000E+00, 0.000E+00, 4.437E+00, 1.005E+01, 0.000E+00, 1.229E-01, 0.000E+00, 1.383E-03, 0.000E+00
