s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,Flux-1,Flux-2,Flux-3,Flux-4,Flux-5,Flux-6,Flux-7,Flux-8,Flux-9,Flux-10,Flux-11,Flux-12,Flux-13,Flux-14,Flux-15,Flux-16,Flux-17,Flux-18,Flux-19,Flux-20,Flux-21,Flux-22,Flux-23,Flux-24,Flux-25,Flux-26,Flux-27,Flux-28,Flux-29,Flux-30,Flux-31,Flux-32,Flux-33,Flux-34,Flux-35,Flux-36,Flux-37,Flux-38,Flux-39,Flux-40,Flux-41,Flux-42,Flux-43,Flux-44,Flux-45,Flux-46,Flux-47,Flux-48,Flux-49,Flux-50,Temp-1,Temp-2,Temp-3,Temp-4,Temp-5,Temp-6,Temp-7,Temp-8,Temp-9,Temp-10,Temp-11,Temp-12,Temp-13,Temp-14,Temp-15,Temp-16,Temp-17,Temp-18,Temp-19,Temp-20,Temp-21,Temp-22,Temp-23,Temp-24,Temp-25,Temp-26,Temp-27,Temp-28,Temp-29,Temp-30,Temp-31,Temp-32,Temp-33,Temp-34,Temp-35,Temp-36,Temp-37,Temp-38,Temp-39,Temp-40,Temp-41,Temp-42,Temp-43,Temp-44,Temp-45,Temp-46,Temp-47,Temp-48,Temp-49,Temp-50,HF_y-25z20,HF_y-15z20,HF_y0z20,HF_y15z20,HF_y25z20,HF_y-25z50,HF_y-15z50,HF_y0z50,HF_y15z50,HF_y25z50,HF_y-25z75,HF_y-15z75,HF_y0z75,HF_y15z75,HF_y25z75,HF_y-25z100,HF_y-15z100,HF_y0z100,HF_y15z100,HF_y25z100
 0.000E+00,-3.501E-03,-4.237E-03,-7.533E-03,-7.763E-03,-7.916E-03,-7.723E-03,-7.264E-03,-6.956E-03,-6.463E-03,-6.022E-03,-6.359E-03,-6.634E-03,-6.984E-03,-6.966E-03,-6.749E-03,-6.564E-03,-6.198E-03,-5.813E-03,-5.493E-03,-6.581E-03,-6.873E-03,-6.927E-03,-6.798E-03,-6.533E-03,-6.316E-03,-5.788E-03,-5.470E-03,-6.581E-03,-6.873E-03,-6.927E-03,-6.798E-03,-6.533E-03,-6.316E-03,-5.991E-03,-5.470E-03,-6.404E-03,-6.855E-03,-6.930E-03,-6.763E-03,-6.582E-03,-6.258E-03,-5.924E-03,-5.382E-03,-5.908E-03,-6.152E-03,-6.064E-03,-5.662E-03,-5.256E-03,-4.107E-03,-3.341E-03, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.013E+00, 1.263E+00, 5.590E-01, 1.644E-01, 1.116E-01, 7.243E-02, 5.528E-02, 3.721E-02, 2.916E-02, 2.099E-02, 1.710E-02, 6.970E-03, 5.739E-03, 4.319E-03, 3.598E-03, 2.794E-03, 2.404E-03, 1.968E-03, 1.736E-03, 1.545E-03, 4.587E-04, 4.326E-04, 3.760E-04, 3.316E-04, 2.599E-04, 2.069E-04, 1.074E-04, 3.947E-05,-2.275E-04,-2.116E-04,-2.118E-04,-2.212E-04,-2.421E-04,-2.620E-04,-2.922E-04,-3.465E-04,-3.437E-04,-2.954E-04,-2.768E-04,-2.624E-04,-2.562E-04,-2.528E-04,-2.608E-04,-2.788E-04,-2.955E-04,-2.313E-04,-1.992E-04,-1.596E-04,-1.350E-04,-1.015E-04,-8.372E-05, 2.321E+01, 2.120E+01, 2.032E+01, 2.022E+01, 2.014E+01, 2.011E+01, 2.007E+01, 2.006E+01, 2.004E+01, 2.003E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 4.006E+00, 4.096E+00, 3.119E+00, 1.551E+00, 1.099E+00, 7.106E-01, 5.472E-01, 3.907E-01, 3.197E-01, 2.454E-01, 2.089E-01, 1.554E-01, 1.315E-01, 1.016E-01, 8.600E-02, 6.846E-02, 5.835E-02, 4.431E-02, 3.597E-02, 2.812E-02, 1.954E-02, 1.779E-02, 1.561E-02, 1.434E-02, 1.261E-02, 1.156E-02, 1.010E-02, 9.196E-03, 7.163E-03, 6.488E-03, 5.557E-03, 4.987E-03, 4.210E-03, 3.740E-03, 3.307E-03, 2.726E-03, 2.098E-03, 1.707E-03, 1.479E-03, 1.184E-03, 1.016E-03, 8.012E-04, 6.800E-04, 5.275E-04, 3.848E-04, 2.956E-04, 2.469E-04, 1.873E-04, 1.551E-04, 1.156E-04, 9.464E-05, 3.546E+01, 3.095E+01, 2.513E+01, 2.362E+01, 2.231E+01, 2.177E+01, 2.126E+01, 2.102E+01, 2.078E+01, 2.065E+01, 2.045E+01, 2.037E+01, 2.028E+01, 2.023E+01, 2.017E+01, 2.015E+01, 2.011E+01, 2.009E+01, 2.008E+01, 2.005E+01, 2.005E+01, 2.004E+01, 2.004E+01, 2.004E+01, 2.003E+01, 2.003E+01, 2.003E+01, 2.002E+01, 2.002E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 6.000E+00, 8.561E+00, 5.663E+00, 2.852E+00, 2.018E+00, 1.313E+00, 1.002E+00, 6.927E-01, 5.534E-01, 4.007E-01, 3.256E-01, 2.404E-01, 2.014E-01, 1.578E-01, 1.372E-01, 1.152E-01, 1.054E-01, 9.689E-02, 9.452E-02, 9.302E-02, 8.378E-02, 7.743E-02, 7.228E-02, 7.216E-02, 8.375E-02, 9.376E-02, 1.017E-01, 1.010E-01, 8.991E-02, 8.260E-02, 7.442E-02, 6.868E-02, 5.868E-02, 5.081E-02, 4.258E-02, 3.256E-02, 2.752E-02, 2.182E-02, 1.862E-02, 1.482E-02, 1.213E-02, 8.294E-03, 5.999E-03, 3.715E-03, 3.625E-03, 2.787E-03, 1.779E-03, 1.101E-03, 9.243E-04, 7.090E-04, 5.950E-04, 5.633E+01, 4.452E+01, 3.204E+01, 2.856E+01, 2.562E+01, 2.433E+01, 2.304E+01, 2.245E+01, 2.182E+01, 2.152E+01, 2.113E+01, 2.096E+01, 2.076E+01, 2.067E+01, 2.056E+01, 2.051E+01, 2.046E+01, 2.043E+01, 2.040E+01, 2.034E+01, 2.031E+01, 2.028E+01, 2.028E+01, 2.032E+01, 2.034E+01, 2.036E+01, 2.035E+01, 2.030E+01, 2.027E+01, 2.024E+01, 2.021E+01, 2.017E+01, 2.014E+01, 2.011E+01, 2.009E+01, 2.007E+01, 2.005E+01, 2.005E+01, 2.004E+01, 2.003E+01, 2.002E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.001E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 2.000E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.004E+00, 1.520E+01, 1.255E+01, 8.042E+00, 5.944E+00, 3.948E+00, 3.067E+00, 2.119E+00, 1.690E+00, 1.205E+00, 9.844E-01, 7.308E-01, 6.249E-01, 5.162E-01, 4.558E-01, 3.808E-01, 3.509E-01, 3.182E-01, 2.990E-01, 2.830E-01, 2.587E-01, 2.417E-01, 2.175E-01, 2.037E-01, 1.866E-01, 1.735E-01, 1.518E-01, 1.378E-01, 1.204E-01, 1.092E-01, 9.607E-02, 8.895E-02, 8.014E-02, 7.402E-02, 6.926E-02, 6.430E-02, 6.187E-02, 5.511E-02, 4.817E-02, 4.020E-02, 3.594E-02, 2.907E-02, 2.494E-02, 2.269E-02, 2.288E-02, 2.434E-02, 2.516E-02, 2.473E-02, 2.408E-02, 2.254E-02, 2.224E-02, 9.464E+01, 7.715E+01, 5.367E+01, 4.453E+01, 3.623E+01, 3.259E+01, 2.874E+01, 2.700E+01, 2.506E+01, 2.416E+01, 2.309E+01, 2.263E+01, 2.213E+01, 2.185E+01, 2.150E+01, 2.135E+01, 2.119E+01, 2.110E+01, 2.103E+01, 2.091E+01, 2.084E+01, 2.074E+01, 2.069E+01, 2.066E+01, 2.065E+01, 2.062E+01, 2.059E+01, 2.052E+01, 2.047E+01, 2.043E+01, 2.040E+01, 2.036E+01, 2.032E+01, 2.029E+01, 2.026E+01, 2.025E+01, 2.022E+01, 2.019E+01, 2.016E+01, 2.015E+01, 2.012E+01, 2.011E+01, 2.010E+01, 2.010E+01, 2.010E+01, 2.010E+01, 2.010E+01, 2.009E+01, 2.009E+01, 2.008E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 1.519E+01, 1.274E+01, 8.422E+00, 6.382E+00, 4.413E+00, 3.461E+00, 2.407E+00, 1.919E+00, 1.411E+00, 1.158E+00, 8.648E-01, 7.246E-01, 5.757E-01, 4.948E-01, 4.011E-01, 3.609E-01, 3.209E-01, 3.008E-01, 2.826E-01, 2.580E-01, 2.450E-01, 2.289E-01, 2.245E-01, 2.188E-01, 2.105E-01, 2.115E-01, 2.185E-01, 2.239E-01, 2.225E-01, 2.167E-01, 2.085E-01, 1.956E-01, 1.883E-01, 1.801E-01, 1.671E-01, 1.588E-01, 1.473E-01, 1.421E-01, 1.393E-01, 1.398E-01, 1.410E-01, 1.411E-01, 1.363E-01, 1.299E-01, 1.194E-01, 1.124E-01, 1.057E-01, 1.020E-01, 9.616E-02, 8.931E-02, 1.229E+02, 1.020E+02, 7.119E+01, 5.803E+01, 4.561E+01, 3.992E+01, 3.383E+01, 3.106E+01, 2.806E+01, 2.662E+01, 2.493E+01, 2.418E+01, 2.337E+01, 2.294E+01, 2.246E+01, 2.226E+01, 2.205E+01, 2.194E+01, 2.184E+01, 2.169E+01, 2.161E+01, 2.150E+01, 2.145E+01, 2.141E+01, 2.137E+01, 2.135E+01, 2.134E+01, 2.130E+01, 2.125E+01, 2.118E+01, 2.112E+01, 2.103E+01, 2.098E+01, 2.093E+01, 2.087E+01, 2.083E+01, 2.077E+01, 2.074E+01, 2.070E+01, 2.068E+01, 2.065E+01, 2.063E+01, 2.059E+01, 2.057E+01, 2.052E+01, 2.049E+01, 2.045E+01, 2.043E+01, 2.040E+01, 2.037E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.200E+01, 2.955E+01, 2.335E+01, 1.302E+01, 9.477E+00, 6.422E+00, 5.094E+00, 3.674E+00, 3.012E+00, 2.278E+00, 1.934E+00, 1.562E+00, 1.370E+00, 1.117E+00, 9.715E-01, 8.148E-01, 7.501E-01, 6.743E-01, 6.238E-01, 5.702E-01, 4.930E-01, 4.537E-01, 4.080E-01, 3.846E-01, 3.436E-01, 3.192E-01, 2.893E-01, 2.718E-01, 2.502E-01, 2.400E-01, 2.293E-01, 2.246E-01, 2.175E-01, 2.157E-01, 2.151E-01, 2.147E-01, 2.148E-01, 2.097E-01, 1.999E-01, 1.859E-01, 1.783E-01, 1.654E-01, 1.555E-01, 1.421E-01, 1.356E-01, 1.255E-01, 1.197E-01, 1.125E-01, 1.076E-01, 1.010E-01, 9.364E-02, 1.744E+02, 1.444E+02, 9.465E+01, 7.532E+01, 5.786E+01, 4.997E+01, 4.139E+01, 3.738E+01, 3.301E+01, 3.093E+01, 2.856E+01, 2.744E+01, 2.609E+01, 2.532E+01, 2.446E+01, 2.410E+01, 2.368E+01, 2.341E+01, 2.314E+01, 2.276E+01, 2.256E+01, 2.233E+01, 2.223E+01, 2.207E+01, 2.195E+01, 2.182E+01, 2.176E+01, 2.166E+01, 2.159E+01, 2.152E+01, 2.147E+01, 2.139E+01, 2.135E+01, 2.131E+01, 2.125E+01, 2.121E+01, 2.114E+01, 2.107E+01, 2.098E+01, 2.094E+01, 2.088E+01, 2.083E+01, 2.077E+01, 2.074E+01, 2.069E+01, 2.066E+01, 2.063E+01, 2.060E+01, 2.056E+01, 2.052E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.400E+01, 4.637E+01, 3.819E+01, 2.288E+01, 1.611E+01, 9.734E+00, 7.137E+00, 4.775E+00, 3.740E+00, 2.674E+00, 2.182E+00, 1.646E+00, 1.385E+00, 1.106E+00, 9.931E-01, 8.639E-01, 7.877E-01, 6.990E-01, 6.650E-01, 6.468E-01, 6.290E-01, 6.100E-01, 5.745E-01, 5.438E-01, 5.116E-01, 4.917E-01, 4.670E-01, 4.518E-01, 4.215E-01, 3.999E-01, 3.606E-01, 3.388E-01, 3.183E-01, 3.114E-01, 3.016E-01, 2.876E-01, 2.779E-01, 2.666E-01, 2.631E-01, 2.560E-01, 2.507E-01, 2.415E-01, 2.357E-01, 2.233E-01, 2.172E-01, 2.093E-01, 2.055E-01, 2.021E-01, 2.006E-01, 1.971E-01, 1.896E-01, 2.778E+02, 2.318E+02, 1.481E+02, 1.125E+02, 7.920E+01, 6.499E+01, 5.102E+01, 4.471E+01, 3.812E+01, 3.504E+01, 3.166E+01, 3.005E+01, 2.822E+01, 2.728E+01, 2.617E+01, 2.564E+01, 2.504E+01, 2.474E+01, 2.450E+01, 2.417E+01, 2.397E+01, 2.369E+01, 2.351E+01, 2.329E+01, 2.315E+01, 2.297E+01, 2.288E+01, 2.272E+01, 2.261E+01, 2.244E+01, 2.234E+01, 2.221E+01, 2.215E+01, 2.209E+01, 2.201E+01, 2.195E+01, 2.187E+01, 2.181E+01, 2.173E+01, 2.168E+01, 2.161E+01, 2.156E+01, 2.146E+01, 2.141E+01, 2.133E+01, 2.129E+01, 2.124E+01, 2.122E+01, 2.118E+01, 2.112E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.600E+01, 3.183E+01, 2.736E+01, 1.749E+01, 1.310E+01, 8.753E+00, 6.825E+00, 4.790E+00, 3.845E+00, 2.857E+00, 2.402E+00, 1.859E+00, 1.599E+00, 1.270E+00, 1.086E+00, 8.967E-01, 8.132E-01, 7.240E-01, 6.776E-01, 6.388E-01, 5.797E-01, 5.370E-01, 4.391E-01, 3.986E-01, 3.719E-01, 3.664E-01, 3.597E-01, 3.538E-01, 3.198E-01, 2.917E-01, 2.682E-01, 2.596E-01, 2.499E-01, 2.487E-01, 2.438E-01, 2.292E-01, 2.187E-01, 2.043E-01, 1.961E-01, 1.842E-01, 1.786E-01, 1.736E-01, 1.719E-01, 1.707E-01, 1.684E-01, 1.682E-01, 1.670E-01, 1.647E-01, 1.633E-01, 1.609E-01, 1.543E-01, 2.879E+02, 2.448E+02, 1.607E+02, 1.234E+02, 8.781E+01, 7.245E+01, 5.682E+01, 4.972E+01, 4.215E+01, 3.850E+01, 3.427E+01, 3.224E+01, 2.985E+01, 2.860E+01, 2.726E+01, 2.663E+01, 2.595E+01, 2.560E+01, 2.532E+01, 2.491E+01, 2.462E+01, 2.410E+01, 2.383E+01, 2.358E+01, 2.346E+01, 2.332E+01, 2.322E+01, 2.299E+01, 2.282E+01, 2.260E+01, 2.248E+01, 2.234E+01, 2.228E+01, 2.222E+01, 2.211E+01, 2.203E+01, 2.194E+01, 2.188E+01, 2.180E+01, 2.176E+01, 2.169E+01, 2.164E+01, 2.158E+01, 2.155E+01, 2.150E+01, 2.147E+01, 2.143E+01, 2.141E+01, 2.138E+01, 2.132E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
