s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-1.342E-03,-5.752E-11, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.342E-03, 0.000E+00, 0.000E+00, 0.000E+00
 2.013E+00, 1.086E+00, 0.000E+00,-3.264E-01, 1.018E-02,-3.217E-02, 2.320E-04, 0.000E+00, 0.000E+00, 7.323E-01, 7.379E-01, 0.000E+00, 2.474E-05, 0.000E+00
 4.006E+00, 3.289E+00, 0.000E+00,-9.573E-01,-7.002E-02,-1.297E-01, 2.846E-03, 0.000E+00, 0.000E+00, 2.129E+00, 2.135E+00, 0.000E+00, 7.345E-05, 0.000E+00
 6.000E+00, 5.495E+00, 0.000E+00,-1.596E+00,-8.258E-01,-3.020E-01, 1.057E-02, 0.000E+00, 0.000E+00, 2.785E+00, 2.781E+00, 0.000E+00, 1.220E-04, 0.000E+00
 8.004E+00, 7.723E+00, 0.000E+00,-2.228E+00,-3.253E+00,-5.212E-01, 2.375E-02, 0.000E+00, 0.000E+00, 1.765E+00, 1.745E+00, 0.000E+00, 1.707E-04, 0.000E+00
 1.000E+01, 9.934E+00, 0.000E+00,-2.870E+00,-5.135E+00,-6.789E-01, 4.242E-02, 0.000E+00, 0.000E+00, 1.304E+00, 1.292E+00, 0.000E+00, 2.194E-04, 0.000E+00
 1.200E+01, 1.216E+01, 0.000E+00,-3.513E+00,-6.442E+00,-8.724E-01, 6.718E-02, 0.000E+00, 0.000E+00, 1.400E+00, 1.398E+00, 0.000E+00, 2.681E-04, 0.000E+00
 1.400E+01, 1.439E+01, 0.000E+00,-4.172E+00,-8.135E+00,-1.092E+00, 9.517E-02, 0.000E+00, 0.000E+00, 1.077E+00, 1.086E+00, 0.000E+00, 3.169E-04, 0.000E+00
 1.600E+01, 1.661E+01, 0.000E+00,-4.752E+00,-9.615E+00,-1.183E+00, 1.280E-01, 0.000E+00, 0.000E+00, 1.192E+00, 1.188E+00, 0.000E+00, 3.656E-04, 0.000E+00
 1.800E+01, 1.882E+01, 0.000E+00,-5.393E+00,-1.054E+01,-1.374E+00, 1.610E-01, 0.000E+00, 0.000E+00, 1.663E+00, 1.672E+00, 0.000E+00, 4.143E-04, 0.000E+00
 2.000E+01, 2.091E+01, 0.000E+00,-6.046E+00,-1.319E+01,-1.573E+00, 1.988E-01, 0.000E+00, 0.000E+00, 3.067E-01, 3.081E-01, 0.000E+00, 4.630E-04, 0.000E+00
 2.200E+01, 2.352E+01, 0.000E+00,-6.750E+00,-1.391E+01,-1.717E+00, 2.364E-01, 0.000E+00, 0.000E+00, 1.367E+00, 1.382E+00, 0.000E+00, 5.177E-04, 0.000E+00
 2.400E+01, 2.599E+01, 0.000E+00,-7.445E+00,-1.564E+01,-1.869E+00, 2.828E-01, 0.000E+00, 0.000E+00, 1.320E+00, 1.319E+00, 0.000E+00, 5.783E-04, 0.000E+00
