s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_PVC,MLR_PVC PRODUCTS
 0.000E+00, 0.000E+00, 0.000E+00,-1.121E-03,-1.448E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.121E-03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 1.000E+01, 5.506E+00, 0.000E+00,-1.603E+00,-7.986E-01,-4.330E-01, 1.583E-02, 0.000E+00, 0.000E+00, 2.685E+00, 2.687E+00, 0.000E+00, 1.219E-04, 0.000E+00, 0.000E+00, 0.000E+00
 2.000E+01, 1.661E+01, 0.000E+00,-4.823E+00,-8.632E+00,-1.438E+00, 1.271E-01, 0.000E+00, 0.000E+00, 1.866E+00, 1.841E+00, 0.000E+00, 3.656E-04, 0.000E+00, 6.388E-14, 0.000E+00
 3.000E+01, 2.901E+01, 0.000E+00,-8.424E+00,-1.666E+01,-2.506E+00, 3.327E-01, 0.000E+00, 0.000E+00, 1.779E+00, 1.751E+00, 0.000E+00, 6.389E-04, 0.000E+00, 4.155E-06, 0.000E+00
 4.000E+01, 4.446E+01, 0.000E+00,-1.302E+01,-2.710E+01,-3.345E+00, 5.692E-01, 0.000E+00, 0.000E+00, 1.625E+00, 1.558E+00, 0.000E+00, 9.419E-04, 0.000E+00, 1.203E-04, 0.000E+00
 5.000E+01, 5.658E+01, 0.000E+00,-1.669E+01,-3.607E+01,-4.113E+00, 7.151E-01, 0.000E+00, 0.000E+00, 5.042E-01, 4.197E-01, 0.000E+00, 1.143E-03, 0.000E+00, 2.795E-04, 0.000E+00
 6.000E+01, 6.295E+01, 0.000E+00,-1.867E+01,-4.009E+01,-4.367E+00, 7.761E-01, 0.000E+00, 0.000E+00, 6.972E-01, 5.958E-01, 0.000E+00, 1.241E-03, 0.000E+00, 4.014E-04, 0.000E+00
 7.000E+01, 6.839E+01, 0.000E+00,-2.036E+01,-4.398E+01,-4.514E+00, 8.067E-01, 0.000E+00, 0.000E+00, 4.371E-01, 3.439E-01, 0.000E+00, 1.314E-03, 0.000E+00, 5.346E-04, 0.000E+00
 8.000E+01, 7.373E+01, 0.000E+00,-2.207E+01,-4.736E+01,-4.718E+00, 8.087E-01, 0.000E+00, 0.000E+00, 5.326E-01, 3.968E-01, 0.000E+00, 1.360E-03, 0.000E+00, 7.261E-04, 0.000E+00
 9.000E+01, 7.767E+01, 0.000E+00,-2.344E+01,-5.008E+01,-4.858E+00, 7.883E-01, 0.000E+00, 0.000E+00, 1.973E-01, 9.061E-02, 0.000E+00, 1.383E-03, 0.000E+00, 8.959E-04, 0.000E+00
 1.000E+02, 8.063E+01, 0.000E+00,-2.435E+01,-5.239E+01,-4.834E+00, 7.664E-01, 0.000E+00, 0.000E+00,-1.305E-02,-1.904E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.076E-03, 0.000E+00
 1.100E+02, 8.209E+01, 0.000E+00,-2.493E+01,-5.279E+01,-4.816E+00, 7.435E-01, 0.000E+00, 0.000E+00, 4.388E-01, 2.932E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.174E-03, 0.000E+00
 1.200E+02, 8.329E+01, 0.000E+00,-2.535E+01,-5.441E+01,-4.749E+00, 7.269E-01, 0.000E+00, 0.000E+00,-3.794E-01,-5.004E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.243E-03, 0.000E+00
 1.300E+02, 8.632E+01, 0.000E+00,-2.633E+01,-5.551E+01,-4.966E+00, 7.023E-01, 0.000E+00, 0.000E+00, 3.554E-01, 2.092E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.408E-03, 0.000E+00
 1.400E+02, 8.829E+01, 0.000E+00,-2.703E+01,-5.700E+01,-5.008E+00, 6.771E-01, 0.000E+00, 0.000E+00, 7.011E-02,-6.457E-02, 0.000E+00, 1.383E-03, 0.000E+00, 1.533E-03, 0.000E+00
 1.500E+02, 8.866E+01, 0.000E+00,-2.721E+01,-5.678E+01,-4.847E+00, 6.619E-01, 0.000E+00, 0.000E+00, 6.046E-01, 4.887E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.573E-03, 0.000E+00
 1.600E+02, 9.033E+01, 0.000E+00,-2.771E+01,-5.818E+01,-4.978E+00, 6.409E-01, 0.000E+00, 0.000E+00, 2.785E-01, 1.010E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.676E-03, 0.000E+00
 1.700E+02, 9.274E+01, 0.000E+00,-2.847E+01,-6.023E+01,-4.955E+00, 6.197E-01, 0.000E+00, 0.000E+00,-9.612E-02,-2.947E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.817E-03, 0.000E+00
 1.800E+02, 9.505E+01, 0.000E+00,-2.934E+01,-6.138E+01,-5.053E+00, 5.881E-01, 0.000E+00, 0.000E+00, 7.307E-02,-1.274E-01, 0.000E+00, 1.383E-03, 0.000E+00, 1.955E-03, 0.000E+00
 1.900E+02, 9.664E+01, 0.000E+00,-2.987E+01,-6.220E+01,-5.070E+00, 5.643E-01, 0.000E+00, 0.000E+00, 2.231E-01, 6.020E-02, 0.000E+00, 1.383E-03, 0.000E+00, 2.053E-03, 0.000E+00
 2.000E+02, 9.894E+01, 0.000E+00,-3.072E+01,-6.451E+01,-5.043E+00, 5.418E-01, 0.000E+00, 0.000E+00,-5.645E-01,-7.855E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.203E-03, 0.000E+00
 2.100E+02, 1.007E+02, 0.000E+00,-3.128E+01,-6.423E+01,-5.226E+00, 5.162E-01, 0.000E+00, 0.000E+00, 7.501E-01, 5.235E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.282E-03, 0.000E+00
 2.200E+02, 1.029E+02, 0.000E+00,-3.192E+01,-6.635E+01,-5.340E+00, 4.740E-01, 0.000E+00, 0.000E+00,-9.578E-02,-2.853E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.437E-03, 0.000E+00
 2.300E+02, 1.059E+02, 0.000E+00,-3.306E+01,-6.766E+01,-5.347E+00, 4.351E-01, 0.000E+00, 0.000E+00, 5.159E-01, 3.039E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.631E-03, 0.000E+00
 2.400E+02, 1.067E+02, 0.000E+00,-3.322E+01,-6.953E+01,-5.194E+00, 4.284E-01, 0.000E+00, 0.000E+00,-5.895E-01,-7.812E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.654E-03, 0.000E+00
 2.500E+02, 1.080E+02, 0.000E+00,-3.370E+01,-6.992E+01,-5.327E+00, 4.036E-01, 0.000E+00, 0.000E+00,-3.355E-01,-5.501E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.751E-03, 0.000E+00
 2.600E+02, 1.083E+02, 0.000E+00,-3.381E+01,-6.903E+01,-5.230E+00, 3.974E-01, 0.000E+00, 0.000E+00, 9.162E-01, 6.676E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.767E-03, 0.000E+00
 2.700E+02, 1.114E+02, 0.000E+00,-3.480E+01,-7.145E+01,-5.377E+00, 3.516E-01, 0.000E+00, 0.000E+00, 3.878E-01, 1.387E-01, 0.000E+00, 1.383E-03, 0.000E+00, 2.955E-03, 0.000E+00
 2.800E+02, 1.140E+02, 0.000E+00,-3.569E+01,-7.369E+01,-5.380E+00, 3.165E-01, 0.000E+00, 0.000E+00,-2.397E-01,-4.723E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.109E-03, 0.000E+00
 2.900E+02, 1.165E+02, 0.000E+00,-3.655E+01,-7.432E+01,-5.556E+00, 2.842E-01, 0.000E+00, 0.000E+00, 6.361E-01, 3.109E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.264E-03, 0.000E+00
 3.000E+02, 1.194E+02, 0.000E+00,-3.764E+01,-7.702E+01,-5.488E+00, 2.462E-01, 0.000E+00, 0.000E+00,-2.471E-01,-4.771E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.428E-03, 0.000E+00
 3.100E+02, 1.193E+02, 0.000E+00,-3.764E+01,-7.684E+01,-5.285E+00, 2.391E-01, 0.000E+00, 0.000E+00, 4.012E-02,-2.132E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.442E-03, 0.000E+00
 3.200E+02, 1.184E+02, 0.000E+00,-3.722E+01,-7.649E+01,-5.156E+00, 2.565E-01, 0.000E+00, 0.000E+00, 4.274E-02,-2.240E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.372E-03, 0.000E+00
 3.300E+02, 1.195E+02, 0.000E+00,-3.761E+01,-7.755E+01,-5.320E+00, 2.282E-01, 0.000E+00, 0.000E+00,-5.393E-01,-7.969E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.453E-03, 0.000E+00
 3.400E+02, 1.232E+02, 0.000E+00,-3.888E+01,-7.843E+01,-5.329E+00, 1.867E-01, 0.000E+00, 0.000E+00, 1.042E+00, 7.888E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.664E-03, 0.000E+00
 3.500E+02, 1.256E+02, 0.000E+00,-3.964E+01,-8.081E+01,-5.548E+00, 1.384E-01, 0.000E+00, 0.000E+00, 3.565E-02,-2.777E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.825E-03, 0.000E+00
 3.600E+02, 1.264E+02, 0.000E+00,-3.996E+01,-8.237E+01,-5.397E+00, 1.268E-01, 0.000E+00, 0.000E+00,-8.794E-01,-1.185E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.871E-03, 0.000E+00
 3.700E+02, 1.284E+02, 0.000E+00,-4.054E+01,-8.200E+01,-5.466E+00, 1.027E-01, 0.000E+00, 0.000E+00, 8.626E-01, 5.029E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.976E-03, 0.000E+00
 3.800E+02, 1.271E+02, 0.000E+00,-4.021E+01,-8.263E+01,-5.416E+00, 1.005E-01, 0.000E+00, 0.000E+00,-7.510E-01,-1.093E+00, 0.000E+00, 1.383E-03, 0.000E+00, 3.925E-03, 0.000E+00
 3.900E+02, 1.263E+02, 0.000E+00,-3.978E+01,-8.146E+01,-5.060E+00, 1.340E-01, 0.000E+00, 0.000E+00, 4.545E-01, 1.519E-01, 0.000E+00, 1.383E-03, 0.000E+00, 3.860E-03, 0.000E+00
