s,kg/m2/s
Time,"MLR"
 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 4.7034908E-009
 2.0000000E+001, 6.1776421E-005
 3.0000000E+001, 4.2674572E-003
 4.0050000E+001, 1.6272795E-002
 5.0050000E+001, 2.1660680E-002
 6.0050000E+001, 2.5160994E-002
 7.0050000E+001, 2.6027104E-002
 8.0050000E+001, 2.6483490E-002
 9.0050000E+001, 2.7209992E-002
 1.0005000E+002, 2.7359061E-002
 1.1005000E+002, 2.8071893E-002
 1.2005000E+002, 2.8842313E-002
 1.3005000E+002, 2.9451519E-002
 1.4005000E+002, 3.0472344E-002
 1.5005000E+002, 3.1566851E-002
 1.6000000E+002, 3.2391850E-002
 1.7000000E+002, 3.3495809E-002
 1.8000000E+002, 3.4643737E-002
 1.9000000E+002, 3.5823860E-002
 2.0000000E+002, 3.6693895E-002
 2.1000000E+002, 3.7633155E-002
 2.2000000E+002, 3.8880943E-002
 2.3000000E+002, 4.0460877E-002
 2.4000000E+002, 3.6114720E-002
 2.5000000E+002, 7.5774741E-003
 2.6000000E+002, 5.7888953E-017
 2.7000000E+002, 0.0000000E+000
 2.8000000E+002, 0.0000000E+000
 2.9000000E+002, 0.0000000E+000
 3.0000000E+002, 0.0000000E+000
 3.1000000E+002, 0.0000000E+000
 3.2000000E+002, 0.0000000E+000
 3.3000000E+002, 0.0000000E+000
 3.4000000E+002, 0.0000000E+000
 3.5000000E+002, 0.0000000E+000
 3.6000000E+002, 0.0000000E+000
 3.7000000E+002, 0.0000000E+000
 3.8000000E+002, 0.0000000E+000
 3.9000000E+002, 0.0000000E+000
 4.0000000E+002, 0.0000000E+000
