s,kg/m2/s
Time,MLR
 0.0000000E+000, 0.0000000E+000
 1.0100000E+001, 9.1414287E-016
 2.0000000E+001, 2.0052813E-013
 3.0000000E+001, 1.1960609E-011
 4.0000000E+001, 2.3735956E-010
 5.0000000E+001, 2.2975057E-009
 6.0000000E+001, 1.3991432E-008
 7.0000000E+001, 6.2117059E-008
 8.0100000E+001, 2.2072158E-007
 9.0100000E+001, 6.5550913E-007
 1.0010000E+002, 1.6864703E-006
 1.1010000E+002, 3.8767026E-006
 1.2010000E+002, 8.1147621E-006
 1.3010000E+002, 1.5690266E-005
 1.4010000E+002, 2.8332984E-005
 1.5010000E+002, 4.8189460E-005
 1.6010000E+002, 7.7713037E-005
 1.7010000E+002, 1.1947006E-004
 1.8010000E+002, 1.7589193E-004
 1.9010000E+002, 2.4898559E-004
 2.0010000E+002, 3.4009241E-004
 2.1010000E+002, 4.4962670E-004
 2.2010000E+002, 5.7694428E-004
 2.3010000E+002, 7.2036172E-004
 2.4010000E+002, 8.7728470E-004
 2.5010000E+002, 1.0445016E-003
 2.6010000E+002, 1.2185253E-003
 2.7010000E+002, 1.3958838E-003
 2.8010000E+002, 1.5734707E-003
 2.9010000E+002, 1.7486208E-003
 3.0010000E+002, 1.9192037E-003
 3.1000000E+002, 2.0828586E-003
 3.2000000E+002, 2.2393066E-003
 3.3000000E+002, 2.3885527E-003
 3.4000000E+002, 2.5225181E-003
 3.5000000E+002, 2.5868420E-003
 3.6000000E+002, 2.7427041E-003
 3.7000000E+002, 2.8778379E-003
 3.8000000E+002, 2.9984378E-003
 3.9000000E+002, 3.1072227E-003
 4.0000000E+002, 3.2061162E-003
 4.1000000E+002, 3.2960182E-003
 4.2000000E+002, 3.3778568E-003
 4.3000000E+002, 3.3855519E-003
 4.4000000E+002, 3.4898206E-003
 4.5000000E+002, 3.5759210E-003
 4.6000000E+002, 3.6453733E-003
 4.7000000E+002, 3.7035533E-003
 4.8000000E+002, 3.7533179E-003
 4.9000000E+002, 3.7964626E-003
 5.0000000E+002, 3.7661745E-003
 5.1000000E+002, 3.8154400E-003
 5.2000000E+002, 3.8684397E-003
 5.3000000E+002, 3.9077906E-003
 5.4000000E+002, 3.9382281E-003
 5.5000000E+002, 3.9619058E-003
 5.6000000E+002, 3.9802584E-003
 5.7000000E+002, 3.9133123E-003
 5.8000000E+002, 3.9583487E-003
 5.9000000E+002, 3.9908185E-003
 6.0000000E+002, 4.0111834E-003
 6.1000000E+002, 4.0237986E-003
 6.2000000E+002, 4.0312826E-003
 6.3000000E+002, 4.0209930E-003
 6.4000000E+002, 3.9713903E-003
 6.5000000E+002, 4.0149687E-003
 6.6000000E+002, 4.0340641E-003
 6.7000000E+002, 4.0409632E-003
 6.8000000E+002, 4.0410244E-003
 6.9000000E+002, 4.0370509E-003
 7.0000000E+002, 3.9901085E-003
 7.1000000E+002, 3.9571587E-003
 7.2000000E+002, 3.9773815E-003
 7.3000000E+002, 3.9836729E-003
 7.4000000E+002, 3.9820548E-003
 7.5000000E+002, 3.9759808E-003
 7.6000000E+002, 3.9666312E-003
 7.7000000E+002, 3.9085437E-003
 7.8000000E+002, 3.9067203E-003
 7.9000000E+002, 3.9252693E-003
 8.0000000E+002, 3.9268558E-003
 8.1000000E+002, 3.9203582E-003
 8.2000000E+002, 3.9090266E-003
 8.3000000E+002, 3.8951996E-003
 8.4000000E+002, 3.8210647E-003
 8.5000000E+002, 3.8128632E-003
