s,kg/m2/s
Time,"MLR"
 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 3.6893429E-008
 2.0000000E+001, 7.2346152E-006
 3.0000000E+001, 3.5178238E-004
 4.0050000E+001, 4.0216123E-003
 5.0050000E+001, 1.4451390E-002
 6.0050000E+001, 2.4636066E-002
 7.0050000E+001, 2.9739459E-002
 8.0050000E+001, 2.9768564E-002
 9.0050000E+001, 2.7645970E-002
 1.0005000E+002, 2.6583740E-002
 1.1005000E+002, 2.5719269E-002
 1.2005000E+002, 2.4751544E-002
 1.3005000E+002, 2.3905590E-002
 1.4005000E+002, 2.3167056E-002
 1.5005000E+002, 2.2552821E-002
 1.6000000E+002, 2.2090040E-002
 1.7000000E+002, 2.1868076E-002
 1.8000000E+002, 2.2361870E-002
 1.9000000E+002, 2.3525730E-002
 2.0000000E+002, 2.4612531E-002
 2.1000000E+002, 2.5300237E-002
 2.2000000E+002, 2.5524254E-002
 2.3000000E+002, 2.5303491E-002
 2.4000000E+002, 2.4700809E-002
 2.5000000E+002, 2.3801665E-002
 2.6000000E+002, 2.2684221E-002
 2.7000000E+002, 2.1420169E-002
 2.8000000E+002, 2.0104447E-002
 2.9000000E+002, 1.8754040E-002
 3.0000000E+002, 1.7429897E-002
 3.1000000E+002, 1.6135246E-002
 3.2000000E+002, 1.4909325E-002
 3.3000000E+002, 1.3723614E-002
 3.4000000E+002, 1.2634655E-002
 3.5000000E+002, 1.1595508E-002
 3.6000000E+002, 1.0618880E-002
 3.7000000E+002, 9.7330240E-003
 3.8000000E+002, 8.9142363E-003
 3.9000000E+002, 8.1257570E-003
 4.0000000E+002, 7.4056511E-003
 4.1000000E+002, 6.7539768E-003
 4.2000000E+002, 7.2463183E-003
 4.3000000E+002, 1.2713178E-002
 4.4000000E+002, 1.0703695E-002
 4.5000000E+002, 9.2191228E-003
 4.6000000E+002, 6.9646866E-003
 4.7000000E+002, 5.2788807E-003
 4.8000000E+002, 3.8582822E-003
 4.9000000E+002, 2.8194050E-003
 5.0000000E+002, 1.9435040E-003
 5.1000000E+002, 1.3610313E-003
 5.2000000E+002, 9.8454412E-004
 5.3000000E+002, 7.3643488E-004
 5.4000000E+002, 6.0322458E-004
 5.5000000E+002, 5.1528313E-004
 5.6000000E+002, 4.5690634E-004
 5.7000000E+002, 4.1467266E-004
 5.8000000E+002, 3.7783020E-004
 5.9000000E+002, 3.4547210E-004
 6.0000000E+002, 3.2037891E-004
