s,kg/m2/s
Time,"MLR"
 0.0000000E+000, 0.0000000E+000
 1.0100000E+001, 8.3968290E-007
 2.0000000E+001, 2.0478404E-011
 3.0000000E+001, 2.8807765E-012
 4.0000000E+001, 1.3798034E-009
 5.0000000E+001, 9.3285414E-008
 6.0000000E+001, 1.7716792E-006
 7.0000000E+001, 1.3882955E-005
 8.0100000E+001, 6.2279577E-005
 9.0100000E+001, 1.8232397E-004
 1.0010000E+002, 4.1198769E-004
 1.1010000E+002, 8.1153749E-004
 1.2010000E+002, 8.6915784E-004
 1.3010000E+002, 8.1899471E-004
 1.4010000E+002, 1.0031393E-003
 1.5010000E+002, 1.2892107E-003
 1.6010000E+002, 1.5209884E-003
 1.7010000E+002, 1.6864407E-003
 1.8010000E+002, 1.7307616E-003
 1.9010000E+002, 1.6947184E-003
 2.0010000E+002, 1.6387401E-003
 2.1010000E+002, 1.5809679E-003
 2.2010000E+002, 1.5199147E-003
 2.3010000E+002, 1.4692821E-003
 2.4010000E+002, 1.3840478E-003
 2.5010000E+002, 1.2872317E-003
 2.6010000E+002, 1.1612936E-003
 2.7010000E+002, 1.0311501E-003
 2.8010000E+002, 8.9149244E-004
 2.9010000E+002, 7.6413714E-004
 3.0010000E+002, 6.5982615E-004
 3.1000000E+002, 5.9754786E-004
 3.2000000E+002, 5.6062130E-004
 3.3000000E+002, 5.1712667E-004
 3.4000000E+002, 4.5664156E-004
 3.5000000E+002, 4.2184769E-004
 3.6000000E+002, 4.0939670E-004
 3.7000000E+002, 4.0907219E-004
 3.8000000E+002, 4.1537694E-004
 3.9000000E+002, 4.2520329E-004
 4.0000000E+002, 4.3630432E-004
 4.1000000E+002, 4.4685413E-004
 4.2000000E+002, 4.5571521E-004
 4.3000000E+002, 4.6230274E-004
 4.4000000E+002, 4.6629921E-004
 4.5000000E+002, 4.6784828E-004
 4.6000000E+002, 4.6858305E-004
 4.7000000E+002, 4.6709224E-004
 4.8000000E+002, 4.6281041E-004
 4.9000000E+002, 4.5635828E-004
 5.0000000E+002, 4.4837181E-004
 5.1000000E+002, 4.3939357E-004
 5.2000000E+002, 4.2985652E-004
 5.3000000E+002, 4.2011599E-004
 5.4000000E+002, 4.1038098E-004
 5.5000000E+002, 4.0072515E-004
 5.6000000E+002, 3.9126511E-004
 5.7000000E+002, 3.8210645E-004
 5.8000000E+002, 3.7324033E-004
 5.9000000E+002, 3.6466876E-004
 6.0000000E+002, 3.5647933E-004
 6.1000000E+002, 3.4905255E-004
 6.2000000E+002, 3.4156543E-004
 6.3000000E+002, 3.3395988E-004
 6.4000000E+002, 3.2642244E-004
 6.5000000E+002, 3.1906785E-004
 6.6000000E+002, 3.1194119E-004
 6.7000000E+002, 3.0504000E-004
 6.8000000E+002, 2.9835605E-004
 6.9000000E+002, 2.9188476E-004
 7.0000000E+002, 2.8562382E-004
 7.1000000E+002, 2.7957148E-004
 7.2000000E+002, 2.7372573E-004
 7.3000000E+002, 2.6808411E-004
 7.4000000E+002, 2.6264315E-004
 7.5000000E+002, 2.5739864E-004
 7.6000000E+002, 2.5234574E-004
 7.7000000E+002, 2.4747915E-004
 7.8000000E+002, 2.4279332E-004
 7.9000000E+002, 2.3828216E-004
 8.0000000E+002, 2.3395299E-004
