s,kg/m2/s
Time,"MLR"
 0.0000000E+000, 0.0000000E+000
 1.0100000E+001, 8.8251060E-005
 2.0000000E+001, 9.9659026E-003
 3.0000000E+001, 2.5154984E-002
 4.0000000E+001, 2.1001042E-002
 5.0000000E+001, 2.2325266E-002
 6.0000000E+001, 2.2006250E-002
 7.0000000E+001, 2.1040246E-002
 8.0100000E+001, 2.0550730E-002
 9.0100000E+001, 2.0149615E-002
 1.0010000E+002, 1.9662842E-002
 1.1010000E+002, 1.9162906E-002
 1.2010000E+002, 1.8729300E-002
 1.3010000E+002, 1.8057766E-002
 1.4010000E+002, 1.7514839E-002
 1.5010000E+002, 1.6915858E-002
 1.6010000E+002, 1.6737645E-002
 1.7010000E+002, 1.7191489E-002
 1.8010000E+002, 1.9254060E-002
 1.9010000E+002, 2.1562661E-002
 2.0010000E+002, 2.4428793E-002
 2.1010000E+002, 2.6640395E-002
 2.2010000E+002, 2.7502898E-002
 2.3010000E+002, 2.6860254E-002
 2.4010000E+002, 2.5207273E-002
 2.5010000E+002, 2.3436074E-002
 2.6010000E+002, 2.1866149E-002
 2.7010000E+002, 2.0493263E-002
 2.8010000E+002, 1.9218773E-002
 2.9010000E+002, 1.7924045E-002
 3.0010000E+002, 1.6474643E-002
 3.1000000E+002, 1.4711396E-002
 3.2000000E+002, 1.2431956E-002
 3.3000000E+002, 9.6126552E-003
 3.4000000E+002, 7.2258590E-003
 3.5000000E+002, 6.2881228E-003
 3.6000000E+002, 5.6961160E-003
 3.7000000E+002, 4.9877694E-003
 3.8000000E+002, 4.2865628E-003
 3.9000000E+002, 3.6607504E-003
 4.0000000E+002, 3.1297434E-003
 4.1000000E+002, 2.6908163E-003
 4.2000000E+002, 2.3328213E-003
 4.3000000E+002, 2.0422575E-003
 4.4000000E+002, 1.8062321E-003
 4.5000000E+002, 1.6136022E-003
 4.6000000E+002, 1.4552493E-003
 4.7000000E+002, 1.3238637E-003
 4.8000000E+002, 1.2137795E-003
 4.9000000E+002, 1.1206243E-003
 5.0000000E+002, 1.0409863E-003
 5.1000000E+002, 9.7224095E-004
 5.2000000E+002, 9.1234070E-004
 5.3000000E+002, 8.5968014E-004
 5.4000000E+002, 8.1301106E-004
 5.5000000E+002, 7.7131099E-004
 5.6000000E+002, 7.3379317E-004
 5.7000000E+002, 6.9979027E-004
 5.8000000E+002, 6.6878685E-004
 5.9000000E+002, 6.4032675E-004
 6.0000000E+002, 6.1405895E-004
 6.1000000E+002, 5.8967921E-004
 6.2000000E+002, 5.6692179E-004
 6.3000000E+002, 5.4560910E-004
 6.4000000E+002, 5.2551652E-004
 6.5000000E+002, 5.0651478E-004
 6.6000000E+002, 4.8849632E-004
 6.7000000E+002, 4.7129556E-004
 6.8000000E+002, 4.5491328E-004
 6.9000000E+002, 4.3918227E-004
 7.0000000E+002, 4.2403376E-004
