s,kW/m2,,
Time,"flux","d43","w"
 7.9145182E+000, 1.6488426E-003, 1.3056990E-004,-3.0772518E+000
 8.0179491E+000, 1.6270423E-003, 1.3033443E-004,-3.0845210E+000
 8.1213800E+000, 1.6035815E-003, 1.2999751E-004,-3.0886166E+000
 8.2248109E+000, 1.5799689E-003, 1.2966069E-004,-3.0938141E+000
 8.3023841E+000, 1.5588955E-003, 1.2960174E-004,-3.0969058E+000
 8.4058150E+000, 1.5344027E-003, 1.2936211E-004,-3.0999614E+000
 8.5092459E+000, 1.5056413E-003, 1.2920410E-004,-3.1039353E+000
 8.6126768E+000, 1.4732810E-003, 1.2900839E-004,-3.1068769E+000
 8.7161077E+000, 1.4380412E-003, 1.2876682E-004,-3.1107720E+000
 8.8195386E+000, 1.4025664E-003, 1.2849395E-004,-3.1176873E+000
 8.9229695E+000, 1.3645433E-003, 1.2827697E-004,-3.1239122E+000
 9.0005426E+000, 1.3325842E-003, 1.2820742E-004,-3.1280773E+000
 9.1039735E+000, 9.8772692E-002, 1.2805056E-004,-3.1314182E+000
 9.2074044E+000, 6.0874014E-001, 1.2803670E-004,-3.1353124E+000
 9.3108353E+000, 1.1867885E+000, 1.2790594E-004,-3.1397990E+000
 9.4142662E+000, 1.4258743E+000, 1.2778656E-004,-3.1451472E+000
 9.5176971E+000, 1.4275089E+000, 1.2776430E-004,-3.1487580E+000
 9.6211280E+000, 1.4295591E+000, 1.2758425E-004,-3.1515580E+000
 9.7245589E+000, 1.4288752E+000, 1.2750078E-004,-3.1542066E+000
 9.8021321E+000, 1.4271289E+000, 1.2730495E-004,-3.1571991E+000
 9.9055630E+000, 1.4269056E+000, 1.2722602E-004,-3.1607929E+000
 1.0008994E+001, 1.4299989E+000, 1.2706911E-004,-3.1639423E+000
 1.0112425E+001, 1.4329954E+000, 1.2703724E-004,-3.1665650E+000
 1.0215856E+001, 1.4351699E+000, 1.2686064E-004,-3.1697983E+000
 1.0319287E+001, 1.4327557E+000, 1.2673285E-004,-3.1726359E+000
 1.0422717E+001, 1.4333528E+000, 1.2658709E-004,-3.1758114E+000
 1.0500291E+001, 1.4360079E+000, 1.2653541E-004,-3.1781636E+000
 1.0603721E+001, 1.4377931E+000, 1.2640705E-004,-3.1795563E+000
