s,kW/m2,,
Time,"flux","d43","w"
 7.9061149E+000, 1.1235451E-003, 1.3578758E-004,-3.5778902E+000
 8.0187882E+000, 1.1012550E-003, 1.3577982E-004,-3.5820078E+000
 8.1089268E+000, 1.0778464E-003, 1.3520873E-004,-3.5854035E+000
 8.2216001E+000, 1.0545881E-003, 1.3455833E-004,-3.5922110E+000
 8.3117388E+000, 1.0307848E-003, 1.3415643E-004,-3.5967392E+000
 8.4018774E+000, 1.0096877E-003, 1.3404227E-004,-3.5980765E+000
 8.5145507E+000, 9.8220960E-004, 1.3353661E-004,-3.5927585E+000
 8.6046893E+000, 9.5082452E-004, 1.3340181E-004,-3.5879204E+000
 8.7173626E+000, 9.2044292E-004, 1.3348500E-004,-3.5884558E+000
 8.8075013E+000, 8.9270619E-004, 1.3341711E-004,-3.5953528E+000
 8.9201746E+000, 8.6177257E-004, 1.3271593E-004,-3.6002580E+000
 9.0103132E+000, 1.3165398E-003, 1.3237455E-004,-3.5957868E+000
 9.1004518E+000, 1.0720417E-001, 1.3197984E-004,-3.5904959E+000
 9.2131251E+000, 6.4839089E-001, 1.3160310E-004,-3.5900058E+000
 9.3032638E+000, 1.2129333E+000, 1.3140795E-004,-3.5908490E+000
 9.4159371E+000, 1.3451180E+000, 1.3133779E-004,-3.5971489E+000
 9.5060757E+000, 1.3488536E+000, 1.3104384E-004,-3.6019872E+000
 9.6187490E+000, 1.3421102E+000, 1.3092392E-004,-3.6005264E+000
 9.7088876E+000, 1.3410734E+000, 1.3136258E-004,-3.6007370E+000
 9.8215609E+000, 1.3435320E+000, 1.3200512E-004,-3.6043008E+000
 9.9116996E+000, 1.3392701E+000, 1.3212057E-004,-3.6036832E+000
 1.0001838E+001, 1.3333072E+000, 1.3236430E-004,-3.6055163E+000
 1.0114512E+001, 1.3309399E+000, 1.3204972E-004,-3.6066372E+000
 1.0204650E+001, 1.3275089E+000, 1.3191143E-004,-3.6081285E+000
 1.0317323E+001, 1.3293223E+000, 1.3153967E-004,-3.6104830E+000
 1.0407462E+001, 1.3376503E+000, 1.3124112E-004,-3.6092894E+000
 1.0520135E+001, 1.3501857E+000, 1.3093810E-004,-3.6101768E+000
 1.0610274E+001, 1.3515918E+000, 1.3119086E-004,-3.6105744E+000
 1.0700413E+001, 1.3454662E+000, 1.3128032E-004,-3.6096250E+000
 1.0813086E+001, 1.3405416E+000, 1.3130182E-004,-3.6102866E+000
 1.0903225E+001, 1.3441308E+000, 1.3147242E-004,-3.6150948E+000
 1.1015898E+001, 1.3437631E+000, 1.3173445E-004,-3.6185050E+000
 1.1106037E+001, 1.3373802E+000, 1.3159391E-004,-3.6181107E+000
 1.1218710E+001, 1.3371683E+000, 1.3134094E-004,-3.6155563E+000
 1.1308848E+001, 1.3395020E+000, 1.3152570E-004,-3.6167708E+000
 1.1421522E+001, 1.3441862E+000, 1.3168198E-004,-3.6192786E+000
 1.1511660E+001, 1.3488196E+000, 1.3140323E-004,-3.6208122E+000
 1.1601799E+001, 1.3552686E+000, 1.3112537E-004,-3.6179870E+000
 1.1714472E+001, 1.3577254E+000, 1.3097501E-004,-3.6174597E+000
 1.1804611E+001, 1.3605409E+000, 1.3118410E-004,-3.6181680E+000
 1.1917284E+001, 1.3549781E+000, 1.3138464E-004,-3.6196577E+000
 1.2007423E+001, 1.3441128E+000, 1.3129365E-004,-3.6203347E+000
 1.2120096E+001, 1.3469098E+000, 1.3125324E-004,-3.6211099E+000
 1.2210235E+001, 1.3479346E+000, 1.3127873E-004,-3.6201167E+000
 1.2300373E+001, 1.3489211E+000, 1.3149298E-004,-3.6203000E+000
 1.2413047E+001, 1.3546765E+000, 1.3169485E-004,-3.6233495E+000
 1.2503185E+001, 1.3529112E+000, 1.3187989E-004,-3.6241671E+000
 1.2615859E+001, 1.3487553E+000, 1.3202553E-004,-3.6233731E+000
 1.2705997E+001, 1.3425311E+000, 1.3208414E-004,-3.6223557E+000
 1.2818671E+001, 1.3465186E+000, 1.3230718E-004,-3.6235158E+000
 1.2908809E+001, 1.3513135E+000, 1.3253764E-004,-3.6227894E+000
 1.3021483E+001, 1.3544395E+000, 1.3241629E-004,-3.6224703E+000
 1.3111621E+001, 1.3535546E+000, 1.3247304E-004,-3.6223101E+000
 1.3201760E+001, 1.3460636E+000, 1.3222738E-004,-3.6222347E+000
 1.3314433E+001, 1.3423571E+000, 1.3208584E-004,-3.6214594E+000
 1.3404572E+001, 1.3416756E+000, 1.3197456E-004,-3.6195663E+000
 1.3517245E+001, 1.3429046E+000, 1.3195461E-004,-3.6200268E+000
 1.3607384E+001, 1.3416138E+000, 1.3208375E-004,-3.6210962E+000
 1.3720057E+001, 1.3413416E+000, 1.3223055E-004,-3.6217504E+000
 1.3810196E+001, 1.3388140E+000, 1.3224841E-004,-3.6227967E+000
 1.3900334E+001, 1.3406262E+000, 1.3218128E-004,-3.6225260E+000
 1.4013008E+001, 1.3409150E+000, 1.3193588E-004,-3.6214067E+000
 1.4103146E+001, 1.3425417E+000, 1.3196947E-004,-3.6207064E+000
 1.4215819E+001, 1.3442656E+000, 1.3190309E-004,-3.6192180E+000
 1.4305958E+001, 1.3451499E+000, 1.3175511E-004,-3.6183199E+000
 1.4418631E+001, 1.3554736E+000, 1.3177709E-004,-3.6185964E+000
 1.4508770E+001, 1.3643714E+000, 1.3182376E-004,-3.6190462E+000
 1.4621443E+001, 1.3599495E+000, 1.3181652E-004,-3.6185416E+000
 1.4711582E+001, 1.3496798E+000, 1.3176743E-004,-3.6166174E+000
 1.4801721E+001, 1.3431984E+000, 1.3177654E-004,-3.6172822E+000
 1.4914394E+001, 1.3374048E+000, 1.3170773E-004,-3.6184002E+000
 1.5000000E+001, 1.3350858E+000, 1.3155746E-004,-3.6179544E+000
