s,kW/m2,,
Time,flux,d43,w
 7.9116773E+000, 8.0034473E-004, 2.2901779E-004,-6.5657182E+000
 8.0114356E+000, 7.8507268E-004, 2.2845119E-004,-6.5689044E+000
 8.1111940E+000, 7.6836694E-004, 2.2828041E-004,-6.5837409E+000
 8.2109524E+000, 7.5136575E-004, 2.2807988E-004,-6.5901849E+000
 8.3107107E+000, 7.3851907E-004, 2.2822825E-004,-6.5979811E+000
 8.4104691E+000, 7.2911924E-004, 2.2763034E-004,-6.6033363E+000
 8.5102274E+000, 7.1594833E-004, 2.2827572E-004,-6.6134799E+000
 8.6099858E+000, 6.9241942E-004, 2.2796764E-004,-6.6167242E+000
 8.7097442E+000, 6.6807999E-004, 2.2728646E-004,-6.6261419E+000
 8.8095025E+000, 6.4575312E-004, 2.2705248E-004,-6.6344020E+000
 8.9092609E+000, 6.2855878E-004, 2.2668821E-004,-6.6464438E+000
 9.0090192E+000, 7.9963210E-004, 2.2646246E-004,-6.6505710E+000
 9.1087776E+000, 1.5189305E-001, 2.2614987E-004,-6.6565240E+000
 9.2085360E+000, 9.6953580E-001, 2.2610757E-004,-6.6620481E+000
 9.3082943E+000, 1.3305573E+000, 2.2600353E-004,-6.6739077E+000
 9.4080527E+000, 1.3421165E+000, 2.2622128E-004,-6.6805520E+000
 9.5078111E+000, 1.3488650E+000, 2.2615030E-004,-6.6851329E+000
 9.6075694E+000, 1.3583749E+000, 2.2566014E-004,-6.6800046E+000
 9.7073278E+000, 1.3599798E+000, 2.2511208E-004,-6.6817190E+000
 9.8070861E+000, 1.3515757E+000, 2.2503161E-004,-6.6868177E+000
 9.9068445E+000, 1.3572529E+000, 2.2510542E-004,-6.6903835E+000
 1.0006603E+001, 1.3498088E+000, 2.2535846E-004,-6.6921797E+000
 1.0106361E+001, 1.3344609E+000, 2.2538270E-004,-6.6958102E+000
 1.0206120E+001, 1.3354218E+000, 2.2485927E-004,-6.7017970E+000
 1.0305878E+001, 1.3409992E+000, 2.2496348E-004,-6.7070823E+000
 1.0405636E+001, 1.3738284E+000, 2.2475269E-004,-6.7115897E+000
 1.0505395E+001, 1.3754921E+000, 2.2469597E-004,-6.7139181E+000
 1.0605153E+001, 1.3583356E+000, 2.2478594E-004,-6.7167073E+000
 1.0704911E+001, 1.3630702E+000, 2.2472342E-004,-6.7171690E+000
 1.0804670E+001, 1.3411296E+000, 2.2455180E-004,-6.7246507E+000
 1.0904428E+001, 1.3462023E+000, 2.2445738E-004,-6.7328959E+000
 1.1004186E+001, 1.3479710E+000, 2.2439550E-004,-6.7361426E+000
 1.1103945E+001, 1.3477777E+000, 2.2431271E-004,-6.7392944E+000
 1.1203703E+001, 1.3601831E+000, 2.2436109E-004,-6.7426220E+000
 1.1303462E+001, 1.3762906E+000, 2.2490836E-004,-6.7467299E+000
 1.1403220E+001, 1.3678537E+000, 2.2503145E-004,-6.7493663E+000
 1.1502978E+001, 1.3672806E+000, 2.2491462E-004,-6.7537269E+000
 1.1607457E+001, 1.3628495E+000, 2.2523098E-004,-6.7587439E+000
 1.1701368E+001, 1.3739307E+000, 2.2557989E-004,-6.7614568E+000
 1.1811877E+001, 1.3665253E+000, 2.2559615E-004,-6.7589749E+000
 1.1904368E+001, 1.3628807E+000, 2.2543007E-004,-6.7579492E+000
 1.2010072E+001, 1.3612941E+000, 2.2547165E-004,-6.7610808E+000
 1.2102564E+001, 1.3589379E+000, 2.2503614E-004,-6.7670681E+000
 1.2208268E+001, 1.3634293E+000, 2.2463551E-004,-6.7692756E+000
 1.2300759E+001, 1.3619986E+000, 2.2448930E-004,-6.7713596E+000
 1.2407789E+001, 1.3581489E+000, 2.2468394E-004,-6.7742179E+000
 1.2501606E+001, 1.3437458E+000, 2.2472321E-004,-6.7803335E+000
 1.2601286E+001, 1.3440074E+000, 2.2474823E-004,-6.7814527E+000
 1.2704484E+001, 1.3475344E+000, 2.2482067E-004,-6.7843252E+000
 1.2807682E+001, 1.3440525E+000, 2.2469610E-004,-6.7868233E+000
 1.2910881E+001, 1.3549487E+000, 2.2461918E-004,-6.7897538E+000
 1.3001179E+001, 1.3738285E+000, 2.2449582E-004,-6.7922154E+000
 1.3104378E+001, 1.3477678E+000, 2.2445574E-004,-6.7959309E+000
 1.3207576E+001, 1.3492209E+000, 2.2439489E-004,-6.7987000E+000
 1.3310774E+001, 1.3622561E+000, 2.2407859E-004,-6.7995636E+000
 1.3401073E+001, 1.3603069E+000, 2.2383218E-004,-6.8010723E+000
 1.3504271E+001, 1.3508070E+000, 2.2345080E-004,-6.8040104E+000
 1.3607470E+001, 1.3514377E+000, 2.2312147E-004,-6.8064768E+000
 1.3710668E+001, 1.3509594E+000, 2.2282884E-004,-6.8082049E+000
