m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 4.350E+01, 5.715E+02
 3.000E-02, 4.978E+01, 6.082E+02
 5.000E-02, 5.430E+01, 6.324E+02
 7.000E-02, 5.702E+01, 6.461E+02
 9.000E-02, 5.813E+01, 6.517E+02
 1.100E-01, 5.819E+01, 6.520E+02
 1.300E-01, 5.769E+01, 6.495E+02
 1.500E-01, 5.692E+01, 6.457E+02
 1.700E-01, 5.606E+01, 6.414E+02
 1.900E-01, 5.516E+01, 6.368E+02
 2.100E-01, 5.424E+01, 6.321E+02
 2.300E-01, 5.333E+01, 6.273E+02
 2.500E-01, 5.242E+01, 6.224E+02
 2.700E-01, 5.148E+01, 6.173E+02
 2.900E-01, 5.051E+01, 6.120E+02
 3.100E-01, 4.955E+01, 6.065E+02
 3.300E-01, 4.858E+01, 6.009E+02
 3.500E-01, 4.760E+01, 5.951E+02
 3.700E-01, 4.660E+01, 5.891E+02
 3.900E-01, 4.559E+01, 5.830E+02
 4.100E-01, 4.457E+01, 5.766E+02
 4.300E-01, 4.354E+01, 5.700E+02
 4.500E-01, 4.249E+01, 5.632E+02
 4.700E-01, 4.143E+01, 5.561E+02
 4.900E-01, 4.035E+01, 5.488E+02
 5.100E-01, 3.926E+01, 5.411E+02
 5.300E-01, 3.817E+01, 5.333E+02
 5.500E-01, 3.706E+01, 5.252E+02
 5.700E-01, 3.593E+01, 5.167E+02
 5.900E-01, 3.480E+01, 5.080E+02
 6.100E-01, 3.365E+01, 4.990E+02
 6.300E-01, 3.251E+01, 4.897E+02
 6.500E-01, 3.137E+01, 4.802E+02
 6.700E-01, 3.024E+01, 4.705E+02
 6.900E-01, 2.911E+01, 4.604E+02
 7.100E-01, 2.800E+01, 4.503E+02
 7.300E-01, 2.690E+01, 4.400E+02
 7.500E-01, 2.581E+01, 4.295E+02
 7.700E-01, 2.475E+01, 4.189E+02
 7.900E-01, 2.371E+01, 4.083E+02
 8.100E-01, 2.269E+01, 3.976E+02
 8.300E-01, 2.171E+01, 3.869E+02
 8.500E-01, 2.075E+01, 3.761E+02
 8.700E-01, 1.982E+01, 3.654E+02
 8.900E-01, 1.893E+01, 3.547E+02
 9.100E-01, 1.805E+01, 3.440E+02
 9.300E-01, 1.721E+01, 3.333E+02
 9.500E-01, 1.639E+01, 3.227E+02
 9.700E-01, 1.561E+01, 3.122E+02
 9.900E-01, 1.485E+01, 3.018E+02
 1.010E+00, 1.412E+01, 2.916E+02
 1.030E+00, 1.342E+01, 2.815E+02
 1.050E+00, 1.275E+01, 2.716E+02
 1.070E+00, 1.211E+01, 2.620E+02
 1.090E+00, 1.150E+01, 2.527E+02
 1.110E+00, 1.092E+01, 2.435E+02
 1.130E+00, 1.037E+01, 2.346E+02
 1.150E+00, 9.840E+00, 2.258E+02
 1.170E+00, 9.339E+00, 2.174E+02
 1.190E+00, 8.868E+00, 2.093E+02
 1.210E+00, 8.421E+00, 2.014E+02
 1.230E+00, 7.999E+00, 1.938E+02
 1.250E+00, 7.600E+00, 1.865E+02
 1.270E+00, 7.226E+00, 1.796E+02
 1.290E+00, 6.875E+00, 1.730E+02
 1.310E+00, 6.548E+00, 1.668E+02
 1.330E+00, 6.242E+00, 1.609E+02
 1.350E+00, 5.957E+00, 1.553E+02
 1.370E+00, 5.690E+00, 1.500E+02
