m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 4.370E+01, 5.753E+02
 3.000E-02, 4.625E+01, 5.909E+02
 5.000E-02, 4.562E+01, 5.876E+02
 7.000E-02, 4.300E+01, 5.720E+02
 9.000E-02, 3.937E+01, 5.488E+02
 1.100E-01, 3.544E+01, 5.217E+02
 1.300E-01, 3.165E+01, 4.932E+02
 1.500E-01, 2.820E+01, 4.648E+02
 1.700E-01, 2.516E+01, 4.373E+02
 1.900E-01, 2.252E+01, 4.111E+02
 2.100E-01, 2.023E+01, 3.863E+02
 2.300E-01, 1.824E+01, 3.627E+02
 2.500E-01, 1.650E+01, 3.405E+02
 2.700E-01, 1.496E+01, 3.195E+02
 2.900E-01, 1.361E+01, 2.999E+02
 3.100E-01, 1.242E+01, 2.814E+02
 3.300E-01, 1.135E+01, 2.642E+02
 3.500E-01, 1.041E+01, 2.480E+02
 3.700E-01, 9.551E+00, 2.328E+02
 3.900E-01, 8.777E+00, 2.185E+02
 4.100E-01, 8.080E+00, 2.053E+02
 4.300E-01, 7.455E+00, 1.929E+02
 4.500E-01, 6.890E+00, 1.815E+02
 4.700E-01, 6.378E+00, 1.710E+02
 4.900E-01, 5.913E+00, 1.612E+02
 5.100E-01, 5.490E+00, 1.521E+02
 5.300E-01, 5.104E+00, 1.437E+02
 5.500E-01, 4.751E+00, 1.359E+02
 5.700E-01, 4.431E+00, 1.288E+02
 5.900E-01, 4.137E+00, 1.222E+02
 6.100E-01, 3.870E+00, 1.161E+02
 6.300E-01, 3.627E+00, 1.104E+02
 6.500E-01, 3.404E+00, 1.052E+02
 6.700E-01, 3.201E+00, 1.004E+02
 6.900E-01, 3.016E+00, 9.598E+01
 7.100E-01, 2.847E+00, 9.194E+01
 7.300E-01, 2.692E+00, 8.821E+01
 7.500E-01, 2.551E+00, 8.481E+01
 7.700E-01, 2.423E+00, 8.168E+01
 7.900E-01, 2.306E+00, 7.880E+01
 8.100E-01, 2.197E+00, 7.614E+01
 8.300E-01, 2.096E+00, 7.366E+01
 8.500E-01, 2.002E+00, 7.136E+01
 8.700E-01, 1.914E+00, 6.921E+01
 8.900E-01, 1.833E+00, 6.721E+01
 9.100E-01, 1.758E+00, 6.535E+01
 9.300E-01, 1.689E+00, 6.363E+01
 9.500E-01, 1.626E+00, 6.203E+01
 9.700E-01, 1.568E+00, 6.057E+01
 9.900E-01, 1.514E+00, 5.922E+01
 1.010E+00, 1.465E+00, 5.796E+01
 1.030E+00, 1.419E+00, 5.679E+01
 1.050E+00, 1.375E+00, 5.569E+01
 1.070E+00, 1.334E+00, 5.465E+01
 1.090E+00, 1.296E+00, 5.369E+01
 1.110E+00, 1.261E+00, 5.279E+01
 1.130E+00, 1.228E+00, 5.194E+01
 1.150E+00, 1.196E+00, 5.114E+01
 1.170E+00, 1.165E+00, 5.037E+01
 1.190E+00, 1.136E+00, 4.964E+01
 1.210E+00, 1.110E+00, 4.895E+01
 1.230E+00, 1.084E+00, 4.829E+01
 1.250E+00, 1.060E+00, 4.765E+01
 1.270E+00, 1.037E+00, 4.704E+01
 1.290E+00, 1.015E+00, 4.645E+01
 1.310E+00, 9.943E-01, 4.589E+01
 1.330E+00, 9.738E-01, 4.535E+01
 1.350E+00, 9.535E-01, 4.483E+01
 1.370E+00, 9.338E-01, 4.432E+01
 1.390E+00, 9.149E-01, 4.384E+01
 1.410E+00, 8.970E-01, 4.338E+01
 1.430E+00, 8.795E-01, 4.294E+01
 1.450E+00, 8.625E-01, 4.251E+01
 1.470E+00, 8.458E-01, 4.209E+01
 1.490E+00, 8.296E-01, 4.168E+01
 1.510E+00, 8.138E-01, 4.129E+01
 1.530E+00, 7.979E-01, 4.089E+01
 1.550E+00, 7.824E-01, 4.049E+01
 1.570E+00, 7.671E-01, 4.011E+01
 1.590E+00, 7.524E-01, 3.974E+01
 1.610E+00, 7.378E-01, 3.938E+01
 1.630E+00, 7.236E-01, 3.903E+01
 1.650E+00, 7.098E-01, 3.870E+01
 1.670E+00, 6.968E-01, 3.838E+01
 1.690E+00, 6.846E-01, 3.808E+01
 1.710E+00, 6.732E-01, 3.780E+01
 1.730E+00, 6.625E-01, 3.753E+01
 1.750E+00, 6.522E-01, 3.727E+01
 1.770E+00, 6.422E-01, 3.702E+01
 1.790E+00, 6.325E-01, 3.678E+01
 1.810E+00, 6.232E-01, 3.654E+01
 1.830E+00, 6.140E-01, 3.632E+01
 1.850E+00, 6.051E-01, 3.610E+01
 1.870E+00, 5.965E-01, 3.589E+01
 1.890E+00, 5.882E-01, 3.569E+01
 1.910E+00, 5.804E-01, 3.550E+01
 1.930E+00, 5.728E-01, 3.531E+01
 1.950E+00, 5.655E-01, 3.512E+01
 1.970E+00, 5.583E-01, 3.494E+01
 1.990E+00, 5.513E-01, 3.476E+01
 2.010E+00, 5.446E-01, 3.458E+01
 2.030E+00, 5.381E-01, 3.440E+01
 2.050E+00, 5.319E-01, 3.423E+01
 2.070E+00, 5.257E-01, 3.405E+01
 2.090E+00, 5.196E-01, 3.388E+01
 2.110E+00, 5.135E-01, 3.371E+01
 2.130E+00, 5.075E-01, 3.354E+01
 2.150E+00, 5.015E-01, 3.338E+01
 2.170E+00, 4.954E-01, 3.321E+01
 2.190E+00, 4.894E-01, 3.305E+01
 2.210E+00, 4.834E-01, 3.288E+01
 2.230E+00, 4.777E-01, 3.273E+01
 2.250E+00, 4.722E-01, 3.258E+01
 2.270E+00, 4.668E-01, 3.244E+01
 2.290E+00, 4.613E-01, 3.229E+01
 2.310E+00, 4.556E-01, 3.215E+01
 2.330E+00, 4.497E-01, 3.201E+01
 2.350E+00, 4.437E-01, 3.186E+01
 2.370E+00, 4.373E-01, 3.171E+01
 2.390E+00, 4.306E-01, 3.155E+01
 2.410E+00, 4.239E-01, 3.139E+01
 2.430E+00, 4.190E-01, 3.129E+01
