m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 6.279E+01, 6.746E+02
 3.000E-02, 6.946E+01, 7.039E+02
 5.000E-02, 7.212E+01, 7.150E+02
 7.000E-02, 7.199E+01, 7.145E+02
 9.000E-02, 6.988E+01, 7.058E+02
 1.100E-01, 6.670E+01, 6.922E+02
 1.300E-01, 6.313E+01, 6.764E+02
 1.500E-01, 5.957E+01, 6.599E+02
 1.700E-01, 5.618E+01, 6.434E+02
 1.900E-01, 5.301E+01, 6.272E+02
 2.100E-01, 5.004E+01, 6.113E+02
 2.300E-01, 4.722E+01, 5.954E+02
 2.500E-01, 4.453E+01, 5.794E+02
 2.700E-01, 4.201E+01, 5.635E+02
 2.900E-01, 3.964E+01, 5.478E+02
 3.100E-01, 3.740E+01, 5.321E+02
 3.300E-01, 3.527E+01, 5.163E+02
 3.500E-01, 3.325E+01, 5.007E+02
 3.700E-01, 3.134E+01, 4.851E+02
 3.900E-01, 2.954E+01, 4.697E+02
 4.100E-01, 2.782E+01, 4.543E+02
 4.300E-01, 2.620E+01, 4.390E+02
 4.500E-01, 2.466E+01, 4.238E+02
 4.700E-01, 2.320E+01, 4.087E+02
 4.900E-01, 2.180E+01, 3.935E+02
 5.100E-01, 2.046E+01, 3.785E+02
 5.300E-01, 1.919E+01, 3.635E+02
 5.500E-01, 1.799E+01, 3.487E+02
 5.700E-01, 1.686E+01, 3.341E+02
 5.900E-01, 1.578E+01, 3.197E+02
 6.100E-01, 1.476E+01, 3.056E+02
 6.300E-01, 1.380E+01, 2.917E+02
 6.500E-01, 1.290E+01, 2.782E+02
 6.700E-01, 1.207E+01, 2.651E+02
 6.900E-01, 1.130E+01, 2.526E+02
 7.100E-01, 1.058E+01, 2.407E+02
 7.300E-01, 9.922E+00, 2.293E+02
 7.500E-01, 9.307E+00, 2.184E+02
 7.700E-01, 8.733E+00, 2.080E+02
 7.900E-01, 8.199E+00, 1.982E+02
 8.100E-01, 7.700E+00, 1.888E+02
 8.300E-01, 7.236E+00, 1.799E+02
 8.500E-01, 6.803E+00, 1.715E+02
 8.700E-01, 6.400E+00, 1.636E+02
 8.900E-01, 6.027E+00, 1.562E+02
 9.100E-01, 5.683E+00, 1.493E+02
 9.300E-01, 5.366E+00, 1.428E+02
 9.500E-01, 5.075E+00, 1.368E+02
 9.700E-01, 4.807E+00, 1.312E+02
 9.900E-01, 4.560E+00, 1.260E+02
 1.010E+00, 4.332E+00, 1.211E+02
 1.030E+00, 4.121E+00, 1.166E+02
 1.050E+00, 3.924E+00, 1.123E+02
 1.070E+00, 3.741E+00, 1.083E+02
 1.090E+00, 3.570E+00, 1.046E+02
 1.110E+00, 3.410E+00, 1.011E+02
 1.130E+00, 3.262E+00, 9.782E+01
 1.150E+00, 3.125E+00, 9.479E+01
 1.170E+00, 2.999E+00, 9.198E+01
 1.190E+00, 2.882E+00, 8.936E+01
 1.210E+00, 2.773E+00, 8.691E+01
 1.230E+00, 2.672E+00, 8.461E+01
 1.250E+00, 2.578E+00, 8.246E+01
 1.270E+00, 2.490E+00, 8.044E+01
 1.290E+00, 2.409E+00, 7.857E+01
 1.310E+00, 2.333E+00, 7.681E+01
 1.330E+00, 2.262E+00, 7.515E+01
 1.350E+00, 2.197E+00, 7.359E+01
 1.370E+00, 2.134E+00, 7.212E+01
 1.390E+00, 2.076E+00, 7.072E+01
 1.410E+00, 2.020E+00, 6.940E+01
 1.430E+00, 1.967E+00, 6.814E+01
 1.450E+00, 1.916E+00, 6.695E+01
 1.470E+00, 1.869E+00, 6.582E+01
 1.490E+00, 1.823E+00, 6.474E+01
 1.510E+00, 1.779E+00, 6.370E+01
 1.530E+00, 1.736E+00, 6.269E+01
 1.550E+00, 1.695E+00, 6.171E+01
 1.570E+00, 1.655E+00, 6.077E+01
 1.590E+00, 1.617E+00, 5.988E+01
 1.610E+00, 1.582E+00, 5.905E+01
 1.630E+00, 1.549E+00, 5.827E+01
 1.650E+00, 1.518E+00, 5.753E+01
 1.670E+00, 1.488E+00, 5.683E+01
 1.690E+00, 1.459E+00, 5.614E+01
 1.710E+00, 1.430E+00, 5.546E+01
 1.730E+00, 1.401E+00, 5.478E+01
 1.750E+00, 1.373E+00, 5.412E+01
 1.770E+00, 1.346E+00, 5.349E+01
 1.790E+00, 1.319E+00, 5.288E+01
 1.810E+00, 1.293E+00, 5.229E+01
 1.830E+00, 1.268E+00, 5.171E+01
 1.850E+00, 1.243E+00, 5.115E+01
 1.870E+00, 1.219E+00, 5.060E+01
 1.890E+00, 1.196E+00, 5.007E+01
 1.910E+00, 1.174E+00, 4.955E+01
 1.930E+00, 1.153E+00, 4.906E+01
 1.950E+00, 1.134E+00, 4.859E+01
 1.970E+00, 1.116E+00, 4.815E+01
 1.990E+00, 1.098E+00, 4.772E+01
 2.010E+00, 1.082E+00, 4.732E+01
 2.030E+00, 1.066E+00, 4.692E+01
 2.050E+00, 1.052E+00, 4.654E+01
 2.070E+00, 1.036E+00, 4.615E+01
