m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 5.340E+01, 6.310E+02
 3.000E-02, 5.524E+01, 6.408E+02
 5.000E-02, 5.271E+01, 6.280E+02
 7.000E-02, 4.820E+01, 6.035E+02
 9.000E-02, 4.295E+01, 5.727E+02
 1.100E-01, 3.776E+01, 5.390E+02
 1.300E-01, 3.308E+01, 5.051E+02
 1.500E-01, 2.904E+01, 4.725E+02
 1.700E-01, 2.563E+01, 4.419E+02
 1.900E-01, 2.275E+01, 4.133E+02
 2.100E-01, 2.030E+01, 3.866E+02
 2.300E-01, 1.819E+01, 3.613E+02
 2.500E-01, 1.635E+01, 3.373E+02
 2.700E-01, 1.474E+01, 3.148E+02
 2.900E-01, 1.333E+01, 2.937E+02
 3.100E-01, 1.209E+01, 2.740E+02
 3.300E-01, 1.099E+01, 2.556E+02
 3.500E-01, 1.001E+01, 2.386E+02
 3.700E-01, 9.141E+00, 2.230E+02
 3.900E-01, 8.376E+00, 2.087E+02
 4.100E-01, 7.699E+00, 1.957E+02
 4.300E-01, 7.097E+00, 1.838E+02
 4.500E-01, 6.559E+00, 1.729E+02
 4.700E-01, 6.076E+00, 1.628E+02
 4.900E-01, 5.637E+00, 1.535E+02
 5.100E-01, 5.237E+00, 1.449E+02
 5.300E-01, 4.870E+00, 1.369E+02
 5.500E-01, 4.533E+00, 1.295E+02
 5.700E-01, 4.223E+00, 1.226E+02
 5.900E-01, 3.939E+00, 1.162E+02
 6.100E-01, 3.679E+00, 1.103E+02
 6.300E-01, 3.440E+00, 1.049E+02
 6.500E-01, 3.221E+00, 9.989E+01
 6.700E-01, 3.019E+00, 9.525E+01
 6.900E-01, 2.834E+00, 9.098E+01
 7.100E-01, 2.666E+00, 8.705E+01
 7.300E-01, 2.513E+00, 8.345E+01
 7.500E-01, 2.373E+00, 8.014E+01
 7.700E-01, 2.247E+00, 7.715E+01
 7.900E-01, 2.134E+00, 7.444E+01
 8.100E-01, 2.032E+00, 7.198E+01
 8.300E-01, 1.939E+00, 6.973E+01
 8.500E-01, 1.855E+00, 6.768E+01
 8.700E-01, 1.777E+00, 6.580E+01
 8.900E-01, 1.707E+00, 6.409E+01
 9.100E-01, 1.643E+00, 6.251E+01
 9.300E-01, 1.585E+00, 6.106E+01
 9.500E-01, 1.531E+00, 5.973E+01
 9.700E-01, 1.482E+00, 5.849E+01
 9.900E-01, 1.437E+00, 5.734E+01
 1.010E+00, 1.394E+00, 5.626E+01
 1.030E+00, 1.354E+00, 5.525E+01
 1.050E+00, 1.316E+00, 5.428E+01
 1.070E+00, 1.279E+00, 5.336E+01
 1.090E+00, 1.245E+00, 5.249E+01
 1.110E+00, 1.213E+00, 5.166E+01
 1.130E+00, 1.182E+00, 5.088E+01
 1.150E+00, 1.154E+00, 5.014E+01
 1.170E+00, 1.127E+00, 4.944E+01
 1.190E+00, 1.102E+00, 4.878E+01
 1.210E+00, 1.078E+00, 4.816E+01
 1.230E+00, 1.055E+00, 4.757E+01
 1.250E+00, 1.033E+00, 4.701E+01
 1.270E+00, 1.012E+00, 4.647E+01
 1.290E+00, 9.917E-01, 4.595E+01
 1.310E+00, 9.726E-01, 4.546E+01
 1.330E+00, 9.543E-01, 4.499E+01
 1.350E+00, 9.366E-01, 4.452E+01
 1.370E+00, 9.193E-01, 4.406E+01
 1.390E+00, 9.024E-01, 4.361E+01
 1.410E+00, 8.855E-01, 4.317E+01
 1.430E+00, 8.687E-01, 4.273E+01
 1.450E+00, 8.520E-01, 4.230E+01
 1.470E+00, 8.356E-01, 4.188E+01
 1.490E+00, 8.197E-01, 4.148E+01
