s,kW/m2,,
Time,"flux","d43","w"
 0.0000000E+000, 1.9665845E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 1.9665899E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 1.9665968E+000, 0.0000000E+000, 0.0000000E+000
 3.5000000E-001, 1.9666105E+000, 0.0000000E+000, 0.0000000E+000
 4.5000000E-001, 1.9666311E+000, 0.0000000E+000, 0.0000000E+000
 5.5000000E-001, 1.9666506E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-001, 1.9666703E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-001, 1.9666835E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-001, 1.9667062E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-001, 1.9667293E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 1.9667524E+000, 0.0000000E+000, 0.0000000E+000
 1.1000000E+000, 1.9667756E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E+000, 1.9667994E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E+000, 1.9668237E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E+000, 1.9668482E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 1.9668728E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E+000, 1.9668972E+000, 0.0000000E+000, 0.0000000E+000
 1.7000000E+000, 1.9669219E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E+000, 1.9669472E+000, 0.0000000E+000, 0.0000000E+000
 1.9000000E+000, 1.9669727E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 1.9669982E+000, 0.0000000E+000, 0.0000000E+000
 2.1000000E+000, 1.9670233E+000, 0.0000000E+000, 0.0000000E+000
 2.2500000E+000, 1.9670538E+000, 0.0000000E+000, 0.0000000E+000
 2.3500000E+000, 1.9670872E+000, 0.0000000E+000, 0.0000000E+000
 2.4500000E+000, 1.9671133E+000, 0.0000000E+000, 0.0000000E+000
 2.5500000E+000, 1.9671394E+000, 0.0000000E+000, 0.0000000E+000
 2.6500000E+000, 1.9671646E+000, 0.0000000E+000, 0.0000000E+000
 2.7500000E+000, 1.9671904E+000, 0.0000000E+000, 0.0000000E+000
 2.8500000E+000, 1.9672166E+000, 0.0000000E+000, 0.0000000E+000
 2.9500000E+000, 1.9672429E+000, 0.0000000E+000, 0.0000000E+000
 3.0500000E+000, 1.9672697E+000, 0.0000000E+000, 0.0000000E+000
 3.1500000E+000, 1.9672956E+000, 0.0000000E+000, 0.0000000E+000
 3.2500000E+000, 1.9673212E+000, 0.0000000E+000, 0.0000000E+000
 3.3500000E+000, 1.9673475E+000, 0.0000000E+000, 0.0000000E+000
 3.4500000E+000, 1.9673740E+000, 0.0000000E+000, 0.0000000E+000
 3.5500000E+000, 1.9674009E+000, 0.0000000E+000, 0.0000000E+000
 3.6500000E+000, 1.9674276E+000, 0.0000000E+000, 0.0000000E+000
 3.7500000E+000, 1.9674531E+000, 0.0000000E+000, 0.0000000E+000
 3.8500000E+000, 1.9674791E+000, 0.0000000E+000, 0.0000000E+000
 3.9500000E+000, 1.9675058E+000, 0.0000000E+000, 0.0000000E+000
 4.0500000E+000, 1.9636420E+000, 0.0000000E+000, 0.0000000E+000
 4.1500000E+000, 1.6064791E+000, 0.0000000E+000, 0.0000000E+000
 4.2500000E+000, 1.1814474E+000, 1.8759110E-004,-2.7446781E+000
 4.3443810E+000, 8.1509286E-001, 3.7949515E-004,-5.7517666E+000
 4.4081904E+000, 3.5929321E-001, 3.4003954E-004,-4.3381449E+000
 4.5236382E+000, 3.4001431E-003, 2.5060763E-004,-2.3379836E+000
 4.6235718E+000, 2.4048723E-003, 2.2329952E-004,-2.6332917E+000
 4.7235054E+000, 9.9089843E-004, 2.1111608E-004,-3.1816308E+000
 4.8122148E+000, 6.5577316E-004, 2.0207122E-004,-3.3072978E+000
 4.9184247E+000, 5.4181969E-004, 1.9384789E-004,-3.3782203E+000
 5.0033927E+000, 4.9227967E-004, 1.9439212E-004,-3.4244429E+000
 5.1096027E+000, 4.5976264E-004, 1.9284738E-004,-3.4807098E+000
 5.2158127E+000, 4.3257711E-004, 1.9243000E-004,-3.5408372E+000
 5.3007807E+000, 4.2472435E-004, 1.9148128E-004,-3.5710516E+000
 5.4069907E+000, 4.2404798E-004, 1.9067341E-004,-3.5843757E+000
 5.5132007E+000, 4.3412108E-004, 1.9180416E-004,-3.5952644E+000
 5.6045413E+000, 4.3587645E-004, 1.9252393E-004,-3.6180560E+000
 5.7213722E+000, 4.3597785E-004, 1.9432874E-004,-3.6300942E+000
 5.8148370E+000, 4.3709562E-004, 1.9573957E-004,-3.6404549E+000
 5.9083018E+000, 4.4223992E-004, 1.9748162E-004,-3.6536544E+000
 6.0017666E+000, 4.4477338E-004, 1.9922810E-004,-3.6598661E+000
 6.1185976E+000, 4.4349783E-004, 2.0134886E-004,-3.6653164E+000
 6.2120624E+000, 4.3543279E-004, 2.0185842E-004,-3.6735761E+000
 6.3055272E+000, 4.2890035E-004, 2.0213948E-004,-3.6784174E+000
 6.4223582E+000, 4.1936634E-004, 2.0222571E-004,-3.6803211E+000
 6.5158229E+000, 4.0718690E-004, 2.0283371E-004,-3.6815429E+000
 6.6092877E+000, 3.9884040E-004, 2.0266687E-004,-3.6890179E+000
 6.7027525E+000, 3.9145417E-004, 2.0324611E-004,-3.6902403E+000
 6.8195835E+000, 3.8455574E-004, 2.0433640E-004,-3.6949052E+000
 6.9130483E+000, 3.8080449E-004, 2.0429334E-004,-3.6972206E+000
 7.0065131E+000, 3.7512471E-004, 2.0454084E-004,-3.6987294E+000
 7.1233441E+000, 3.6719435E-004, 2.0539759E-004,-3.7015736E+000
