cm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,K,K,K,K,K,K,K,K,K,K,K,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,C,C,C,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m,kW/m2,m,kW/m2
r,Up2,Up4,Up6,Up8,Up10,Up12,Up14,Up16,Up18,Up20,Up30,Wp2,Wp4,Wp6,Wp8,Wp10,Wp12,Wp14,Wp16,Wp18,Wp20,Wp30,Tp2,Tp4,Tp6,Tp8,Tp10,Tp12,Tp14,Tp16,Tp18,Tp20,Tp30,Urms2,Urms4,Urms6,Urms8,Urms10,Urms12,Urms14,Urms16,Urms18,Urms20,Urms30,Wrms2,Wrms4,Wrms6,Wrms8,Wrms10,Wrms12,Wrms14,Wrms16,Wrms18,Wrms20,Wrms30,Trms2,Trms4,Trms6,Trms8,Trms10,Trms12,Trms14,Trms16,Trms18,Trms20,Trms30,UW2,UW4,UW6,UW8,UW10,UW12,UW14,UW16,UW18,UW20,UW30,TW2,TW4,TW6,TW8,TW10,TW12,TW14,TW16,TW18,TW20,TW30,TU2,TU4,TU6,TU8,TU10,TU12,TU14,TU16,TU18,TU20,TU30,z_rad,HF_vert,r_rad,HF_hori
-4.0000000E+000,-2.1637233E-001,-2.8007076E-001,-2.7936020E-001,-2.5304433E-001,-2.0083984E-001,-1.5973693E-001,-1.1667788E-001,-9.0882138E-002,-6.0654069E-002,-4.5081997E-002, 1.1501277E-002, 3.1997425E-001, 7.1284462E-001, 1.1151300E+000, 1.4733289E+000, 1.7772039E+000, 2.0277279E+000, 2.2298270E+000, 2.3941661E+000, 2.5240839E+000, 2.6373825E+000, 3.0183964E+000, 5.7218380E+002, 8.6589550E+002, 1.0619538E+003, 1.1535932E+003, 1.1858797E+003, 1.1862678E+003, 1.1743707E+003, 1.1563886E+003, 1.1370712E+003, 1.1163504E+003, 1.0111377E+003, 3.4390851E-001, 3.1365523E-001, 3.1995653E-001, 3.2368085E-001, 3.3054459E-001, 3.4521225E-001, 3.6008987E-001, 3.7571260E-001, 3.9186682E-001, 4.0630579E-001, 4.9003331E-001, 1.6713096E-001, 2.1213761E-001, 2.6847321E-001, 3.2676343E-001, 3.9211455E-001, 4.7431003E-001, 5.6149373E-001, 6.5411527E-001, 7.5001639E-001, 8.2938966E-001, 1.0717063E+000, 1.1280437E+002, 2.1327990E+002, 2.1309263E+002, 1.9181794E+002, 1.8047911E+002, 1.8750677E+002, 2.0188042E+002, 2.1707733E+002, 2.3187983E+002, 2.4496276E+002, 2.7398044E+002,-1.1736089E-002,-2.5567857E-002,-2.7002795E-002,-1.6448393E-002,-8.2886053E-004, 1.8278671E-002, 4.2345846E-002, 6.7508095E-002, 9.2126421E-002, 1.2019771E-001, 2.1088528E-001, 2.4200987E+000, 1.7167885E+001, 2.9126385E+001, 3.4495539E+001, 4.0815061E+001, 5.4198311E+001, 7.3797621E+001, 9.6562308E+001, 1.2228612E+002, 1.4827434E+002, 2.2364264E+002,-2.2803893E+001,-3.5783674E+001,-2.7830785E+001,-1.2912160E+001, 9.5933569E-001, 1.2394406E+001, 2.1761350E+001, 2.9812805E+001, 3.7428518E+001, 4.4758522E+001, 6.1938004E+001, 0.0000000E+000, 6.4079856E-001, 1.6155494E-001, 2.4508525E+000
-3.0000000E+000,-2.1637233E-001,-2.8007076E-001,-2.7936020E-001,-2.5304433E-001,-2.0083984E-001,-1.5973693E-001,-1.1667788E-001,-9.0882138E-002,-6.0654069E-002,-4.5081997E-002, 1.1501277E-002, 3.1997425E-001, 7.1284462E-001, 1.1151300E+000, 1.4733289E+000, 1.7772039E+000, 2.0277279E+000, 2.2298270E+000, 2.3941661E+000, 2.5240839E+000, 2.6373825E+000, 3.0183964E+000, 5.7218380E+002, 8.6589550E+002, 1.0619538E+003, 1.1535932E+003, 1.1858797E+003, 1.1862678E+003, 1.1743707E+003, 1.1563886E+003, 1.1370712E+003, 1.1163504E+003, 1.0111377E+003, 3.4390851E-001, 3.1365523E-001, 3.1995653E-001, 3.2368085E-001, 3.3054459E-001, 3.4521225E-001, 3.6008987E-001, 3.7571260E-001, 3.9186682E-001, 4.0630579E-001, 4.9003331E-001, 1.6713096E-001, 2.1213761E-001, 2.6847321E-001, 3.2676343E-001, 3.9211455E-001, 4.7431003E-001, 5.6149373E-001, 6.5411527E-001, 7.5001639E-001, 8.2938966E-001, 1.0717063E+000, 1.1280437E+002, 2.1327990E+002, 2.1309263E+002, 1.9181794E+002, 1.8047911E+002, 1.8750677E+002, 2.0188042E+002, 2.1707733E+002, 2.3187983E+002, 2.4496276E+002, 2.7398044E+002,-1.1736089E-002,-2.5567857E-002,-2.7002795E-002,-1.6448393E-002,-8.2886053E-004, 1.8278671E-002, 4.2345846E-002, 6.7508095E-002, 9.2126421E-002, 1.2019771E-001, 2.1088528E-001, 2.4200987E+000, 1.7167885E+001, 2.9126385E+001, 3.4495539E+001, 4.0815061E+001, 5.4198311E+001, 7.3797621E+001, 9.6562308E+001, 1.2228612E+002, 1.4827434E+002, 2.2364264E+002,-2.2803893E+001,-3.5783674E+001,-2.7830785E+001,-1.2912160E+001, 9.5933569E-001, 1.2394406E+001, 2.1761350E+001, 2.9812805E+001, 3.7428518E+001, 4.4758522E+001, 6.1938004E+001, 2.0270270E-002, 6.7559107E-001, 1.7981858E-001, 2.4508525E+000
-2.0000000E+000,-2.1637233E-001,-2.8007076E-001,-2.7936020E-001,-2.5304433E-001,-2.0083984E-001,-1.5973693E-001,-1.1667788E-001,-9.0882138E-002,-6.0654069E-002,-4.5081997E-002, 1.1501277E-002, 3.1997425E-001, 7.1284462E-001, 1.1151300E+000, 1.4733289E+000, 1.7772039E+000, 2.0277279E+000, 2.2298270E+000, 2.3941661E+000, 2.5240839E+000, 2.6373825E+000, 3.0183964E+000, 5.7218380E+002, 8.6589550E+002, 1.0619538E+003, 1.1535932E+003, 1.1858797E+003, 1.1862678E+003, 1.1743707E+003, 1.1563886E+003, 1.1370712E+003, 1.1163504E+003, 1.0111377E+003, 3.4390851E-001, 3.1365523E-001, 3.1995653E-001, 3.2368085E-001, 3.3054459E-001, 3.4521225E-001, 3.6008987E-001, 3.7571260E-001, 3.9186682E-001, 4.0630579E-001, 4.9003331E-001, 1.6713096E-001, 2.1213761E-001, 2.6847321E-001, 3.2676343E-001, 3.9211455E-001, 4.7431003E-001, 5.6149373E-001, 6.5411527E-001, 7.5001639E-001, 8.2938966E-001, 1.0717063E+000, 1.1280437E+002, 2.1327990E+002, 2.1309263E+002, 1.9181794E+002, 1.8047911E+002, 1.8750677E+002, 2.0188042E+002, 2.1707733E+002, 2.3187983E+002, 2.4496276E+002, 2.7398044E+002,-1.1736089E-002,-2.5567857E-002,-2.7002795E-002,-1.6448393E-002,-8.2886053E-004, 1.8278671E-002, 4.2345846E-002, 6.7508095E-002, 9.2126421E-002, 1.2019771E-001, 2.1088528E-001, 2.4200987E+000, 1.7167885E+001, 2.9126385E+001, 3.4495539E+001, 4.0815061E+001, 5.4198311E+001, 7.3797621E+001, 9.6562308E+001, 1.2228612E+002, 1.4827434E+002, 2.2364264E+002,-2.2803893E+001,-3.5783674E+001,-2.7830785E+001,-1.2912160E+001, 9.5933569E-001, 1.2394406E+001, 2.1761350E+001, 2.9812805E+001, 3.7428518E+001, 4.4758522E+001, 6.1938004E+001, 4.0540541E-002, 6.9467759E-001, 1.9808808E-001, 2.0845631E+000
-1.0000000E+000,-9.8536367E-002,-1.3260599E-001,-1.4380535E-001,-1.3982795E-001,-1.1648152E-001,-9.5021667E-002,-7.1144771E-002,-5.4102599E-002,-3.5383750E-002,-2.5309855E-002, 1.2283369E-002, 2.6185021E-001, 6.0485821E-001, 9.9757888E-001, 1.3977228E+000, 1.7546894E+000, 2.0734797E+000, 2.3453157E+000, 2.5792591E+000, 2.7693081E+000, 2.9247773E+000, 3.3363580E+000, 5.0896214E+002, 7.2207165E+002, 9.1525631E+002, 1.0534672E+003, 1.1378173E+003, 1.1888769E+003, 1.2178976E+003, 1.2326395E+003, 1.2360254E+003, 1.2300508E+003, 1.1195362E+003, 3.3865639E-001, 3.2569051E-001, 3.4364744E-001, 3.5476970E-001, 3.5905390E-001, 3.6814335E-001, 3.8004061E-001, 3.8944414E-001, 4.0563569E-001, 4.2003862E-001, 5.0351662E-001, 1.4168703E-001, 1.8217685E-001, 2.3231824E-001, 2.7322657E-001, 3.1826059E-001, 3.7576201E-001, 4.3810043E-001, 4.9968074E-001, 5.7453981E-001, 6.5986963E-001, 1.0144045E+000, 6.8785217E+001, 1.5051927E+002, 1.9371805E+002, 1.9357200E+002, 1.7769576E+002, 1.6276248E+002, 1.5544417E+002, 1.5777394E+002, 1.6794619E+002, 1.8264263E+002, 2.4954097E+002,-7.5236751E-003,-1.7827975E-002,-2.5966699E-002,-2.8170355E-002,-2.4027532E-002,-1.6254913E-002,-6.3085476E-003, 4.0689187E-003, 1.6464080E-002, 3.0810961E-002, 7.7755661E-002, 1.2019102E+000, 1.0700150E+001, 2.3166807E+001, 2.8894985E+001, 3.0646734E+001, 3.2228357E+001, 3.6697103E+001, 4.4747164E+001, 5.7616248E+001, 7.5522794E+001, 1.8684482E+002,-9.9863117E+000,-2.1255894E+001,-2.5048075E+001,-2.1988970E+001,-1.6127441E+001,-9.4425160E+000,-2.7564923E+000, 2.8593899E+000, 7.9944733E+000, 1.3146257E+001, 2.7695672E+001, 6.0810811E-002, 7.2297096E-001, 2.1636197E-001, 1.6091980E+000
-2.0000000E-002,-9.8536367E-002,-1.3260599E-001,-1.4380535E-001,-1.3982795E-001,-1.1648152E-001,-9.5021667E-002,-7.1144771E-002,-5.4102599E-002,-3.5383750E-002,-2.5309855E-002, 1.2283369E-002, 2.6185021E-001, 6.0485821E-001, 9.9757888E-001, 1.3977228E+000, 1.7546894E+000, 2.0734797E+000, 2.3453157E+000, 2.5792591E+000, 2.7693081E+000, 2.9247773E+000, 3.3363580E+000, 5.0896214E+002, 7.2207165E+002, 9.1525631E+002, 1.0534672E+003, 1.1378173E+003, 1.1888769E+003, 1.2178976E+003, 1.2326395E+003, 1.2360254E+003, 1.2300508E+003, 1.1195362E+003, 3.3865639E-001, 3.2569051E-001, 3.4364744E-001, 3.5476970E-001, 3.5905390E-001, 3.6814335E-001, 3.8004061E-001, 3.8944414E-001, 4.0563569E-001, 4.2003862E-001, 5.0351662E-001, 1.4168703E-001, 1.8217685E-001, 2.3231824E-001, 2.7322657E-001, 3.1826059E-001, 3.7576201E-001, 4.3810043E-001, 4.9968074E-001, 5.7453981E-001, 6.5986963E-001, 1.0144045E+000, 6.8785217E+001, 1.5051927E+002, 1.9371805E+002, 1.9357200E+002, 1.7769576E+002, 1.6276248E+002, 1.5544417E+002, 1.5777394E+002, 1.6794619E+002, 1.8264263E+002, 2.4954097E+002,-7.5236751E-003,-1.7827975E-002,-2.5966699E-002,-2.8170355E-002,-2.4027532E-002,-1.6254913E-002,-6.3085476E-003, 4.0689187E-003, 1.6464080E-002, 3.0810961E-002, 7.7755661E-002, 1.2019102E+000, 1.0700150E+001, 2.3166807E+001, 2.8894985E+001, 3.0646734E+001, 3.2228357E+001, 3.6697103E+001, 4.4747164E+001, 5.7616248E+001, 7.5522794E+001, 1.8684482E+002,-9.9863117E+000,-2.1255894E+001,-2.5048075E+001,-2.1988970E+001,-1.6127441E+001,-9.4425160E+000,-2.7564923E+000, 2.8593899E+000, 7.9944733E+000, 1.3146257E+001, 2.7695672E+001, 8.1081081E-002, 7.4873437E-001, 2.3463920E-001, 1.4086643E+000
 1.0000000E+000,-9.0001944E-002,-1.0444818E-001,-1.1251436E-001,-1.0828690E-001,-9.3095782E-002,-7.5427938E-002,-5.7338205E-002,-4.0864646E-002,-2.8294169E-002,-1.6998154E-002, 6.4671534E-004, 2.6896721E-001, 6.0278086E-001, 9.8563758E-001, 1.3837037E+000, 1.7451786E+000, 2.0716568E+000, 2.3487225E+000, 2.5876671E+000, 2.7824151E+000, 2.9459285E+000, 3.3541615E+000, 5.1107205E+002, 7.2269570E+002, 9.0497976E+002, 1.0403332E+003, 1.1301602E+003, 1.1853040E+003, 1.2181304E+003, 1.2355355E+003, 1.2394799E+003, 1.2348103E+003, 1.1256014E+003, 3.2427651E-001, 3.2100479E-001, 3.4529274E-001, 3.5834075E-001, 3.6679006E-001, 3.7715053E-001, 3.8771685E-001, 3.9633796E-001, 4.0932561E-001, 4.2381565E-001, 5.0562205E-001, 1.3124077E-001, 1.7042323E-001, 2.2041670E-001, 2.6749292E-001, 3.1393575E-001, 3.6612777E-001, 4.2315589E-001, 4.8715017E-001, 5.5818710E-001, 6.2678243E-001, 1.0096917E+000, 6.6968596E+001, 1.5022456E+002, 1.8980823E+002, 1.9531535E+002, 1.8635384E+002, 1.7141668E+002, 1.5941762E+002, 1.5592567E+002, 1.6172674E+002, 1.7458426E+002, 2.4549163E+002,-3.5118948E-003,-1.1444580E-002,-2.1808000E-002,-2.7533800E-002,-2.5171202E-002,-1.6994477E-002,-5.1465828E-003, 9.0667542E-003, 2.2921565E-002, 3.3676808E-002, 6.9926516E-002, 6.6993770E-001, 7.7016061E+000, 1.9602972E+001, 2.7330374E+001, 3.0605403E+001, 3.2560843E+001, 3.5426675E+001, 4.1499200E+001, 5.2278737E+001, 6.6985177E+001, 1.8151412E+002,-6.0335180E+000,-1.6330324E+001,-2.0996593E+001,-1.9869438E+001,-1.4732002E+001,-7.7312454E+000,-6.0591581E-001, 6.1956772E+000, 1.2240819E+001, 1.6198540E+001, 2.3572369E+001, 1.0135135E-001, 7.6318315E-001, 2.5291907E-001, 1.2847323E+000
 2.0000000E+000,-2.0755111E-001,-2.5442900E-001,-2.5569961E-001,-2.2692445E-001,-1.8155761E-001,-1.4386053E-001,-1.0189584E-001,-7.2371651E-002,-4.7300398E-002,-2.9427474E-002, 1.9022295E-002, 3.1309743E-001, 6.9633446E-001, 1.0947859E+000, 1.4583486E+000, 1.7677552E+000, 2.0289130E+000, 2.2413330E+000, 2.4238156E+000, 2.5741597E+000, 2.7067602E+000, 3.1214311E+000, 5.6973830E+002, 8.5618399E+002, 1.0412229E+003, 1.1320098E+003, 1.1674654E+003, 1.1742735E+003, 1.1713389E+003, 1.1635319E+003, 1.1536420E+003, 1.1423717E+003, 1.0497828E+003, 3.6009395E-001, 3.3357328E-001, 3.3689620E-001, 3.4285615E-001, 3.4629378E-001, 3.5700568E-001, 3.6482255E-001, 3.7607874E-001, 3.9375221E-001, 4.0818513E-001, 4.9800265E-001, 1.6629254E-001, 2.1618409E-001, 2.7430147E-001, 3.2430109E-001, 3.8216997E-001, 4.5089571E-001, 5.2647561E-001, 6.0700301E-001, 6.9163987E-001, 7.6877480E-001, 1.0672095E+000, 1.0383324E+002, 2.0909641E+002, 2.2139943E+002, 2.0358122E+002, 1.8469848E+002, 1.8220165E+002, 1.9246894E+002, 2.0593729E+002, 2.1879742E+002, 2.3193975E+002, 2.7363606E+002,-1.2788071E-002,-2.9124453E-002,-3.4710572E-002,-2.7655566E-002,-9.2913036E-003, 1.2949428E-002, 3.5314287E-002, 5.9298820E-002, 8.4332441E-002, 1.0639564E-001, 1.8390070E-001, 2.1969999E+000, 1.8052431E+001, 3.1377873E+001, 3.7190290E+001, 4.0766090E+001, 4.9003908E+001, 6.2987228E+001, 8.1633844E+001, 1.0330252E+002, 1.2695460E+002, 2.2289325E+002,-1.9793623E+001,-3.9849565E+001,-3.5484856E+001,-2.1516135E+001,-4.7052862E+000, 9.7170386E+000, 1.9758995E+001, 2.7328342E+001, 3.4260021E+001, 3.9630032E+001, 5.4877497E+001, 1.2162162E-001, 7.6811574E-001, 2.7120103E-001, 1.1392153E+000
 3.0000000E+000,-2.0755111E-001,-2.5442900E-001,-2.5569961E-001,-2.2692445E-001,-1.8155761E-001,-1.4386053E-001,-1.0189584E-001,-7.2371651E-002,-4.7300398E-002,-2.9427474E-002, 1.9022295E-002, 3.1309743E-001, 6.9633446E-001, 1.0947859E+000, 1.4583486E+000, 1.7677552E+000, 2.0289130E+000, 2.2413330E+000, 2.4238156E+000, 2.5741597E+000, 2.7067602E+000, 3.1214311E+000, 5.6973830E+002, 8.5618399E+002, 1.0412229E+003, 1.1320098E+003, 1.1674654E+003, 1.1742735E+003, 1.1713389E+003, 1.1635319E+003, 1.1536420E+003, 1.1423717E+003, 1.0497828E+003, 3.6009395E-001, 3.3357328E-001, 3.3689620E-001, 3.4285615E-001, 3.4629378E-001, 3.5700568E-001, 3.6482255E-001, 3.7607874E-001, 3.9375221E-001, 4.0818513E-001, 4.9800265E-001, 1.6629254E-001, 2.1618409E-001, 2.7430147E-001, 3.2430109E-001, 3.8216997E-001, 4.5089571E-001, 5.2647561E-001, 6.0700301E-001, 6.9163987E-001, 7.6877480E-001, 1.0672095E+000, 1.0383324E+002, 2.0909641E+002, 2.2139943E+002, 2.0358122E+002, 1.8469848E+002, 1.8220165E+002, 1.9246894E+002, 2.0593729E+002, 2.1879742E+002, 2.3193975E+002, 2.7363606E+002,-1.2788071E-002,-2.9124453E-002,-3.4710572E-002,-2.7655566E-002,-9.2913036E-003, 1.2949428E-002, 3.5314287E-002, 5.9298820E-002, 8.4332441E-002, 1.0639564E-001, 1.8390070E-001, 2.1969999E+000, 1.8052431E+001, 3.1377873E+001, 3.7190290E+001, 4.0766090E+001, 4.9003908E+001, 6.2987228E+001, 8.1633844E+001, 1.0330252E+002, 1.2695460E+002, 2.2289325E+002,-1.9793623E+001,-3.9849565E+001,-3.5484856E+001,-2.1516135E+001,-4.7052862E+000, 9.7170386E+000, 1.9758995E+001, 2.7328342E+001, 3.4260021E+001, 3.9630032E+001, 5.4877497E+001, 1.4189189E-001, 7.6919053E-001, 2.8948470E-001, 9.3896049E-001
 4.0000000E+000,-3.8061855E-001,-4.1121111E-001,-3.6967988E-001,-2.9827819E-001,-2.2410810E-001,-1.6627243E-001,-1.1171035E-001,-7.7182480E-002,-4.9433755E-002,-3.3045004E-002, 1.7956090E-002, 3.8640184E-001, 7.9042652E-001, 1.1302472E+000, 1.3863745E+000, 1.5901230E+000, 1.7591631E+000, 1.9059458E+000, 2.0374406E+000, 2.1547327E+000, 2.2595112E+000, 2.6282016E+000, 6.9362050E+002, 1.0401168E+003, 1.1357201E+003, 1.1246413E+003, 1.0870464E+003, 1.0501832E+003, 1.0220324E+003, 1.0006654E+003, 9.8397448E+002, 9.6848764E+002, 8.8875900E+002, 3.7562882E-001, 3.1250749E-001, 2.9716093E-001, 2.9574504E-001, 3.0246261E-001, 3.1864543E-001, 3.3358843E-001, 3.5214160E-001, 3.6834671E-001, 3.8486424E-001, 4.7110050E-001, 1.9036983E-001, 2.6593990E-001, 3.5768303E-001, 4.5606168E-001, 5.5215829E-001, 6.3971896E-001, 7.1300838E-001, 7.7514784E-001, 8.2905430E-001, 8.7759416E-001, 1.0805838E+000, 1.5236709E+002, 2.2097256E+002, 2.1356349E+002, 2.3093228E+002, 2.4901572E+002, 2.6138706E+002, 2.6834961E+002, 2.7253010E+002, 2.7568288E+002, 2.7749090E+002, 2.8018517E+002,-1.0892899E-002,-1.9862498E-002,-8.2399861E-003, 1.4895006E-002, 4.1150843E-002, 6.9593374E-002, 9.2300314E-002, 1.1398642E-001, 1.3681689E-001, 1.5483978E-001, 2.3455267E-001, 1.4714590E+000, 2.1381093E+001, 4.3795260E+001, 6.9492832E+001, 9.6861385E+001, 1.2205249E+002, 1.4347707E+002, 1.6108545E+002, 1.7590587E+002, 1.8783182E+002, 2.3264915E+002,-3.4065589E+001,-3.1881698E+001,-5.9350303E+000, 1.2952205E+001, 2.5427126E+001, 3.5193272E+001, 4.0976186E+001, 4.5708230E+001, 5.0507499E+001, 5.4413848E+001, 6.7528316E+001, 1.6216216E-001, 7.7012251E-001, 3.0776976E-001, 8.4262501E-001
