s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 7.869E+02, 1.824E-01
 2.032E+00, 6.905E+02, 3.819E-01
 3.161E+00, 6.905E+02, 5.836E-01
 4.064E+00, 6.905E+02, 7.891E-01
 5.067E+00, 6.905E+02, 9.731E-01
 6.052E+00, 6.905E+02, 1.168E+00
 7.001E+00, 6.905E+02, 1.366E+00
 8.013E+00, 6.905E+02, 1.590E+00
 9.025E+00, 6.905E+02, 1.836E+00
 1.004E+01, 6.905E+02, 2.080E+00
 1.105E+01, 6.913E+02, 2.190E+00
 1.202E+01, 6.905E+02, 2.137E+00
 1.302E+01, 6.905E+02, 2.096E+00
 1.401E+01, 6.905E+02, 2.103E+00
 1.506E+01, 6.905E+02, 2.092E+00
 1.607E+01, 6.909E+02, 2.057E+00
 1.708E+01, 6.905E+02, 2.048E+00
 1.805E+01, 6.905E+02, 2.058E+00
 1.903E+01, 6.905E+02, 2.025E+00
 2.005E+01, 6.922E+02, 1.935E+00
 2.102E+01, 6.946E+02, 1.866E+00
 2.205E+01, 6.928E+02, 1.830E+00
 2.306E+01, 6.905E+02, 1.807E+00
 2.403E+01, 6.905E+02, 1.817E+00
 2.504E+01, 6.907E+02, 1.888E+00
 2.601E+01, 6.908E+02, 1.950E+00
 2.703E+01, 6.920E+02, 1.938E+00
 2.802E+01, 6.952E+02, 1.918E+00
 2.906E+01, 6.933E+02, 1.887E+00
 3.004E+01, 6.905E+02, 1.796E+00
 3.100E+01, 6.905E+02, 1.743E+00
 3.200E+01, 6.905E+02, 1.814E+00
 3.301E+01, 6.905E+02, 1.907E+00
 3.401E+01, 6.905E+02, 1.929E+00
 3.501E+01, 6.905E+02, 1.951E+00
 3.600E+01, 6.905E+02, 1.984E+00
 3.701E+01, 6.910E+02, 1.986E+00
 3.806E+01, 6.915E+02, 1.858E+00
 3.902E+01, 6.911E+02, 1.668E+00
 4.005E+01, 6.908E+02, 1.803E+00
 4.100E+01, 6.938E+02, 2.101E+00
 4.208E+01, 6.968E+02, 1.922E+00
 4.302E+01, 6.998E+02, 1.834E+00
 4.403E+01, 7.057E+02, 2.014E+00
 4.504E+01, 7.118E+02, 2.177E+00
