s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 7.349E+02, 1.012E+00
 2.191E+00, 6.905E+02, 2.272E+00
 3.045E+00, 6.905E+02, 3.369E+00
 4.017E+00, 6.905E+02, 4.660E+00
 5.047E+00, 6.905E+02, 6.233E+00
 6.039E+00, 6.905E+02, 7.435E+00
 7.024E+00, 6.910E+02, 9.109E+00
 8.032E+00, 6.950E+02, 1.050E+01
 9.002E+00, 6.905E+02, 1.209E+01
 1.001E+01, 6.905E+02, 1.367E+01
 1.102E+01, 6.905E+02, 1.468E+01
 1.200E+01, 6.905E+02, 1.486E+01
 1.301E+01, 6.905E+02, 1.487E+01
 1.401E+01, 6.905E+02, 1.474E+01
 1.502E+01, 6.905E+02, 1.478E+01
 1.600E+01, 6.905E+02, 1.473E+01
 1.701E+01, 6.915E+02, 1.462E+01
 1.802E+01, 6.909E+02, 1.449E+01
 1.900E+01, 6.910E+02, 1.450E+01
 2.001E+01, 6.907E+02, 1.457E+01
 2.102E+01, 6.909E+02, 1.468E+01
 2.202E+01, 6.922E+02, 1.471E+01
 2.302E+01, 6.930E+02, 1.483E+01
 2.400E+01, 6.925E+02, 1.472E+01
 2.503E+01, 6.919E+02, 1.470E+01
 2.602E+01, 6.906E+02, 1.462E+01
 2.702E+01, 6.905E+02, 1.453E+01
 2.801E+01, 6.912E+02, 1.447E+01
 2.902E+01, 6.940E+02, 1.450E+01
 3.001E+01, 6.935E+02, 1.466E+01
 3.100E+01, 6.935E+02, 1.475E+01
 3.202E+01, 6.942E+02, 1.474E+01
 3.302E+01, 6.947E+02, 1.474E+01
 3.402E+01, 6.940E+02, 1.473E+01
 3.501E+01, 6.942E+02, 1.465E+01
 3.600E+01, 6.939E+02, 1.455E+01
 3.700E+01, 6.955E+02, 1.447E+01
 3.802E+01, 6.967E+02, 1.462E+01
 3.900E+01, 6.986E+02, 1.468E+01
 4.002E+01, 7.007E+02, 1.472E+01
 4.102E+01, 6.965E+02, 1.472E+01
 4.201E+01, 7.000E+02, 1.471E+01
 4.302E+01, 7.035E+02, 1.465E+01
 4.403E+01, 7.037E+02, 1.463E+01
 4.501E+01, 7.060E+02, 1.452E+01
