s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 7.869E+02, 2.952E-01
 2.032E+00, 6.905E+02, 6.755E-01
 3.161E+00, 6.905E+02, 1.064E+00
 4.042E+00, 6.905E+02, 1.358E+00
 5.052E+00, 6.905E+02, 1.493E+00
 6.008E+00, 6.905E+02, 1.631E+00
 7.028E+00, 6.905E+02, 1.818E+00
 8.075E+00, 6.905E+02, 1.976E+00
 9.038E+00, 6.905E+02, 2.178E+00
 1.002E+01, 6.905E+02, 2.421E+00
 1.103E+01, 6.920E+02, 2.457E+00
 1.205E+01, 6.909E+02, 2.439E+00
 1.303E+01, 6.916E+02, 2.413E+00
 1.407E+01, 6.907E+02, 2.345E+00
 1.507E+01, 6.935E+02, 2.309E+00
 1.603E+01, 6.917E+02, 2.366E+00
 1.704E+01, 6.905E+02, 2.375E+00
 1.802E+01, 6.905E+02, 2.285E+00
 1.906E+01, 6.905E+02, 2.253E+00
 2.001E+01, 6.905E+02, 2.401E+00
 2.104E+01, 6.907E+02, 2.469E+00
 2.206E+01, 6.938E+02, 2.327E+00
 2.305E+01, 6.918E+02, 2.352E+00
 2.406E+01, 6.905E+02, 2.398E+00
 2.501E+01, 6.905E+02, 2.451E+00
 2.603E+01, 6.905E+02, 2.451E+00
 2.704E+01, 6.905E+02, 2.434E+00
 2.805E+01, 6.905E+02, 2.356E+00
 2.904E+01, 6.905E+02, 2.343E+00
 3.001E+01, 6.905E+02, 2.459E+00
 3.102E+01, 6.905E+02, 2.225E+00
 3.204E+01, 6.905E+02, 2.301E+00
 3.305E+01, 6.909E+02, 2.453E+00
 3.400E+01, 6.905E+02, 2.347E+00
 3.502E+01, 6.905E+02, 2.353E+00
 3.600E+01, 6.905E+02, 2.438E+00
 3.704E+01, 6.905E+02, 2.417E+00
 3.806E+01, 6.905E+02, 2.237E+00
 3.905E+01, 6.905E+02, 2.418E+00
 4.004E+01, 6.905E+02, 2.577E+00
 4.103E+01, 6.905E+02, 2.500E+00
 4.206E+01, 6.905E+02, 2.489E+00
 4.301E+01, 6.905E+02, 2.592E+00
 4.402E+01, 6.907E+02, 2.524E+00
 4.504E+01, 6.909E+02, 2.313E+00
