s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 7.869E+02, 2.920E-01
 2.032E+00, 6.905E+02, 6.481E-01
 3.161E+00, 6.905E+02, 1.002E+00
 4.054E+00, 6.905E+02, 1.336E+00
 5.013E+00, 6.905E+02, 1.637E+00
 6.052E+00, 6.905E+02, 1.995E+00
 7.051E+00, 6.905E+02, 2.387E+00
 8.049E+00, 6.905E+02, 2.760E+00
 9.001E+00, 6.911E+02, 3.114E+00
 1.005E+01, 6.912E+02, 3.495E+00
 1.104E+01, 6.907E+02, 3.629E+00
 1.202E+01, 6.907E+02, 3.655E+00
 1.301E+01, 6.905E+02, 3.816E+00
 1.403E+01, 6.905E+02, 3.828E+00
 1.501E+01, 6.907E+02, 3.853E+00
 1.603E+01, 6.905E+02, 4.315E+00
 1.704E+01, 6.905E+02, 4.421E+00
 1.802E+01, 6.906E+02, 4.281E+00
 1.901E+01, 6.905E+02, 3.927E+00
 2.003E+01, 6.905E+02, 3.806E+00
 2.104E+01, 6.905E+02, 3.457E+00
 2.200E+01, 6.905E+02, 3.773E+00
 2.301E+01, 6.905E+02, 3.528E+00
 2.401E+01, 6.905E+02, 3.610E+00
 2.503E+01, 6.905E+02, 3.668E+00
 2.602E+01, 6.905E+02, 4.444E+00
 2.701E+01, 6.905E+02, 4.219E+00
 2.803E+01, 6.905E+02, 4.000E+00
 2.900E+01, 6.905E+02, 4.014E+00
 3.001E+01, 6.905E+02, 3.860E+00
 3.104E+01, 6.913E+02, 3.440E+00
 3.202E+01, 6.912E+02, 3.553E+00
 3.303E+01, 6.913E+02, 3.773E+00
 3.400E+01, 6.926E+02, 4.098E+00
 3.500E+01, 6.928E+02, 4.186E+00
 3.603E+01, 6.924E+02, 4.330E+00
 3.702E+01, 6.930E+02, 4.235E+00
 3.803E+01, 6.943E+02, 3.973E+00
 3.903E+01, 6.945E+02, 3.400E+00
 4.003E+01, 6.947E+02, 3.521E+00
 4.103E+01, 6.956E+02, 4.241E+00
 4.203E+01, 6.960E+02, 4.400E+00
 4.303E+01, 6.960E+02, 4.403E+00
 4.401E+01, 6.966E+02, 4.101E+00
 4.502E+01, 6.972E+02, 3.745E+00
