s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 7.869E+02, 1.819E-01
 2.032E+00, 6.905E+02, 3.825E-01
 3.161E+00, 6.905E+02, 5.790E-01
 4.061E+00, 6.905E+02, 7.646E-01
 5.007E+00, 6.905E+02, 9.317E-01
 6.007E+00, 6.905E+02, 1.110E+00
 7.045E+00, 6.905E+02, 1.301E+00
 8.002E+00, 6.905E+02, 1.503E+00
 9.004E+00, 6.907E+02, 1.723E+00
 1.004E+01, 6.909E+02, 1.954E+00
 1.103E+01, 6.905E+02, 2.047E+00
 1.202E+01, 6.905E+02, 2.027E+00
 1.301E+01, 6.909E+02, 2.016E+00
 1.402E+01, 6.906E+02, 2.022E+00
 1.503E+01, 6.910E+02, 2.062E+00
 1.602E+01, 6.906E+02, 2.160E+00
 1.701E+01, 6.909E+02, 2.252E+00
 1.802E+01, 6.910E+02, 2.263E+00
 1.904E+01, 6.906E+02, 2.244E+00
 2.000E+01, 6.929E+02, 2.236E+00
 2.100E+01, 6.905E+02, 2.232E+00
 2.203E+01, 6.905E+02, 2.216E+00
 2.302E+01, 6.905E+02, 2.200E+00
 2.402E+01, 6.905E+02, 2.208E+00
 2.500E+01, 6.905E+02, 2.225E+00
 2.601E+01, 6.905E+02, 2.240E+00
 2.702E+01, 6.905E+02, 2.274E+00
 2.803E+01, 6.905E+02, 2.312E+00
 2.901E+01, 6.905E+02, 2.301E+00
 3.003E+01, 6.905E+02, 2.185E+00
 3.101E+01, 6.905E+02, 2.051E+00
 3.201E+01, 6.910E+02, 2.073E+00
 3.302E+01, 6.909E+02, 2.083E+00
 3.403E+01, 6.924E+02, 1.959E+00
 3.502E+01, 6.922E+02, 1.878E+00
 3.602E+01, 6.929E+02, 1.870E+00
 3.701E+01, 6.923E+02, 1.915E+00
 3.802E+01, 6.933E+02, 1.980E+00
 3.901E+01, 6.941E+02, 2.022E+00
 4.002E+01, 6.958E+02, 2.060E+00
 4.102E+01, 6.955E+02, 2.114E+00
 4.203E+01, 6.962E+02, 2.125E+00
 4.303E+01, 6.960E+02, 2.078E+00
 4.400E+01, 6.966E+02, 2.092E+00
 4.502E+01, 6.969E+02, 2.174E+00
