s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 8.097E+02, 8.718E-01
 2.012E+00, 6.905E+02, 2.061E+00
 3.088E+00, 6.905E+02, 3.197E+00
 4.048E+00, 6.905E+02, 4.392E+00
 5.024E+00, 6.905E+02, 5.551E+00
 6.032E+00, 6.906E+02, 6.747E+00
 7.007E+00, 6.951E+02, 7.933E+00
 8.027E+00, 6.910E+02, 9.185E+00
 9.004E+00, 6.905E+02, 1.051E+01
 1.000E+01, 6.905E+02, 1.222E+01
 1.102E+01, 6.905E+02, 1.325E+01
 1.201E+01, 6.905E+02, 1.349E+01
 1.300E+01, 6.905E+02, 1.146E+01
 1.401E+01, 6.905E+02, 1.195E+01
 1.500E+01, 6.905E+02, 1.290E+01
 1.602E+01, 6.909E+02, 1.270E+01
 1.701E+01, 6.913E+02, 1.282E+01
 1.801E+01, 6.906E+02, 1.206E+01
 1.902E+01, 6.905E+02, 1.252E+01
 2.001E+01, 6.905E+02, 1.250E+01
 2.101E+01, 6.910E+02, 1.281E+01
 2.202E+01, 6.905E+02, 1.250E+01
 2.301E+01, 6.905E+02, 1.201E+01
 2.401E+01, 6.905E+02, 1.253E+01
 2.501E+01, 6.905E+02, 1.156E+01
 2.600E+01, 6.905E+02, 1.169E+01
 2.700E+01, 6.905E+02, 1.244E+01
 2.800E+01, 6.906E+02, 1.179E+01
 2.902E+01, 6.909E+02, 1.353E+01
 3.000E+01, 6.908E+02, 1.337E+01
 3.102E+01, 6.910E+02, 1.388E+01
 3.201E+01, 6.911E+02, 1.116E+01
 3.300E+01, 6.921E+02, 1.163E+01
 3.401E+01, 6.917E+02, 1.246E+01
 3.502E+01, 6.930E+02, 1.250E+01
 3.602E+01, 6.922E+02, 1.211E+01
 3.701E+01, 6.945E+02, 1.185E+01
 3.800E+01, 6.963E+02, 1.176E+01
 3.901E+01, 6.941E+02, 1.260E+01
 4.001E+01, 6.974E+02, 1.226E+01
 4.101E+01, 6.959E+02, 1.221E+01
 4.201E+01, 6.957E+02, 1.367E+01
 4.301E+01, 6.978E+02, 1.275E+01
 4.402E+01, 7.009E+02, 1.333E+01
 4.502E+01, 6.993E+02, 1.203E+01
