s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 7.825E+02, 9.231E-01
 2.012E+00, 6.905E+02, 2.556E+00
 3.125E+00, 6.905E+02, 4.072E+00
 4.089E+00, 6.905E+02, 5.742E+00
 5.020E+00, 6.905E+02, 7.225E+00
 6.057E+00, 6.911E+02, 8.763E+00
 7.015E+00, 6.970E+02, 1.034E+01
 8.046E+00, 6.961E+02, 1.189E+01
 9.033E+00, 6.905E+02, 1.350E+01
 1.002E+01, 6.905E+02, 1.497E+01
 1.103E+01, 6.905E+02, 1.565E+01
 1.201E+01, 6.905E+02, 1.575E+01
 1.303E+01, 6.905E+02, 1.601E+01
 1.401E+01, 6.907E+02, 1.606E+01
 1.503E+01, 6.907E+02, 1.601E+01
 1.601E+01, 6.919E+02, 1.618E+01
 1.703E+01, 6.916E+02, 1.623E+01
 1.802E+01, 6.913E+02, 1.610E+01
 1.903E+01, 6.948E+02, 1.616E+01
 2.002E+01, 6.956E+02, 1.613E+01
 2.102E+01, 6.975E+02, 1.617E+01
 2.202E+01, 6.925E+02, 1.619E+01
 2.302E+01, 6.934E+02, 1.619E+01
 2.403E+01, 6.947E+02, 1.619E+01
 2.503E+01, 6.986E+02, 1.619E+01
 2.602E+01, 6.959E+02, 1.619E+01
 2.701E+01, 6.977E+02, 1.619E+01
 2.801E+01, 6.996E+02, 1.616E+01
 2.902E+01, 7.041E+02, 1.620E+01
 3.001E+01, 7.085E+02, 1.619E+01
 3.100E+01, 7.065E+02, 1.620E+01
 3.201E+01, 7.178E+02, 1.619E+01
 3.301E+01, 7.013E+02, 1.617E+01
 3.402E+01, 7.210E+02, 1.619E+01
 3.501E+01, 7.264E+02, 1.620E+01
 3.600E+01, 7.264E+02, 1.620E+01
 3.700E+01, 7.194E+02, 1.619E+01
 3.802E+01, 7.174E+02, 1.618E+01
 3.901E+01, 7.247E+02, 1.617E+01
 4.002E+01, 7.270E+02, 1.619E+01
 4.101E+01, 7.286E+02, 1.621E+01
 4.201E+01, 7.316E+02, 1.621E+01
 4.302E+01, 7.297E+02, 1.620E+01
 4.402E+01, 7.299E+02, 1.621E+01
 4.500E+01, 7.330E+02, 1.619E+01
