s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.833E+02, 8.668E-01
 2.001E+00, 6.905E+02, 2.007E+00
 3.013E+00, 6.905E+02, 3.065E+00
 4.030E+00, 6.905E+02, 4.291E+00
 5.011E+00, 6.905E+02, 5.517E+00
 6.008E+00, 6.913E+02, 6.462E+00
 7.019E+00, 6.913E+02, 7.300E+00
 8.012E+00, 6.905E+02, 8.720E+00
 9.017E+00, 6.905E+02, 1.119E+01
 1.001E+01, 6.905E+02, 1.207E+01
 1.101E+01, 6.905E+02, 1.359E+01
 1.201E+01, 6.909E+02, 1.260E+01
 1.300E+01, 6.924E+02, 1.246E+01
 1.401E+01, 6.981E+02, 1.280E+01
 1.501E+01, 7.037E+02, 1.222E+01
 1.601E+01, 7.023E+02, 1.307E+01
 1.701E+01, 7.107E+02, 1.480E+01
 1.801E+01, 7.229E+02, 1.312E+01
 1.901E+01, 7.403E+02, 1.273E+01
 2.001E+01, 7.498E+02, 1.302E+01
 2.101E+01, 7.531E+02, 1.331E+01
 2.201E+01, 7.547E+02, 1.325E+01
 2.301E+01, 7.647E+02, 1.391E+01
 2.401E+01, 7.682E+02, 1.342E+01
 2.500E+01, 7.796E+02, 1.395E+01
 2.600E+01, 7.887E+02, 1.414E+01
 2.701E+01, 7.911E+02, 1.438E+01
 2.800E+01, 8.000E+02, 1.406E+01
 2.901E+01, 8.071E+02, 1.370E+01
 3.001E+01, 8.176E+02, 1.339E+01
 3.101E+01, 8.223E+02, 1.270E+01
 3.201E+01, 8.260E+02, 1.326E+01
 3.301E+01, 8.416E+02, 1.282E+01
 3.401E+01, 8.458E+02, 1.308E+01
 3.501E+01, 8.587E+02, 1.305E+01
 3.601E+01, 8.695E+02, 1.301E+01
 3.700E+01, 8.543E+02, 1.246E+01
 3.801E+01, 8.940E+02, 1.260E+01
 3.901E+01, 9.054E+02, 1.260E+01
 4.001E+01, 9.182E+02, 1.249E+01
 4.101E+01, 9.284E+02, 1.360E+01
 4.201E+01, 9.332E+02, 1.338E+01
