s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.833E+02, 6.085E-01
 2.032E+00, 6.905E+02, 1.483E+00
 3.058E+00, 6.905E+02, 1.917E+00
 4.060E+00, 6.905E+02, 2.033E+00
 5.027E+00, 6.905E+02, 2.208E+00
 6.014E+00, 6.905E+02, 2.554E+00
 7.028E+00, 6.910E+02, 3.076E+00
 8.041E+00, 6.921E+02, 3.620E+00
 9.016E+00, 6.909E+02, 4.121E+00
 1.001E+01, 6.905E+02, 4.485E+00
 1.100E+01, 6.905E+02, 4.724E+00
 1.203E+01, 6.905E+02, 4.914E+00
 1.303E+01, 6.912E+02, 4.568E+00
 1.400E+01, 6.912E+02, 4.510E+00
 1.502E+01, 6.931E+02, 5.019E+00
 1.602E+01, 6.960E+02, 4.575E+00
 1.702E+01, 6.994E+02, 4.840E+00
 1.801E+01, 7.076E+02, 4.830E+00
 1.900E+01, 7.158E+02, 5.072E+00
 2.001E+01, 7.199E+02, 4.840E+00
 2.101E+01, 7.251E+02, 4.869E+00
 2.200E+01, 7.325E+02, 4.925E+00
 2.301E+01, 7.352E+02, 4.569E+00
 2.401E+01, 7.369E+02, 4.757E+00
 2.501E+01, 7.477E+02, 4.896E+00
 2.600E+01, 7.544E+02, 5.409E+00
 2.700E+01, 7.425E+02, 4.809E+00
 2.800E+01, 7.288E+02, 4.847E+00
 2.900E+01, 7.205E+02, 4.738E+00
 3.000E+01, 7.335E+02, 4.881E+00
 3.100E+01, 7.732E+02, 5.013E+00
 3.200E+01, 7.817E+02, 4.616E+00
 3.301E+01, 7.846E+02, 4.699E+00
 3.400E+01, 7.883E+02, 4.815E+00
 3.501E+01, 7.925E+02, 4.791E+00
 3.601E+01, 7.968E+02, 4.724E+00
 3.701E+01, 7.997E+02, 4.555E+00
 3.800E+01, 8.038E+02, 4.973E+00
 3.900E+01, 8.076E+02, 4.702E+00
 4.001E+01, 8.134E+02, 4.875E+00
 4.100E+01, 8.197E+02, 4.541E+00
 4.201E+01, 8.267E+02, 4.960E+00
 4.301E+01, 8.330E+02, 4.421E+00
 4.401E+01, 8.400E+02, 4.794E+00
 4.500E+01, 8.465E+02, 4.582E+00
 4.601E+01, 8.538E+02, 5.179E+00
 4.701E+01, 8.612E+02, 4.818E+00
 4.800E+01, 8.702E+02, 4.728E+00
 4.901E+01, 8.715E+02, 4.678E+00
 5.001E+01, 8.783E+02, 4.855E+00
 5.101E+01, 8.856E+02, 4.636E+00
 5.200E+01, 8.917E+02, 4.557E+00
 5.301E+01, 8.980E+02, 4.810E+00
 5.402E+01, 9.044E+02, 4.642E+00
 5.501E+01, 9.104E+02, 4.881E+00
 5.600E+01, 9.146E+02, 4.932E+00
 5.701E+01, 9.165E+02, 5.081E+00
 5.800E+01, 9.221E+02, 4.906E+00
 5.901E+01, 9.247E+02, 4.820E+00
 6.001E+01, 9.275E+02, 4.646E+00
 6.101E+01, 9.298E+02, 4.723E+00
 6.201E+01, 9.328E+02, 4.600E+00
 6.302E+01, 9.370E+02, 4.697E+00
 6.401E+01, 9.363E+02, 4.851E+00
 6.500E+01, 9.331E+02, 5.267E+00
 6.601E+01, 9.362E+02, 4.803E+00
