s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 8.745E+02, 3.041E-01
 2.012E+00, 6.905E+02, 6.405E-01
 3.130E+00, 6.905E+02, 9.744E-01
 4.020E+00, 6.905E+02, 1.292E+00
 5.026E+00, 6.905E+02, 1.595E+00
 6.020E+00, 6.905E+02, 1.962E+00
 7.013E+00, 6.905E+02, 2.351E+00
 8.016E+00, 6.905E+02, 2.722E+00
 9.058E+00, 6.905E+02, 3.097E+00
 1.006E+01, 6.907E+02, 3.460E+00
 1.107E+01, 6.905E+02, 3.550E+00
 1.203E+01, 6.920E+02, 3.543E+00
 1.302E+01, 6.905E+02, 3.610E+00
 1.401E+01, 6.917E+02, 3.589E+00
 1.502E+01, 6.905E+02, 3.667E+00
 1.602E+01, 6.907E+02, 3.728E+00
 1.702E+01, 6.905E+02, 3.788E+00
 1.800E+01, 6.905E+02, 3.831E+00
 1.902E+01, 6.905E+02, 3.901E+00
 2.002E+01, 6.905E+02, 3.905E+00
 2.103E+01, 6.905E+02, 3.864E+00
 2.201E+01, 6.905E+02, 3.836E+00
 2.301E+01, 6.905E+02, 3.849E+00
 2.401E+01, 6.906E+02, 3.848E+00
 2.500E+01, 6.906E+02, 3.858E+00
 2.602E+01, 6.905E+02, 3.876E+00
 2.703E+01, 6.907E+02, 3.868E+00
 2.801E+01, 6.916E+02, 3.891E+00
 2.903E+01, 6.912E+02, 3.931E+00
 3.002E+01, 6.923E+02, 3.943E+00
 3.102E+01, 6.923E+02, 3.952E+00
 3.203E+01, 6.921E+02, 3.946E+00
 3.302E+01, 6.922E+02, 3.935E+00
 3.403E+01, 6.950E+02, 3.899E+00
 3.500E+01, 6.929E+02, 3.866E+00
 3.601E+01, 6.932E+02, 3.854E+00
 3.701E+01, 6.948E+02, 3.845E+00
 3.803E+01, 6.951E+02, 3.849E+00
 3.902E+01, 7.005E+02, 3.853E+00
 4.000E+01, 7.006E+02, 3.873E+00
 4.101E+01, 7.033E+02, 3.904E+00
 4.201E+01, 7.011E+02, 3.906E+00
 4.301E+01, 6.998E+02, 3.917E+00
 4.400E+01, 7.024E+02, 3.920E+00
 4.500E+01, 7.075E+02, 3.916E+00
