s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 7.825E+02, 5.934E-01
 2.012E+00, 6.905E+02, 1.421E+00
 3.052E+00, 6.905E+02, 2.195E+00
 4.100E+00, 6.905E+02, 2.959E+00
 5.013E+00, 6.905E+02, 3.747E+00
 6.011E+00, 6.905E+02, 4.509E+00
 7.055E+00, 6.905E+02, 5.280E+00
 8.038E+00, 6.912E+02, 6.529E+00
 9.001E+00, 6.906E+02, 7.808E+00
 1.002E+01, 6.913E+02, 7.918E+00
 1.101E+01, 6.905E+02, 8.488E+00
 1.202E+01, 6.905E+02, 8.584E+00
 1.300E+01, 6.906E+02, 9.238E+00
 1.400E+01, 6.908E+02, 8.292E+00
 1.501E+01, 6.919E+02, 8.233E+00
 1.602E+01, 6.905E+02, 9.672E+00
 1.702E+01, 6.914E+02, 9.088E+00
 1.801E+01, 6.912E+02, 8.534E+00
 1.901E+01, 6.908E+02, 9.357E+00
 2.001E+01, 6.908E+02, 9.159E+00
 2.102E+01, 6.905E+02, 8.862E+00
 2.201E+01, 6.915E+02, 9.059E+00
 2.300E+01, 6.917E+02, 8.774E+00
 2.401E+01, 6.905E+02, 8.914E+00
 2.500E+01, 6.907E+02, 8.870E+00
 2.601E+01, 6.908E+02, 9.431E+00
 2.702E+01, 6.905E+02, 8.542E+00
 2.801E+01, 6.910E+02, 7.632E+00
 2.902E+01, 6.906E+02, 9.859E+00
 3.000E+01, 6.906E+02, 9.628E+00
 3.101E+01, 6.907E+02, 8.591E+00
 3.200E+01, 6.905E+02, 8.066E+00
 3.302E+01, 6.905E+02, 9.011E+00
 3.401E+01, 6.912E+02, 8.833E+00
 3.500E+01, 6.905E+02, 9.464E+00
 3.600E+01, 6.905E+02, 8.334E+00
 3.701E+01, 6.905E+02, 8.457E+00
 3.802E+01, 6.905E+02, 8.536E+00
 3.901E+01, 6.905E+02, 9.940E+00
 4.002E+01, 6.905E+02, 1.023E+01
 4.100E+01, 6.905E+02, 8.117E+00
 4.202E+01, 6.905E+02, 9.324E+00
 4.301E+01, 6.905E+02, 8.902E+00
 4.400E+01, 6.940E+02, 8.373E+00
 4.502E+01, 6.967E+02, 9.105E+00
