s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 8.279E+02, 9.986E-01
 2.012E+00, 6.905E+02, 2.075E+00
 3.041E+00, 6.905E+02, 3.060E+00
 4.016E+00, 6.905E+02, 4.248E+00
 5.022E+00, 6.905E+02, 5.433E+00
 6.046E+00, 6.905E+02, 6.682E+00
 7.030E+00, 6.905E+02, 8.063E+00
 8.029E+00, 6.946E+02, 8.752E+00
 9.004E+00, 6.990E+02, 9.578E+00
 1.004E+01, 6.905E+02, 1.120E+01
 1.100E+01, 6.905E+02, 1.192E+01
 1.203E+01, 6.905E+02, 1.183E+01
 1.301E+01, 6.905E+02, 1.191E+01
 1.402E+01, 6.905E+02, 1.209E+01
 1.503E+01, 6.905E+02, 1.231E+01
 1.601E+01, 6.905E+02, 1.269E+01
 1.701E+01, 6.905E+02, 1.271E+01
 1.801E+01, 6.905E+02, 1.258E+01
 1.901E+01, 6.905E+02, 1.238E+01
 2.003E+01, 6.905E+02, 1.210E+01
 2.101E+01, 6.905E+02, 1.208E+01
 2.201E+01, 6.908E+02, 1.201E+01
 2.301E+01, 6.905E+02, 1.203E+01
 2.402E+01, 6.905E+02, 1.199E+01
 2.503E+01, 6.906E+02, 1.227E+01
 2.602E+01, 6.914E+02, 1.248E+01
 2.701E+01, 6.909E+02, 1.252E+01
 2.802E+01, 6.929E+02, 1.244E+01
 2.901E+01, 6.924E+02, 1.241E+01
 3.000E+01, 6.957E+02, 1.227E+01
 3.101E+01, 6.952E+02, 1.217E+01
 3.201E+01, 6.935E+02, 1.220E+01
 3.300E+01, 6.952E+02, 1.214E+01
 3.400E+01, 6.967E+02, 1.210E+01
 3.501E+01, 7.011E+02, 1.217E+01
 3.600E+01, 7.037E+02, 1.237E+01
 3.701E+01, 7.031E+02, 1.239E+01
 3.802E+01, 7.002E+02, 1.232E+01
 3.901E+01, 6.987E+02, 1.241E+01
 4.002E+01, 7.042E+02, 1.228E+01
 4.102E+01, 7.080E+02, 1.219E+01
 4.201E+01, 7.096E+02, 1.225E+01
 4.302E+01, 7.167E+02, 1.235E+01
 4.402E+01, 7.167E+02, 1.234E+01
 4.502E+01, 7.187E+02, 1.235E+01
