s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 7.989E+02, 1.812E-01
 2.012E+00, 6.905E+02, 3.818E-01
 3.130E+00, 6.905E+02, 5.863E-01
 4.025E+00, 6.905E+02, 7.978E-01
 5.073E+00, 6.905E+02, 9.933E-01
 6.026E+00, 6.905E+02, 1.198E+00
 7.038E+00, 6.905E+02, 1.410E+00
 8.055E+00, 6.905E+02, 1.660E+00
 9.021E+00, 6.905E+02, 1.925E+00
 1.005E+01, 6.905E+02, 2.162E+00
 1.102E+01, 6.908E+02, 2.301E+00
 1.204E+01, 6.905E+02, 2.307E+00
 1.305E+01, 6.905E+02, 2.130E+00
 1.400E+01, 6.905E+02, 1.960E+00
 1.502E+01, 6.905E+02, 1.883E+00
 1.602E+01, 6.909E+02, 1.879E+00
 1.700E+01, 6.906E+02, 2.044E+00
 1.802E+01, 6.905E+02, 2.118E+00
 1.905E+01, 6.905E+02, 2.213E+00
 2.003E+01, 6.905E+02, 2.364E+00
 2.101E+01, 6.905E+02, 2.198E+00
 2.201E+01, 6.905E+02, 1.871E+00
 2.304E+01, 6.905E+02, 1.563E+00
 2.401E+01, 6.905E+02, 1.318E+00
 2.504E+01, 6.908E+02, 1.373E+00
 2.604E+01, 6.919E+02, 1.957E+00
 2.703E+01, 6.906E+02, 2.185E+00
 2.804E+01, 6.905E+02, 2.208E+00
 2.905E+01, 6.906E+02, 2.659E+00
 3.001E+01, 6.905E+02, 2.444E+00
 3.102E+01, 6.906E+02, 2.051E+00
 3.206E+01, 6.905E+02, 2.085E+00
 3.306E+01, 6.927E+02, 2.281E+00
 3.408E+01, 6.968E+02, 2.376E+00
 3.507E+01, 6.952E+02, 2.357E+00
 3.602E+01, 6.978E+02, 2.502E+00
 3.708E+01, 6.980E+02, 2.696E+00
 3.805E+01, 6.992E+02, 2.480E+00
 3.903E+01, 7.000E+02, 2.490E+00
 4.001E+01, 7.022E+02, 2.637E+00
 4.108E+01, 7.042E+02, 2.221E+00
 4.206E+01, 7.062E+02, 2.274E+00
 4.303E+01, 7.082E+02, 1.964E+00
 4.401E+01, 7.080E+02, 1.552E+00
 4.504E+01, 6.950E+02, 1.549E+00
