s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.477E+02, 8.677E-01
 2.013E+00, 7.464E+02, 2.040E+00
 3.030E+00, 6.905E+02, 3.112E+00
 4.043E+00, 6.905E+02, 4.328E+00
 5.049E+00, 6.905E+02, 5.549E+00
 6.003E+00, 6.905E+02, 6.767E+00
 7.005E+00, 6.915E+02, 8.145E+00
 8.022E+00, 6.905E+02, 9.562E+00
 9.015E+00, 6.907E+02, 1.084E+01
 1.001E+01, 6.905E+02, 1.186E+01
 1.100E+01, 6.905E+02, 1.277E+01
 1.202E+01, 6.905E+02, 1.228E+01
 1.302E+01, 6.906E+02, 1.166E+01
 1.401E+01, 6.907E+02, 1.282E+01
 1.501E+01, 6.933E+02, 1.244E+01
 1.601E+01, 6.971E+02, 1.363E+01
 1.702E+01, 7.028E+02, 1.279E+01
 1.801E+01, 7.031E+02, 1.264E+01
 1.900E+01, 7.123E+02, 1.232E+01
 2.001E+01, 7.212E+02, 1.279E+01
 2.100E+01, 7.262E+02, 1.270E+01
 2.201E+01, 7.372E+02, 1.236E+01
 2.300E+01, 7.478E+02, 1.186E+01
 2.401E+01, 7.560E+02, 1.211E+01
 2.501E+01, 7.646E+02, 1.143E+01
 2.601E+01, 7.712E+02, 1.225E+01
 2.701E+01, 7.792E+02, 1.205E+01
 2.801E+01, 7.841E+02, 1.178E+01
 2.901E+01, 7.951E+02, 1.221E+01
 3.000E+01, 7.970E+02, 1.271E+01
 3.101E+01, 8.090E+02, 1.270E+01
 3.201E+01, 8.216E+02, 1.231E+01
 3.300E+01, 8.240E+02, 1.231E+01
 3.400E+01, 8.370E+02, 1.224E+01
 3.501E+01, 8.491E+02, 1.206E+01
 3.601E+01, 8.618E+02, 1.168E+01
 3.701E+01, 8.731E+02, 1.250E+01
 3.801E+01, 8.895E+02, 1.317E+01
 3.900E+01, 9.031E+02, 1.130E+01
 4.001E+01, 9.179E+02, 1.209E+01
 4.100E+01, 9.248E+02, 1.302E+01
 4.201E+01, 9.297E+02, 1.216E+01
 4.300E+01, 8.624E+02, 1.164E+01
