s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.833E+02, 1.811E-01
 2.032E+00, 6.905E+02, 3.752E-01
 3.102E+00, 6.905E+02, 5.545E-01
 4.050E+00, 6.905E+02, 7.356E-01
 5.014E+00, 6.905E+02, 9.151E-01
 6.013E+00, 6.905E+02, 1.099E+00
 7.038E+00, 6.905E+02, 1.294E+00
 8.030E+00, 6.905E+02, 1.499E+00
 9.029E+00, 6.905E+02, 1.711E+00
 1.001E+01, 6.905E+02, 1.914E+00
 1.103E+01, 6.905E+02, 2.000E+00
 1.201E+01, 6.905E+02, 1.995E+00
 1.300E+01, 6.905E+02, 1.997E+00
 1.401E+01, 6.905E+02, 2.006E+00
 1.501E+01, 6.905E+02, 2.013E+00
 1.600E+01, 6.908E+02, 2.016E+00
 1.701E+01, 6.919E+02, 2.036E+00
 1.801E+01, 6.940E+02, 2.076E+00
 1.900E+01, 6.945E+02, 2.113E+00
 2.002E+01, 6.949E+02, 2.132E+00
 2.101E+01, 6.962E+02, 2.119E+00
 2.201E+01, 6.976E+02, 2.085E+00
 2.301E+01, 6.991E+02, 2.080E+00
 2.401E+01, 7.007E+02, 2.112E+00
 2.501E+01, 7.026E+02, 2.121E+00
 2.601E+01, 7.043E+02, 2.069E+00
 2.702E+01, 7.055E+02, 2.011E+00
 2.801E+01, 7.078E+02, 2.011E+00
 2.902E+01, 7.087E+02, 2.035E+00
 3.001E+01, 7.101E+02, 2.075E+00
 3.101E+01, 7.111E+02, 2.125E+00
 3.201E+01, 7.132E+02, 2.111E+00
 3.301E+01, 7.128E+02, 2.052E+00
 3.400E+01, 7.110E+02, 2.009E+00
 3.501E+01, 7.125E+02, 1.988E+00
 3.600E+01, 7.143E+02, 2.003E+00
 3.701E+01, 7.142E+02, 2.048E+00
 3.800E+01, 7.101E+02, 2.115E+00
 3.901E+01, 7.090E+02, 2.166E+00
 4.001E+01, 7.092E+02, 2.198E+00
 4.101E+01, 7.078E+02, 2.202E+00
 4.201E+01, 7.075E+02, 2.113E+00
 4.302E+01, 7.077E+02, 2.071E+00
 4.401E+01, 7.075E+02, 2.114E+00
 4.502E+01, 7.075E+02, 2.110E+00
