s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.297E+02, 8.813E-01
 2.088E+00, 6.905E+02, 2.179E+00
 3.003E+00, 6.905E+02, 3.326E+00
 4.031E+00, 6.905E+02, 4.513E+00
 5.030E+00, 6.905E+02, 5.569E+00
 6.000E+00, 6.906E+02, 6.595E+00
 7.010E+00, 6.907E+02, 8.235E+00
 8.012E+00, 6.905E+02, 1.014E+01
 9.017E+00, 6.905E+02, 1.192E+01
 1.000E+01, 6.905E+02, 1.195E+01
 1.101E+01, 6.905E+02, 1.229E+01
 1.201E+01, 6.915E+02, 1.146E+01
 1.300E+01, 6.910E+02, 1.084E+01
 1.401E+01, 6.905E+02, 1.221E+01
 1.501E+01, 6.905E+02, 1.282E+01
 1.601E+01, 6.905E+02, 1.263E+01
 1.700E+01, 6.910E+02, 1.117E+01
 1.801E+01, 6.932E+02, 1.204E+01
 1.901E+01, 6.945E+02, 1.312E+01
 2.000E+01, 6.956E+02, 1.329E+01
 2.101E+01, 7.013E+02, 1.193E+01
 2.201E+01, 7.043E+02, 1.068E+01
 2.301E+01, 7.085E+02, 1.182E+01
 2.401E+01, 7.116E+02, 1.195E+01
 2.500E+01, 7.166E+02, 1.229E+01
 2.600E+01, 7.188E+02, 1.243E+01
 2.701E+01, 7.229E+02, 1.181E+01
 2.801E+01, 7.387E+02, 1.302E+01
 2.900E+01, 7.417E+02, 1.282E+01
 3.001E+01, 7.463E+02, 1.237E+01
 3.100E+01, 7.490E+02, 1.123E+01
 3.201E+01, 7.558E+02, 1.003E+01
 3.300E+01, 7.643E+02, 1.162E+01
 3.401E+01, 7.697E+02, 1.332E+01
 3.501E+01, 7.773E+02, 9.997E+00
 3.601E+01, 7.861E+02, 1.176E+01
 3.701E+01, 7.957E+02, 1.067E+01
 3.801E+01, 7.966E+02, 1.276E+01
 3.901E+01, 8.090E+02, 1.313E+01
 4.000E+01, 8.142E+02, 1.366E+01
 4.100E+01, 8.184E+02, 1.435E+01
 4.201E+01, 8.225E+02, 1.478E+01
 4.301E+01, 8.281E+02, 1.319E+01
 4.400E+01, 8.322E+02, 1.165E+01
 4.501E+01, 8.351E+02, 1.278E+01
 4.601E+01, 8.419E+02, 1.301E+01
 4.701E+01, 8.445E+02, 1.446E+01
 4.800E+01, 8.565E+02, 1.216E+01
 4.900E+01, 8.667E+02, 1.222E+01
 5.001E+01, 8.650E+02, 1.068E+01
 5.101E+01, 8.582E+02, 1.041E+01
 5.201E+01, 8.862E+02, 1.210E+01
 5.300E+01, 8.990E+02, 1.108E+01
 5.400E+01, 9.088E+02, 1.024E+01
 5.500E+01, 8.950E+02, 1.139E+01
 5.600E+01, 8.913E+02, 1.170E+01
 5.700E+01, 8.868E+02, 1.274E+01
 5.801E+01, 8.642E+02, 1.206E+01
